epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.1494
1,2026,location,1,r2,0.2258
1,2026,location,2,r2,0.3384
1,2026,location,mean,r2,0.2379
2,2026,location,0,r2,0.2718
2,2026,location,1,r2,0.3074
2,2026,location,2,r2,0.3987
2,2026,location,mean,r2,0.326
3,2026,location,0,r2,0.2756
3,2026,location,1,r2,0.3495
3,2026,location,2,r2,0.4208
3,2026,location,mean,r2,0.3486
4,2026,location,0,r2,0.3702
4,2026,location,1,r2,0.4062
4,2026,location,2,r2,0.4526
4,2026,location,mean,r2,0.4096
5,2026,location,0,r2,0.2984
5,2026,location,1,r2,0.3832
5,2026,location,2,r2,0.4658
5,2026,location,mean,r2,0.3825
6,2026,location,0,r2,0.3761
6,2026,location,1,r2,0.4141
6,2026,location,2,r2,0.4178
6,2026,location,mean,r2,0.4027
7,2026,location,0,r2,0.3859
7,2026,location,1,r2,0.4165
7,2026,location,2,r2,0.4983
7,2026,location,mean,r2,0.4336
8,2026,location,0,r2,0.3949
8,2026,location,1,r2,0.4422
8,2026,location,2,r2,0.5165
8,2026,location,mean,r2,0.4512
9,2026,location,0,r2,0.384
9,2026,location,1,r2,0.4918
9,2026,location,2,r2,0.5165
9,2026,location,mean,r2,0.4641
10,2026,location,0,r2,0.3709
10,2026,location,1,r2,0.4736
10,2026,location,2,r2,0.5613
10,2026,location,mean,r2,0.4686
1,2027,location,0,r2,0.2277
1,2027,location,1,r2,0.2387
1,2027,location,2,r2,0.3436
1,2027,location,mean,r2,0.27
2,2027,location,0,r2,0.313
2,2027,location,1,r2,0.334
2,2027,location,2,r2,0.3863
2,2027,location,mean,r2,0.3444
3,2027,location,0,r2,0.3368
3,2027,location,1,r2,0.3768
3,2027,location,2,r2,0.4388
3,2027,location,mean,r2,0.3841
4,2027,location,0,r2,0.3695
4,2027,location,1,r2,0.422
4,2027,location,2,r2,0.4791
4,2027,location,mean,r2,0.4235
5,2027,location,0,r2,0.3814
5,2027,location,1,r2,0.3991
5,2027,location,2,r2,0.5313
5,2027,location,mean,r2,0.4373
6,2027,location,0,r2,0.3848
6,2027,location,1,r2,0.4449
6,2027,location,2,r2,0.49
6,2027,location,mean,r2,0.4399
7,2027,location,0,r2,0.3966
7,2027,location,1,r2,0.4577
7,2027,location,2,r2,0.5463
7,2027,location,mean,r2,0.4669
8,2027,location,0,r2,0.394
8,2027,location,1,r2,0.4623
8,2027,location,2,r2,0.5543
8,2027,location,mean,r2,0.4702
9,2027,location,0,r2,0.4191
9,2027,location,1,r2,0.4667
9,2027,location,2,r2,0.5483
9,2027,location,mean,r2,0.4781
10,2027,location,0,r2,0.4263
10,2027,location,1,r2,0.5163
10,2027,location,2,r2,0.5624
10,2027,location,mean,r2,0.5017
1,2028,location,0,r2,0.1643
1,2028,location,1,r2,0.1151
1,2028,location,2,r2,0.2928
1,2028,location,mean,r2,0.1907
2,2028,location,0,r2,0.2727
2,2028,location,1,r2,0.3184
2,2028,location,2,r2,0.3711
2,2028,location,mean,r2,0.3207
3,2028,location,0,r2,0.3577
3,2028,location,1,r2,0.3577
3,2028,location,2,r2,0.3729
3,2028,location,mean,r2,0.3628
4,2028,location,0,r2,0.3476
4,2028,location,1,r2,0.3894
4,2028,location,2,r2,0.4349
4,2028,location,mean,r2,0.3906
5,2028,location,0,r2,0.3735
5,2028,location,1,r2,0.441
5,2028,location,2,r2,0.4532
5,2028,location,mean,r2,0.4225
6,2028,location,0,r2,0.3512
6,2028,location,1,r2,0.4148
6,2028,location,2,r2,0.4188
6,2028,location,mean,r2,0.3949
7,2028,location,0,r2,0.4098
7,2028,location,1,r2,0.4604
7,2028,location,2,r2,0.4966
7,2028,location,mean,r2,0.4556
8,2028,location,0,r2,0.3782
8,2028,location,1,r2,0.4723
8,2028,location,2,r2,0.4939
8,2028,location,mean,r2,0.4481
9,2028,location,0,r2,0.4228
9,2028,location,1,r2,0.4816
9,2028,location,2,r2,0.5175
9,2028,location,mean,r2,0.474
10,2028,location,0,r2,0.4135
10,2028,location,1,r2,0.4921
10,2028,location,2,r2,0.5211
10,2028,location,mean,r2,0.4756
