epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.6418
1,2026,radiomics,1,r2,0.0535
1,2026,radiomics,2,r2,0.4502
1,2026,radiomics,mean,r2,0.3818
2,2026,radiomics,0,r2,0.7978
2,2026,radiomics,1,r2,0.0815
2,2026,radiomics,2,r2,0.6574
2,2026,radiomics,mean,r2,0.5123
3,2026,radiomics,0,r2,0.7984
3,2026,radiomics,1,r2,0.1014
3,2026,radiomics,2,r2,0.6841
3,2026,radiomics,mean,r2,0.528
4,2026,radiomics,0,r2,0.7998
4,2026,radiomics,1,r2,0.11
4,2026,radiomics,2,r2,0.6823
4,2026,radiomics,mean,r2,0.5307
5,2026,radiomics,0,r2,0.8094
5,2026,radiomics,1,r2,0.0371
5,2026,radiomics,2,r2,0.6917
5,2026,radiomics,mean,r2,0.5127
6,2026,radiomics,0,r2,0.8062
6,2026,radiomics,1,r2,0.1261
6,2026,radiomics,2,r2,0.6465
6,2026,radiomics,mean,r2,0.5263
7,2026,radiomics,0,r2,0.8064
7,2026,radiomics,1,r2,0.1251
7,2026,radiomics,2,r2,0.6846
7,2026,radiomics,mean,r2,0.5387
8,2026,radiomics,0,r2,0.8255
8,2026,radiomics,1,r2,0.1401
8,2026,radiomics,2,r2,0.6904
8,2026,radiomics,mean,r2,0.552
9,2026,radiomics,0,r2,0.8324
9,2026,radiomics,1,r2,0.0938
9,2026,radiomics,2,r2,0.7157
9,2026,radiomics,mean,r2,0.5473
10,2026,radiomics,0,r2,0.8299
10,2026,radiomics,1,r2,0.1137
10,2026,radiomics,2,r2,0.6992
10,2026,radiomics,mean,r2,0.5476
1,2027,radiomics,0,r2,0.7293
1,2027,radiomics,1,r2,0.0152
1,2027,radiomics,2,r2,0.4192
1,2027,radiomics,mean,r2,0.3879
2,2027,radiomics,0,r2,0.7878
2,2027,radiomics,1,r2,0.0916
2,2027,radiomics,2,r2,0.6644
2,2027,radiomics,mean,r2,0.5146
3,2027,radiomics,0,r2,0.7588
3,2027,radiomics,1,r2,0.0992
3,2027,radiomics,2,r2,0.6371
3,2027,radiomics,mean,r2,0.4984
4,2027,radiomics,0,r2,0.8172
4,2027,radiomics,1,r2,0.0965
4,2027,radiomics,2,r2,0.6891
4,2027,radiomics,mean,r2,0.5343
5,2027,radiomics,0,r2,0.7975
5,2027,radiomics,1,r2,0.127
5,2027,radiomics,2,r2,0.6935
5,2027,radiomics,mean,r2,0.5393
6,2027,radiomics,0,r2,0.8133
6,2027,radiomics,1,r2,0.1201
6,2027,radiomics,2,r2,0.6877
6,2027,radiomics,mean,r2,0.5404
7,2027,radiomics,0,r2,0.8112
7,2027,radiomics,1,r2,0.1122
7,2027,radiomics,2,r2,0.701
7,2027,radiomics,mean,r2,0.5415
8,2027,radiomics,0,r2,0.8146
8,2027,radiomics,1,r2,0.1201
8,2027,radiomics,2,r2,0.6987
8,2027,radiomics,mean,r2,0.5445
9,2027,radiomics,0,r2,0.8141
9,2027,radiomics,1,r2,0.1257
9,2027,radiomics,2,r2,0.7163
9,2027,radiomics,mean,r2,0.552
10,2027,radiomics,0,r2,0.8306
10,2027,radiomics,1,r2,0.1236
10,2027,radiomics,2,r2,0.7177
10,2027,radiomics,mean,r2,0.5573
1,2028,radiomics,0,r2,0.7447
1,2028,radiomics,1,r2,0.0007
1,2028,radiomics,2,r2,0.6166
1,2028,radiomics,mean,r2,0.454
2,2028,radiomics,0,r2,0.7816
2,2028,radiomics,1,r2,0.0521
2,2028,radiomics,2,r2,0.6508
2,2028,radiomics,mean,r2,0.4948
3,2028,radiomics,0,r2,0.7805
3,2028,radiomics,1,r2,0.096
3,2028,radiomics,2,r2,0.6568
3,2028,radiomics,mean,r2,0.5111
4,2028,radiomics,0,r2,0.8133
4,2028,radiomics,1,r2,0.1244
4,2028,radiomics,2,r2,0.6752
4,2028,radiomics,mean,r2,0.5376
5,2028,radiomics,0,r2,0.8172
5,2028,radiomics,1,r2,0.1253
5,2028,radiomics,2,r2,0.7005
5,2028,radiomics,mean,r2,0.5477
6,2028,radiomics,0,r2,0.793
6,2028,radiomics,1,r2,0.1302
6,2028,radiomics,2,r2,0.703
6,2028,radiomics,mean,r2,0.5421
7,2028,radiomics,0,r2,0.8149
7,2028,radiomics,1,r2,0.1283
7,2028,radiomics,2,r2,0.6981
7,2028,radiomics,mean,r2,0.5471
8,2028,radiomics,0,r2,0.7967
8,2028,radiomics,1,r2,0.1261
8,2028,radiomics,2,r2,0.7085
8,2028,radiomics,mean,r2,0.5437
9,2028,radiomics,0,r2,0.8243
9,2028,radiomics,1,r2,0.1133
9,2028,radiomics,2,r2,0.7067
9,2028,radiomics,mean,r2,0.5481
10,2028,radiomics,0,r2,0.8179
10,2028,radiomics,1,r2,0.1336
10,2028,radiomics,2,r2,0.7117
10,2028,radiomics,mean,r2,0.5544
