epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.1429
1,2026,density,1,r2,0.3143
1,2026,density,2,r2,0.1057
1,2026,density,3,r2,0.0922
1,2026,density,mean,r2,0.1638
2,2026,density,0,r2,0.1817
2,2026,density,1,r2,0.3757
2,2026,density,2,r2,0.1421
2,2026,density,3,r2,0.153
2,2026,density,mean,r2,0.2131
3,2026,density,0,r2,0.2102
3,2026,density,1,r2,0.3773
3,2026,density,2,r2,0.1882
3,2026,density,3,r2,0.1815
3,2026,density,mean,r2,0.2393
4,2026,density,0,r2,0.2597
4,2026,density,1,r2,0.406
4,2026,density,2,r2,0.2384
4,2026,density,3,r2,0.2096
4,2026,density,mean,r2,0.2784
5,2026,density,0,r2,0.2567
5,2026,density,1,r2,0.4101
5,2026,density,2,r2,0.252
5,2026,density,3,r2,0.2116
5,2026,density,mean,r2,0.2826
6,2026,density,0,r2,0.2831
6,2026,density,1,r2,0.4269
6,2026,density,2,r2,0.2663
6,2026,density,3,r2,0.2237
6,2026,density,mean,r2,0.3
7,2026,density,0,r2,0.2957
7,2026,density,1,r2,0.4323
7,2026,density,2,r2,0.2807
7,2026,density,3,r2,0.2399
7,2026,density,mean,r2,0.3121
8,2026,density,0,r2,0.321
8,2026,density,1,r2,0.4138
8,2026,density,2,r2,0.2889
8,2026,density,3,r2,0.2422
8,2026,density,mean,r2,0.3165
9,2026,density,0,r2,0.3384
9,2026,density,1,r2,0.4403
9,2026,density,2,r2,0.2818
9,2026,density,3,r2,0.2348
9,2026,density,mean,r2,0.3238
10,2026,density,0,r2,0.3295
10,2026,density,1,r2,0.4351
10,2026,density,2,r2,0.2959
10,2026,density,3,r2,0.2475
10,2026,density,mean,r2,0.327
1,2027,density,0,r2,0.1468
1,2027,density,1,r2,0.2566
1,2027,density,2,r2,0.0838
1,2027,density,3,r2,0.0782
1,2027,density,mean,r2,0.1413
2,2027,density,0,r2,0.1971
2,2027,density,1,r2,0.3874
2,2027,density,2,r2,0.1406
2,2027,density,3,r2,0.1392
2,2027,density,mean,r2,0.2161
3,2027,density,0,r2,0.2253
3,2027,density,1,r2,0.4018
3,2027,density,2,r2,0.1835
3,2027,density,3,r2,0.1752
3,2027,density,mean,r2,0.2464
4,2027,density,0,r2,0.238
4,2027,density,1,r2,0.4124
4,2027,density,2,r2,0.2262
4,2027,density,3,r2,0.1953
4,2027,density,mean,r2,0.268
5,2027,density,0,r2,0.2678
5,2027,density,1,r2,0.4204
5,2027,density,2,r2,0.2519
5,2027,density,3,r2,0.2116
5,2027,density,mean,r2,0.2879
6,2027,density,0,r2,0.2782
6,2027,density,1,r2,0.4232
6,2027,density,2,r2,0.2422
6,2027,density,3,r2,0.2157
6,2027,density,mean,r2,0.2898
7,2027,density,0,r2,0.2809
7,2027,density,1,r2,0.4259
7,2027,density,2,r2,0.2768
7,2027,density,3,r2,0.2304
7,2027,density,mean,r2,0.3035
8,2027,density,0,r2,0.2948
8,2027,density,1,r2,0.3732
8,2027,density,2,r2,0.2836
8,2027,density,3,r2,0.2308
8,2027,density,mean,r2,0.2956
9,2027,density,0,r2,0.3161
9,2027,density,1,r2,0.4237
9,2027,density,2,r2,0.2905
9,2027,density,3,r2,0.239
9,2027,density,mean,r2,0.3174
10,2027,density,0,r2,0.3176
10,2027,density,1,r2,0.4353
10,2027,density,2,r2,0.284
10,2027,density,3,r2,0.2361
10,2027,density,mean,r2,0.3183
1,2028,density,0,r2,0.1532
1,2028,density,1,r2,0.3594
1,2028,density,2,r2,0.1037
1,2028,density,3,r2,0.1087
1,2028,density,mean,r2,0.1812
2,2028,density,0,r2,0.2027
2,2028,density,1,r2,0.386
2,2028,density,2,r2,0.138
2,2028,density,3,r2,0.1443
2,2028,density,mean,r2,0.2178
3,2028,density,0,r2,0.2353
3,2028,density,1,r2,0.3928
3,2028,density,2,r2,0.1657
3,2028,density,3,r2,0.1718
3,2028,density,mean,r2,0.2414
4,2028,density,0,r2,0.2389
4,2028,density,1,r2,0.4096
4,2028,density,2,r2,0.1843
4,2028,density,3,r2,0.1921
4,2028,density,mean,r2,0.2562
5,2028,density,0,r2,0.262
5,2028,density,1,r2,0.4218
5,2028,density,2,r2,0.2026
5,2028,density,3,r2,0.2042
5,2028,density,mean,r2,0.2727
6,2028,density,0,r2,0.2769
6,2028,density,1,r2,0.4166
6,2028,density,2,r2,0.1914
6,2028,density,3,r2,0.2065
6,2028,density,mean,r2,0.2728
7,2028,density,0,r2,0.2902
7,2028,density,1,r2,0.4203
7,2028,density,2,r2,0.223
7,2028,density,3,r2,0.22
7,2028,density,mean,r2,0.2884
8,2028,density,0,r2,0.2955
8,2028,density,1,r2,0.4354
8,2028,density,2,r2,0.2426
8,2028,density,3,r2,0.2323
8,2028,density,mean,r2,0.3014
9,2028,density,0,r2,0.3109
9,2028,density,1,r2,0.4394
9,2028,density,2,r2,0.2476
9,2028,density,3,r2,0.2303
9,2028,density,mean,r2,0.307
10,2028,density,0,r2,0.3128
10,2028,density,1,r2,0.4463
10,2028,density,2,r2,0.2644
10,2028,density,3,r2,0.2312
10,2028,density,mean,r2,0.3137
