epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0158
1,2026,location,1,r2,0.0711
1,2026,location,2,r2,0.1051
1,2026,location,mean,r2,0.064
2,2026,location,0,r2,0.0602
2,2026,location,1,r2,0.1977
2,2026,location,2,r2,0.1861
2,2026,location,mean,r2,0.148
3,2026,location,0,r2,0.0769
3,2026,location,1,r2,0.2233
3,2026,location,2,r2,0.2013
3,2026,location,mean,r2,0.1672
4,2026,location,0,r2,0.0725
4,2026,location,1,r2,0.227
4,2026,location,2,r2,0.256
4,2026,location,mean,r2,0.1852
5,2026,location,0,r2,0.0806
5,2026,location,1,r2,0.2304
5,2026,location,2,r2,0.2647
5,2026,location,mean,r2,0.1919
6,2026,location,0,r2,0.0881
6,2026,location,1,r2,0.2388
6,2026,location,2,r2,0.3097
6,2026,location,mean,r2,0.2122
7,2026,location,0,r2,0.0801
7,2026,location,1,r2,0.2458
7,2026,location,2,r2,0.2629
7,2026,location,mean,r2,0.1963
8,2026,location,0,r2,0.0894
8,2026,location,1,r2,0.2475
8,2026,location,2,r2,0.3392
8,2026,location,mean,r2,0.2253
9,2026,location,0,r2,0.0883
9,2026,location,1,r2,0.2678
9,2026,location,2,r2,0.3537
9,2026,location,mean,r2,0.2366
10,2026,location,0,r2,0.0842
10,2026,location,1,r2,0.2641
10,2026,location,2,r2,0.3358
10,2026,location,mean,r2,0.228
1,2027,location,0,r2,0.0112
1,2027,location,1,r2,0.0597
1,2027,location,2,r2,0.1045
1,2027,location,mean,r2,0.0585
2,2027,location,0,r2,0.0464
2,2027,location,1,r2,0.2013
2,2027,location,2,r2,0.158
2,2027,location,mean,r2,0.1352
3,2027,location,0,r2,0.0651
3,2027,location,1,r2,0.1918
3,2027,location,2,r2,0.2103
3,2027,location,mean,r2,0.1557
4,2027,location,0,r2,0.0715
4,2027,location,1,r2,0.2427
4,2027,location,2,r2,0.2451
4,2027,location,mean,r2,0.1864
5,2027,location,0,r2,0.0559
5,2027,location,1,r2,0.152
5,2027,location,2,r2,0.2706
5,2027,location,mean,r2,0.1595
6,2027,location,0,r2,0.0796
6,2027,location,1,r2,0.2648
6,2027,location,2,r2,0.2839
6,2027,location,mean,r2,0.2094
7,2027,location,0,r2,0.0845
7,2027,location,1,r2,0.2754
7,2027,location,2,r2,0.3129
7,2027,location,mean,r2,0.2242
8,2027,location,0,r2,0.068
8,2027,location,1,r2,0.1897
8,2027,location,2,r2,0.3336
8,2027,location,mean,r2,0.1971
9,2027,location,0,r2,0.0921
9,2027,location,1,r2,0.288
9,2027,location,2,r2,0.3489
9,2027,location,mean,r2,0.243
10,2027,location,0,r2,0.0939
10,2027,location,1,r2,0.288
10,2027,location,2,r2,0.3566
10,2027,location,mean,r2,0.2462
1,2028,location,0,r2,0.0123
1,2028,location,1,r2,0.069
1,2028,location,2,r2,0.0908
1,2028,location,mean,r2,0.0574
2,2028,location,0,r2,0.0366
2,2028,location,1,r2,0.1961
2,2028,location,2,r2,0.1659
2,2028,location,mean,r2,0.1328
3,2028,location,0,r2,0.0651
3,2028,location,1,r2,0.2248
3,2028,location,2,r2,0.178
3,2028,location,mean,r2,0.1559
4,2028,location,0,r2,0.0733
4,2028,location,1,r2,0.2344
4,2028,location,2,r2,0.25
4,2028,location,mean,r2,0.1859
5,2028,location,0,r2,0.0583
5,2028,location,1,r2,0.2122
5,2028,location,2,r2,0.2585
5,2028,location,mean,r2,0.1763
6,2028,location,0,r2,0.0764
6,2028,location,1,r2,0.244
6,2028,location,2,r2,0.3029
6,2028,location,mean,r2,0.2078
7,2028,location,0,r2,0.0826
7,2028,location,1,r2,0.2153
7,2028,location,2,r2,0.3212
7,2028,location,mean,r2,0.2064
8,2028,location,0,r2,0.0799
8,2028,location,1,r2,0.2526
8,2028,location,2,r2,0.3393
8,2028,location,mean,r2,0.2239
9,2028,location,0,r2,0.0936
9,2028,location,1,r2,0.2571
9,2028,location,2,r2,0.3503
9,2028,location,mean,r2,0.2337
10,2028,location,0,r2,0.0897
10,2028,location,1,r2,0.2734
10,2028,location,2,r2,0.3568
10,2028,location,mean,r2,0.2399
