epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.09
1,2026,radiomics,1,r2,0.117
1,2026,radiomics,2,r2,0.1671
1,2026,radiomics,mean,r2,0.1247
2,2026,radiomics,0,r2,0.2042
2,2026,radiomics,1,r2,0.1727
2,2026,radiomics,2,r2,0.2593
2,2026,radiomics,mean,r2,0.2121
3,2026,radiomics,0,r2,0.23
3,2026,radiomics,1,r2,0.2311
3,2026,radiomics,2,r2,0.2795
3,2026,radiomics,mean,r2,0.2469
4,2026,radiomics,0,r2,0.2491
4,2026,radiomics,1,r2,0.2678
4,2026,radiomics,2,r2,0.293
4,2026,radiomics,mean,r2,0.27
5,2026,radiomics,0,r2,0.2752
5,2026,radiomics,1,r2,0.2542
5,2026,radiomics,2,r2,0.3146
5,2026,radiomics,mean,r2,0.2813
6,2026,radiomics,0,r2,0.2822
6,2026,radiomics,1,r2,0.3187
6,2026,radiomics,2,r2,0.313
6,2026,radiomics,mean,r2,0.3047
7,2026,radiomics,0,r2,0.2963
7,2026,radiomics,1,r2,0.3282
7,2026,radiomics,2,r2,0.3295
7,2026,radiomics,mean,r2,0.318
8,2026,radiomics,0,r2,0.2987
8,2026,radiomics,1,r2,0.3158
8,2026,radiomics,2,r2,0.3233
8,2026,radiomics,mean,r2,0.3126
9,2026,radiomics,0,r2,0.2891
9,2026,radiomics,1,r2,0.3328
9,2026,radiomics,2,r2,0.3276
9,2026,radiomics,mean,r2,0.3165
10,2026,radiomics,0,r2,0.3095
10,2026,radiomics,1,r2,0.3706
10,2026,radiomics,2,r2,0.331
10,2026,radiomics,mean,r2,0.337
1,2027,radiomics,0,r2,0.1056
1,2027,radiomics,1,r2,0.117
1,2027,radiomics,2,r2,0.1563
1,2027,radiomics,mean,r2,0.1263
2,2027,radiomics,0,r2,0.0885
2,2027,radiomics,1,r2,0.1756
2,2027,radiomics,2,r2,0.1906
2,2027,radiomics,mean,r2,0.1516
3,2027,radiomics,0,r2,0.1969
3,2027,radiomics,1,r2,0.2183
3,2027,radiomics,2,r2,0.2286
3,2027,radiomics,mean,r2,0.2146
4,2027,radiomics,0,r2,0.2319
4,2027,radiomics,1,r2,0.2148
4,2027,radiomics,2,r2,0.262
4,2027,radiomics,mean,r2,0.2362
5,2027,radiomics,0,r2,0.2767
5,2027,radiomics,1,r2,0.2862
5,2027,radiomics,2,r2,0.2984
5,2027,radiomics,mean,r2,0.2871
6,2027,radiomics,0,r2,0.2763
6,2027,radiomics,1,r2,0.3072
6,2027,radiomics,2,r2,0.293
6,2027,radiomics,mean,r2,0.2922
7,2027,radiomics,0,r2,0.2987
7,2027,radiomics,1,r2,0.3553
7,2027,radiomics,2,r2,0.317
7,2027,radiomics,mean,r2,0.3237
8,2027,radiomics,0,r2,0.3043
8,2027,radiomics,1,r2,0.3348
8,2027,radiomics,2,r2,0.322
8,2027,radiomics,mean,r2,0.3204
9,2027,radiomics,0,r2,0.2832
9,2027,radiomics,1,r2,0.3672
9,2027,radiomics,2,r2,0.3211
9,2027,radiomics,mean,r2,0.3238
10,2027,radiomics,0,r2,0.3054
10,2027,radiomics,1,r2,0.3904
10,2027,radiomics,2,r2,0.3361
10,2027,radiomics,mean,r2,0.3439
1,2028,radiomics,0,r2,0.1115
1,2028,radiomics,1,r2,0.0934
1,2028,radiomics,2,r2,0.1689
1,2028,radiomics,mean,r2,0.1246
2,2028,radiomics,0,r2,0.1738
2,2028,radiomics,1,r2,0.1875
2,2028,radiomics,2,r2,0.2205
2,2028,radiomics,mean,r2,0.1939
3,2028,radiomics,0,r2,0.1351
3,2028,radiomics,1,r2,0.2414
3,2028,radiomics,2,r2,0.2555
3,2028,radiomics,mean,r2,0.2106
4,2028,radiomics,0,r2,0.2429
4,2028,radiomics,1,r2,0.2602
4,2028,radiomics,2,r2,0.2871
4,2028,radiomics,mean,r2,0.2634
5,2028,radiomics,0,r2,0.2476
5,2028,radiomics,1,r2,0.3236
5,2028,radiomics,2,r2,0.315
5,2028,radiomics,mean,r2,0.2954
6,2028,radiomics,0,r2,0.254
6,2028,radiomics,1,r2,0.3523
6,2028,radiomics,2,r2,0.3138
6,2028,radiomics,mean,r2,0.3067
7,2028,radiomics,0,r2,0.292
7,2028,radiomics,1,r2,0.3644
7,2028,radiomics,2,r2,0.3399
7,2028,radiomics,mean,r2,0.3321
8,2028,radiomics,0,r2,0.2896
8,2028,radiomics,1,r2,0.3728
8,2028,radiomics,2,r2,0.33
8,2028,radiomics,mean,r2,0.3308
9,2028,radiomics,0,r2,0.2993
9,2028,radiomics,1,r2,0.3535
9,2028,radiomics,2,r2,0.3345
9,2028,radiomics,mean,r2,0.3291
10,2028,radiomics,0,r2,0.2994
10,2028,radiomics,1,r2,0.3404
10,2028,radiomics,2,r2,0.3456
10,2028,radiomics,mean,r2,0.3285
