epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.1246
1,2026,size,1,r2,0.1191
1,2026,size,2,r2,0.1776
1,2026,size,3,r2,0.2302
1,2026,size,4,r2,0.2085
1,2026,size,mean,r2,0.172
2,2026,size,0,r2,0.2576
2,2026,size,1,r2,0.1551
2,2026,size,2,r2,0.2482
2,2026,size,3,r2,0.3108
2,2026,size,4,r2,0.296
2,2026,size,mean,r2,0.2535
3,2026,size,0,r2,0.2947
3,2026,size,1,r2,0.1639
3,2026,size,2,r2,0.263
3,2026,size,3,r2,0.3344
3,2026,size,4,r2,0.3262
3,2026,size,mean,r2,0.2764
4,2026,size,0,r2,0.3122
4,2026,size,1,r2,0.1672
4,2026,size,2,r2,0.2506
4,2026,size,3,r2,0.3256
4,2026,size,4,r2,0.3352
4,2026,size,mean,r2,0.2782
5,2026,size,0,r2,0.3546
5,2026,size,1,r2,0.1781
5,2026,size,2,r2,0.2755
5,2026,size,3,r2,0.339
5,2026,size,4,r2,0.3555
5,2026,size,mean,r2,0.3006
6,2026,size,0,r2,0.3665
6,2026,size,1,r2,0.1778
6,2026,size,2,r2,0.282
6,2026,size,3,r2,0.3505
6,2026,size,4,r2,0.3672
6,2026,size,mean,r2,0.3088
7,2026,size,0,r2,0.3798
7,2026,size,1,r2,0.168
7,2026,size,2,r2,0.2898
7,2026,size,3,r2,0.3415
7,2026,size,4,r2,0.3736
7,2026,size,mean,r2,0.3106
8,2026,size,0,r2,0.3701
8,2026,size,1,r2,0.1896
8,2026,size,2,r2,0.2858
8,2026,size,3,r2,0.3667
8,2026,size,4,r2,0.3865
8,2026,size,mean,r2,0.3197
9,2026,size,0,r2,0.3887
9,2026,size,1,r2,0.1768
9,2026,size,2,r2,0.2765
9,2026,size,3,r2,0.3414
9,2026,size,4,r2,0.394
9,2026,size,mean,r2,0.3155
10,2026,size,0,r2,0.3869
10,2026,size,1,r2,0.1962
10,2026,size,2,r2,0.2901
10,2026,size,3,r2,0.3631
10,2026,size,4,r2,0.3902
10,2026,size,mean,r2,0.3253
1,2027,size,0,r2,0.1532
1,2027,size,1,r2,0.0887
1,2027,size,2,r2,0.1787
1,2027,size,3,r2,0.2243
1,2027,size,4,r2,0.2189
1,2027,size,mean,r2,0.1728
2,2027,size,0,r2,0.222
2,2027,size,1,r2,0.1653
2,2027,size,2,r2,0.2289
2,2027,size,3,r2,0.3128
2,2027,size,4,r2,0.2761
2,2027,size,mean,r2,0.241
3,2027,size,0,r2,0.2572
3,2027,size,1,r2,0.1588
3,2027,size,2,r2,0.2561
3,2027,size,3,r2,0.3216
3,2027,size,4,r2,0.3023
3,2027,size,mean,r2,0.2592
4,2027,size,0,r2,0.3289
4,2027,size,1,r2,0.1571
4,2027,size,2,r2,0.2751
4,2027,size,3,r2,0.342
4,2027,size,4,r2,0.3372
4,2027,size,mean,r2,0.2881
5,2027,size,0,r2,0.3726
5,2027,size,1,r2,0.1658
5,2027,size,2,r2,0.2792
5,2027,size,3,r2,0.328
5,2027,size,4,r2,0.3592
5,2027,size,mean,r2,0.301
6,2027,size,0,r2,0.3749
6,2027,size,1,r2,0.1441
6,2027,size,2,r2,0.2448
6,2027,size,3,r2,0.3464
6,2027,size,4,r2,0.3815
6,2027,size,mean,r2,0.2983
7,2027,size,0,r2,0.3864
7,2027,size,1,r2,0.1426
7,2027,size,2,r2,0.2337
7,2027,size,3,r2,0.3077
7,2027,size,4,r2,0.3836
7,2027,size,mean,r2,0.2908
8,2027,size,0,r2,0.3938
8,2027,size,1,r2,0.2035
8,2027,size,2,r2,0.2883
8,2027,size,3,r2,0.3614
8,2027,size,4,r2,0.3748
8,2027,size,mean,r2,0.3243
9,2027,size,0,r2,0.4091
9,2027,size,1,r2,0.2049
9,2027,size,2,r2,0.2943
9,2027,size,3,r2,0.375
9,2027,size,4,r2,0.3992
9,2027,size,mean,r2,0.3365
10,2027,size,0,r2,0.4121
10,2027,size,1,r2,0.2164
10,2027,size,2,r2,0.2915
10,2027,size,3,r2,0.3801
10,2027,size,4,r2,0.4017
10,2027,size,mean,r2,0.3404
1,2028,size,0,r2,0.1456
1,2028,size,1,r2,0.1561
1,2028,size,2,r2,0.224
1,2028,size,3,r2,0.275
1,2028,size,4,r2,0.2301
1,2028,size,mean,r2,0.2062
