epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.0632
1,2026,density,1,r2,0.2514
1,2026,density,2,r2,0.0256
1,2026,density,3,r2,0.011
1,2026,density,mean,r2,0.0878
2,2026,density,0,r2,0.091
2,2026,density,1,r2,0.3229
2,2026,density,2,r2,0.048
2,2026,density,3,r2,0.0401
2,2026,density,mean,r2,0.1255
3,2026,density,0,r2,0.0702
3,2026,density,1,r2,0.3362
3,2026,density,2,r2,0.0476
3,2026,density,3,r2,0.0476
3,2026,density,mean,r2,0.1254
4,2026,density,0,r2,0.1107
4,2026,density,1,r2,0.3534
4,2026,density,2,r2,0.0653
4,2026,density,3,r2,0.057
4,2026,density,mean,r2,0.1466
5,2026,density,0,r2,0.1186
5,2026,density,1,r2,0.3688
5,2026,density,2,r2,0.0682
5,2026,density,3,r2,0.065
5,2026,density,mean,r2,0.1551
6,2026,density,0,r2,0.0978
6,2026,density,1,r2,0.3693
6,2026,density,2,r2,0.079
6,2026,density,3,r2,0.0694
6,2026,density,mean,r2,0.1539
7,2026,density,0,r2,0.1284
7,2026,density,1,r2,0.3715
7,2026,density,2,r2,0.0851
7,2026,density,3,r2,0.0755
7,2026,density,mean,r2,0.1651
8,2026,density,0,r2,0.1341
8,2026,density,1,r2,0.3869
8,2026,density,2,r2,0.0922
8,2026,density,3,r2,0.0853
8,2026,density,mean,r2,0.1746
9,2026,density,0,r2,0.1381
9,2026,density,1,r2,0.3768
9,2026,density,2,r2,0.0914
9,2026,density,3,r2,0.079
9,2026,density,mean,r2,0.1713
10,2026,density,0,r2,0.1393
10,2026,density,1,r2,0.3855
10,2026,density,2,r2,0.0993
10,2026,density,3,r2,0.0758
10,2026,density,mean,r2,0.175
1,2027,density,0,r2,0.0666
1,2027,density,1,r2,0.2715
1,2027,density,2,r2,0.0258
1,2027,density,3,r2,0.0132
1,2027,density,mean,r2,0.0943
2,2027,density,0,r2,0.0556
2,2027,density,1,r2,0.3075
2,2027,density,2,r2,0.0416
2,2027,density,3,r2,0.0325
2,2027,density,mean,r2,0.1093
3,2027,density,0,r2,0.0877
3,2027,density,1,r2,0.3412
3,2027,density,2,r2,0.0612
3,2027,density,3,r2,0.0539
3,2027,density,mean,r2,0.136
4,2027,density,0,r2,0.0966
4,2027,density,1,r2,0.3313
4,2027,density,2,r2,0.0506
4,2027,density,3,r2,0.0393
4,2027,density,mean,r2,0.1294
5,2027,density,0,r2,0.1111
5,2027,density,1,r2,0.3713
5,2027,density,2,r2,0.0719
5,2027,density,3,r2,0.0679
5,2027,density,mean,r2,0.1555
6,2027,density,0,r2,0.1161
6,2027,density,1,r2,0.3668
6,2027,density,2,r2,0.0708
6,2027,density,3,r2,0.0612
6,2027,density,mean,r2,0.1537
7,2027,density,0,r2,0.1258
7,2027,density,1,r2,0.3686
7,2027,density,2,r2,0.0725
7,2027,density,3,r2,0.0467
7,2027,density,mean,r2,0.1534
8,2027,density,0,r2,0.1144
8,2027,density,1,r2,0.389
8,2027,density,2,r2,0.0825
8,2027,density,3,r2,0.0679
8,2027,density,mean,r2,0.1634
9,2027,density,0,r2,0.1342
9,2027,density,1,r2,0.3913
9,2027,density,2,r2,0.0692
9,2027,density,3,r2,0.0742
9,2027,density,mean,r2,0.1672
10,2027,density,0,r2,0.1398
10,2027,density,1,r2,0.3966
10,2027,density,2,r2,0.0692
10,2027,density,3,r2,0.0745
10,2027,density,mean,r2,0.17
1,2028,density,0,r2,0.0645
1,2028,density,1,r2,0.2562
1,2028,density,2,r2,0.0182
1,2028,density,3,r2,0.0072
1,2028,density,mean,r2,0.0865
2,2028,density,0,r2,0.0617
2,2028,density,1,r2,0.2804
2,2028,density,2,r2,0.0412
2,2028,density,3,r2,0.0309
2,2028,density,mean,r2,0.1035
3,2028,density,0,r2,0.0809
3,2028,density,1,r2,0.3312
3,2028,density,2,r2,0.0519
3,2028,density,3,r2,0.046
3,2028,density,mean,r2,0.1275
4,2028,density,0,r2,0.0968
4,2028,density,1,r2,0.3481
4,2028,density,2,r2,0.0667
4,2028,density,3,r2,0.0617
4,2028,density,mean,r2,0.1433
5,2028,density,0,r2,0.1097
5,2028,density,1,r2,0.3593
5,2028,density,2,r2,0.0837
5,2028,density,3,r2,0.0671
5,2028,density,mean,r2,0.1549
6,2028,density,0,r2,0.0904
6,2028,density,1,r2,0.3374
6,2028,density,2,r2,0.0606
6,2028,density,3,r2,0.0438
6,2028,density,mean,r2,0.1331
7,2028,density,0,r2,0.1099
7,2028,density,1,r2,0.3696
7,2028,density,2,r2,0.0889
7,2028,density,3,r2,0.0756
7,2028,density,mean,r2,0.161
8,2028,density,0,r2,0.1264
8,2028,density,1,r2,0.3869
8,2028,density,2,r2,0.0991
8,2028,density,3,r2,0.0801
8,2028,density,mean,r2,0.1731
9,2028,density,0,r2,0.1308
9,2028,density,1,r2,0.3913
9,2028,density,2,r2,0.0992
9,2028,density,3,r2,0.0911
9,2028,density,mean,r2,0.1781
10,2028,density,0,r2,0.1389
10,2028,density,1,r2,0.4072
10,2028,density,2,r2,0.1036
10,2028,density,3,r2,0.0947
10,2028,density,mean,r2,0.1861
