epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0046
1,2026,location,1,r2,0.0363
1,2026,location,2,r2,0.0418
1,2026,location,mean,r2,0.0275
2,2026,location,0,r2,0.005
2,2026,location,1,r2,0.0295
2,2026,location,2,r2,0.0443
2,2026,location,mean,r2,0.0262
3,2026,location,0,r2,0.0075
3,2026,location,1,r2,0.0386
3,2026,location,2,r2,0.0449
3,2026,location,mean,r2,0.0303
4,2026,location,0,r2,0.0075
4,2026,location,1,r2,0.0367
4,2026,location,2,r2,0.0423
4,2026,location,mean,r2,0.0289
5,2026,location,0,r2,0.0079
5,2026,location,1,r2,0.0394
5,2026,location,2,r2,0.0472
5,2026,location,mean,r2,0.0315
6,2026,location,0,r2,0.0066
6,2026,location,1,r2,0.0387
6,2026,location,2,r2,0.0491
6,2026,location,mean,r2,0.0314
7,2026,location,0,r2,0.0056
7,2026,location,1,r2,0.0381
7,2026,location,2,r2,0.0512
7,2026,location,mean,r2,0.0316
8,2026,location,0,r2,0.0056
8,2026,location,1,r2,0.0396
8,2026,location,2,r2,0.0347
8,2026,location,mean,r2,0.0266
9,2026,location,0,r2,0.0051
9,2026,location,1,r2,0.0433
9,2026,location,2,r2,0.0555
9,2026,location,mean,r2,0.0346
10,2026,location,0,r2,0.0061
10,2026,location,1,r2,0.0479
10,2026,location,2,r2,0.0581
10,2026,location,mean,r2,0.0374
1,2027,location,0,r2,0.0057
1,2027,location,1,r2,0.0394
1,2027,location,2,r2,0.0413
1,2027,location,mean,r2,0.0288
2,2027,location,0,r2,0.0066
2,2027,location,1,r2,0.0287
2,2027,location,2,r2,0.0439
2,2027,location,mean,r2,0.0264
3,2027,location,0,r2,0.0032
3,2027,location,1,r2,0.0367
3,2027,location,2,r2,0.0444
3,2027,location,mean,r2,0.0281
4,2027,location,0,r2,0.0064
4,2027,location,1,r2,0.0276
4,2027,location,2,r2,0.0371
4,2027,location,mean,r2,0.0237
5,2027,location,0,r2,0.0023
5,2027,location,1,r2,0.0407
5,2027,location,2,r2,0.0405
5,2027,location,mean,r2,0.0279
6,2027,location,0,r2,0.0067
6,2027,location,1,r2,0.0411
6,2027,location,2,r2,0.0436
6,2027,location,mean,r2,0.0305
7,2027,location,0,r2,0.006
7,2027,location,1,r2,0.0412
7,2027,location,2,r2,0.0468
7,2027,location,mean,r2,0.0313
8,2027,location,0,r2,0.0032
8,2027,location,1,r2,0.0413
8,2027,location,2,r2,0.0383
8,2027,location,mean,r2,0.0276
9,2027,location,0,r2,0.0077
9,2027,location,1,r2,0.0469
9,2027,location,2,r2,0.0413
9,2027,location,mean,r2,0.032
10,2027,location,0,r2,0.0047
10,2027,location,1,r2,0.0409
10,2027,location,2,r2,0.0486
10,2027,location,mean,r2,0.0314
1,2028,location,0,r2,0.0069
1,2028,location,1,r2,0.0393
1,2028,location,2,r2,0.0419
1,2028,location,mean,r2,0.0294
2,2028,location,0,r2,0.0077
2,2028,location,1,r2,0.0358
2,2028,location,2,r2,0.0412
2,2028,location,mean,r2,0.0282
3,2028,location,0,r2,0.004
3,2028,location,1,r2,0.0342
3,2028,location,2,r2,0.0443
3,2028,location,mean,r2,0.0275
4,2028,location,0,r2,0.008
4,2028,location,1,r2,0.0407
4,2028,location,2,r2,0.0452
4,2028,location,mean,r2,0.0313
5,2028,location,0,r2,0.0058
5,2028,location,1,r2,0.0328
5,2028,location,2,r2,0.0442
5,2028,location,mean,r2,0.0276
6,2028,location,0,r2,0.0054
6,2028,location,1,r2,0.0426
6,2028,location,2,r2,0.0434
6,2028,location,mean,r2,0.0305
7,2028,location,0,r2,0.007
7,2028,location,1,r2,0.0437
7,2028,location,2,r2,0.0418
7,2028,location,mean,r2,0.0308
8,2028,location,0,r2,0.0051
8,2028,location,1,r2,0.0391
8,2028,location,2,r2,0.0465
8,2028,location,mean,r2,0.0302
9,2028,location,0,r2,0.0053
9,2028,location,1,r2,0.038
9,2028,location,2,r2,0.0442
9,2028,location,mean,r2,0.0292
10,2028,location,0,r2,0.0073
10,2028,location,1,r2,0.0431
10,2028,location,2,r2,0.0505
10,2028,location,mean,r2,0.0337
