epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.0334
1,2026,radiomics,1,r2,0.065
1,2026,radiomics,2,r2,0.113
1,2026,radiomics,mean,r2,0.0705
2,2026,radiomics,0,r2,0.0381
2,2026,radiomics,1,r2,0.0953
2,2026,radiomics,2,r2,0.1283
2,2026,radiomics,mean,r2,0.0872
3,2026,radiomics,0,r2,0.0497
3,2026,radiomics,1,r2,0.1022
3,2026,radiomics,2,r2,0.1514
3,2026,radiomics,mean,r2,0.1011
4,2026,radiomics,0,r2,0.0644
4,2026,radiomics,1,r2,0.126
4,2026,radiomics,2,r2,0.1606
4,2026,radiomics,mean,r2,0.117
5,2026,radiomics,0,r2,0.0763
5,2026,radiomics,1,r2,0.149
5,2026,radiomics,2,r2,0.1659
5,2026,radiomics,mean,r2,0.1304
6,2026,radiomics,0,r2,0.1008
6,2026,radiomics,1,r2,0.1466
6,2026,radiomics,2,r2,0.1752
6,2026,radiomics,mean,r2,0.1409
7,2026,radiomics,0,r2,0.0975
7,2026,radiomics,1,r2,0.1233
7,2026,radiomics,2,r2,0.1737
7,2026,radiomics,mean,r2,0.1315
8,2026,radiomics,0,r2,0.1032
8,2026,radiomics,1,r2,0.1671
8,2026,radiomics,2,r2,0.1742
8,2026,radiomics,mean,r2,0.1482
9,2026,radiomics,0,r2,0.1001
9,2026,radiomics,1,r2,0.1886
9,2026,radiomics,2,r2,0.1826
9,2026,radiomics,mean,r2,0.1571
10,2026,radiomics,0,r2,0.1087
10,2026,radiomics,1,r2,0.1583
10,2026,radiomics,2,r2,0.1607
10,2026,radiomics,mean,r2,0.1426
1,2027,radiomics,0,r2,0.0336
1,2027,radiomics,1,r2,0.0539
1,2027,radiomics,2,r2,0.1021
1,2027,radiomics,mean,r2,0.0632
2,2027,radiomics,0,r2,0.0264
2,2027,radiomics,1,r2,0.0868
2,2027,radiomics,2,r2,0.1366
2,2027,radiomics,mean,r2,0.0833
3,2027,radiomics,0,r2,0.0545
3,2027,radiomics,1,r2,0.1108
3,2027,radiomics,2,r2,0.144
3,2027,radiomics,mean,r2,0.1031
4,2027,radiomics,0,r2,0.0646
4,2027,radiomics,1,r2,0.1169
4,2027,radiomics,2,r2,0.1478
4,2027,radiomics,mean,r2,0.1098
5,2027,radiomics,0,r2,0.0888
5,2027,radiomics,1,r2,0.1124
5,2027,radiomics,2,r2,0.1712
5,2027,radiomics,mean,r2,0.1241
6,2027,radiomics,0,r2,0.0973
6,2027,radiomics,1,r2,0.1401
6,2027,radiomics,2,r2,0.1716
6,2027,radiomics,mean,r2,0.1363
7,2027,radiomics,0,r2,0.106
7,2027,radiomics,1,r2,0.1612
7,2027,radiomics,2,r2,0.1813
7,2027,radiomics,mean,r2,0.1495
8,2027,radiomics,0,r2,0.1052
8,2027,radiomics,1,r2,0.167
8,2027,radiomics,2,r2,0.1775
8,2027,radiomics,mean,r2,0.1499
9,2027,radiomics,0,r2,0.0983
9,2027,radiomics,1,r2,0.1752
9,2027,radiomics,2,r2,0.1847
9,2027,radiomics,mean,r2,0.1527
10,2027,radiomics,0,r2,0.1016
10,2027,radiomics,1,r2,0.1471
10,2027,radiomics,2,r2,0.1666
10,2027,radiomics,mean,r2,0.1384
1,2028,radiomics,0,r2,0.0318
1,2028,radiomics,1,r2,0.0736
1,2028,radiomics,2,r2,0.1113
1,2028,radiomics,mean,r2,0.0722
2,2028,radiomics,0,r2,0.0371
2,2028,radiomics,1,r2,0.1038
2,2028,radiomics,2,r2,0.1373
2,2028,radiomics,mean,r2,0.0928
3,2028,radiomics,0,r2,0.0453
3,2028,radiomics,1,r2,0.1057
3,2028,radiomics,2,r2,0.1504
3,2028,radiomics,mean,r2,0.1005
4,2028,radiomics,0,r2,0.0752
4,2028,radiomics,1,r2,0.1184
4,2028,radiomics,2,r2,0.1575
4,2028,radiomics,mean,r2,0.117
5,2028,radiomics,0,r2,0.0893
5,2028,radiomics,1,r2,0.1272
5,2028,radiomics,2,r2,0.1671
5,2028,radiomics,mean,r2,0.1278
6,2028,radiomics,0,r2,0.0674
6,2028,radiomics,1,r2,0.1071
6,2028,radiomics,2,r2,0.1614
6,2028,radiomics,mean,r2,0.112
7,2028,radiomics,0,r2,0.1042
7,2028,radiomics,1,r2,0.1062
7,2028,radiomics,2,r2,0.1755
7,2028,radiomics,mean,r2,0.1286
8,2028,radiomics,0,r2,0.1105
8,2028,radiomics,1,r2,0.1122
8,2028,radiomics,2,r2,0.1829
8,2028,radiomics,mean,r2,0.1352
9,2028,radiomics,0,r2,0.0931
9,2028,radiomics,1,r2,0.1694
9,2028,radiomics,2,r2,0.1828
9,2028,radiomics,mean,r2,0.1484
10,2028,radiomics,0,r2,0.1111
10,2028,radiomics,1,r2,0.1812
10,2028,radiomics,2,r2,0.1804
10,2028,radiomics,mean,r2,0.1576
