epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.0427
1,2026,size,1,r2,0.0754
1,2026,size,2,r2,0.1074
1,2026,size,3,r2,0.105
1,2026,size,4,r2,0.063
1,2026,size,mean,r2,0.0787
2,2026,size,0,r2,0.0614
2,2026,size,1,r2,0.0929
2,2026,size,2,r2,0.1347
2,2026,size,3,r2,0.1677
2,2026,size,4,r2,0.1295
2,2026,size,mean,r2,0.1172
3,2026,size,0,r2,0.0746
3,2026,size,1,r2,0.0952
3,2026,size,2,r2,0.1461
3,2026,size,3,r2,0.1645
3,2026,size,4,r2,0.1072
3,2026,size,mean,r2,0.1175
4,2026,size,0,r2,0.0924
4,2026,size,1,r2,0.0828
4,2026,size,2,r2,0.1537
4,2026,size,3,r2,0.1751
4,2026,size,4,r2,0.1544
4,2026,size,mean,r2,0.1317
5,2026,size,0,r2,0.0958
5,2026,size,1,r2,0.1032
5,2026,size,2,r2,0.1592
5,2026,size,3,r2,0.1876
5,2026,size,4,r2,0.1552
5,2026,size,mean,r2,0.1402
6,2026,size,0,r2,0.1119
6,2026,size,1,r2,0.0929
6,2026,size,2,r2,0.1602
6,2026,size,3,r2,0.1923
6,2026,size,4,r2,0.1696
6,2026,size,mean,r2,0.1454
7,2026,size,0,r2,0.1008
7,2026,size,1,r2,0.1173
7,2026,size,2,r2,0.1537
7,2026,size,3,r2,0.1818
7,2026,size,4,r2,0.1412
7,2026,size,mean,r2,0.1389
8,2026,size,0,r2,0.1239
8,2026,size,1,r2,0.1156
8,2026,size,2,r2,0.1722
8,2026,size,3,r2,0.2026
8,2026,size,4,r2,0.1645
8,2026,size,mean,r2,0.1558
9,2026,size,0,r2,0.1192
9,2026,size,1,r2,0.1163
9,2026,size,2,r2,0.1733
9,2026,size,3,r2,0.2005
9,2026,size,4,r2,0.1756
9,2026,size,mean,r2,0.157
10,2026,size,0,r2,0.1327
10,2026,size,1,r2,0.0993
10,2026,size,2,r2,0.1779
10,2026,size,3,r2,0.1858
10,2026,size,4,r2,0.1787
10,2026,size,mean,r2,0.1549
1,2027,size,0,r2,0.0391
1,2027,size,1,r2,0.0765
1,2027,size,2,r2,0.0954
1,2027,size,3,r2,0.0961
1,2027,size,4,r2,0.0573
1,2027,size,mean,r2,0.0729
2,2027,size,0,r2,0.0583
2,2027,size,1,r2,0.0726
2,2027,size,2,r2,0.1007
2,2027,size,3,r2,0.1359
2,2027,size,4,r2,0.1112
2,2027,size,mean,r2,0.0957
3,2027,size,0,r2,0.077
3,2027,size,1,r2,0.1032
3,2027,size,2,r2,0.1399
3,2027,size,3,r2,0.1731
3,2027,size,4,r2,0.1367
3,2027,size,mean,r2,0.126
4,2027,size,0,r2,0.0466
4,2027,size,1,r2,0.0897
4,2027,size,2,r2,0.1352
4,2027,size,3,r2,0.1552
4,2027,size,4,r2,0.1209
4,2027,size,mean,r2,0.1095
5,2027,size,0,r2,0.1067
5,2027,size,1,r2,0.0949
5,2027,size,2,r2,0.1554
5,2027,size,3,r2,0.1821
5,2027,size,4,r2,0.1557
5,2027,size,mean,r2,0.139
6,2027,size,0,r2,0.1051
6,2027,size,1,r2,0.1083
6,2027,size,2,r2,0.1652
6,2027,size,3,r2,0.1928
6,2027,size,4,r2,0.1441
6,2027,size,mean,r2,0.1431
7,2027,size,0,r2,0.1142
7,2027,size,1,r2,0.1145
7,2027,size,2,r2,0.1719
7,2027,size,3,r2,0.2019
7,2027,size,4,r2,0.1619
7,2027,size,mean,r2,0.1529
8,2027,size,0,r2,0.1134
8,2027,size,1,r2,0.1174
8,2027,size,2,r2,0.1761
8,2027,size,3,r2,0.2094
8,2027,size,4,r2,0.1757
8,2027,size,mean,r2,0.1584
9,2027,size,0,r2,0.1114
9,2027,size,1,r2,0.1089
9,2027,size,2,r2,0.1812
9,2027,size,3,r2,0.2164
9,2027,size,4,r2,0.1723
9,2027,size,mean,r2,0.158
10,2027,size,0,r2,0.1241
10,2027,size,1,r2,0.1185
10,2027,size,2,r2,0.1832
10,2027,size,3,r2,0.2245
10,2027,size,4,r2,0.1829
10,2027,size,mean,r2,0.1666
1,2028,size,0,r2,0.0369
1,2028,size,1,r2,0.064
1,2028,size,2,r2,0.0989
1,2028,size,3,r2,0.0949
1,2028,size,4,r2,0.0525
1,2028,size,mean,r2,0.0695
2,2028,size,0,r2,0.0664
2,2028,size,1,r2,0.0882
2,2028,size,2,r2,0.1268
2,2028,size,3,r2,0.1583
2,2028,size,4,r2,0.1273
2,2028,size,mean,r2,0.1134
3,2028,size,0,r2,0.0851
3,2028,size,1,r2,0.0897
3,2028,size,2,r2,0.1372
3,2028,size,3,r2,0.1728
3,2028,size,4,r2,0.1397
3,2028,size,mean,r2,0.1249
4,2028,size,0,r2,0.0616
4,2028,size,1,r2,0.0762
4,2028,size,2,r2,0.0933
4,2028,size,3,r2,0.141
4,2028,size,4,r2,0.116
4,2028,size,mean,r2,0.0976
5,2028,size,0,r2,0.0978
5,2028,size,1,r2,0.1025
5,2028,size,2,r2,0.1514
5,2028,size,3,r2,0.1707
5,2028,size,4,r2,0.1434
5,2028,size,mean,r2,0.1332
6,2028,size,0,r2,0.1076
6,2028,size,1,r2,0.108
6,2028,size,2,r2,0.1645
6,2028,size,3,r2,0.187
6,2028,size,4,r2,0.1579
6,2028,size,mean,r2,0.145
7,2028,size,0,r2,0.1062
7,2028,size,1,r2,0.107
7,2028,size,2,r2,0.1598
7,2028,size,3,r2,0.1978
7,2028,size,4,r2,0.1624
7,2028,size,mean,r2,0.1467
8,2028,size,0,r2,0.1159
8,2028,size,1,r2,0.1158
8,2028,size,2,r2,0.172
