epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.2842
1,2026,density,1,r2,0.1315
1,2026,density,2,r2,0.7331
1,2026,density,3,r2,0.634
1,2026,density,mean,r2,0.4457
2,2026,density,0,r2,0.3361
2,2026,density,1,r2,0.1473
2,2026,density,2,r2,0.77
2,2026,density,3,r2,0.6916
2,2026,density,mean,r2,0.4863
3,2026,density,0,r2,0.3549
3,2026,density,1,r2,0.1518
3,2026,density,2,r2,0.7384
3,2026,density,3,r2,0.7042
3,2026,density,mean,r2,0.4873
4,2026,density,0,r2,0.3674
4,2026,density,1,r2,0.1921
4,2026,density,2,r2,0.7682
4,2026,density,3,r2,0.7306
4,2026,density,mean,r2,0.5146
5,2026,density,0,r2,0.3281
5,2026,density,1,r2,0.1688
5,2026,density,2,r2,0.7654
5,2026,density,3,r2,0.7131
5,2026,density,mean,r2,0.4939
6,2026,density,0,r2,0.362
6,2026,density,1,r2,0.1628
6,2026,density,2,r2,0.7984
6,2026,density,3,r2,0.7341
6,2026,density,mean,r2,0.5143
7,2026,density,0,r2,0.4224
7,2026,density,1,r2,0.2041
7,2026,density,2,r2,0.8041
7,2026,density,3,r2,0.7512
7,2026,density,mean,r2,0.5455
8,2026,density,0,r2,0.4047
8,2026,density,1,r2,0.2101
8,2026,density,2,r2,0.7881
8,2026,density,3,r2,0.7388
8,2026,density,mean,r2,0.5354
9,2026,density,0,r2,0.4355
9,2026,density,1,r2,0.2092
9,2026,density,2,r2,0.8075
9,2026,density,3,r2,0.7533
9,2026,density,mean,r2,0.5514
10,2026,density,0,r2,0.43
10,2026,density,1,r2,0.2067
10,2026,density,2,r2,0.8025
10,2026,density,3,r2,0.7532
10,2026,density,mean,r2,0.5481
1,2027,density,0,r2,0.2794
1,2027,density,1,r2,0.1142
1,2027,density,2,r2,0.7312
1,2027,density,3,r2,0.6418
1,2027,density,mean,r2,0.4416
2,2027,density,0,r2,0.3133
2,2027,density,1,r2,0.1362
2,2027,density,2,r2,0.7349
2,2027,density,3,r2,0.686
2,2027,density,mean,r2,0.4676
3,2027,density,0,r2,0.3659
3,2027,density,1,r2,0.1595
3,2027,density,2,r2,0.7669
3,2027,density,3,r2,0.6964
3,2027,density,mean,r2,0.4972
4,2027,density,0,r2,0.3834
4,2027,density,1,r2,0.1647
4,2027,density,2,r2,0.7638
4,2027,density,3,r2,0.7078
4,2027,density,mean,r2,0.5049
5,2027,density,0,r2,0.3469
5,2027,density,1,r2,0.1744
5,2027,density,2,r2,0.7669
5,2027,density,3,r2,0.7159
5,2027,density,mean,r2,0.501
6,2027,density,0,r2,0.4037
6,2027,density,1,r2,0.1658
6,2027,density,2,r2,0.7794
6,2027,density,3,r2,0.7122
6,2027,density,mean,r2,0.5153
7,2027,density,0,r2,0.4061
7,2027,density,1,r2,0.1996
7,2027,density,2,r2,0.7599
7,2027,density,3,r2,0.6847
7,2027,density,mean,r2,0.5126
8,2027,density,0,r2,0.3972
8,2027,density,1,r2,0.1306
8,2027,density,2,r2,0.7967
8,2027,density,3,r2,0.7283
8,2027,density,mean,r2,0.5132
9,2027,density,0,r2,0.4351
9,2027,density,1,r2,0.2027
9,2027,density,2,r2,0.7962
9,2027,density,3,r2,0.7411
9,2027,density,mean,r2,0.5438
10,2027,density,0,r2,0.4206
10,2027,density,1,r2,0.2089
10,2027,density,2,r2,0.8035
10,2027,density,3,r2,0.743
10,2027,density,mean,r2,0.544
1,2028,density,0,r2,0.2346
1,2028,density,1,r2,0.1086
1,2028,density,2,r2,0.7215
1,2028,density,3,r2,0.649
1,2028,density,mean,r2,0.4285
2,2028,density,0,r2,0.3278
2,2028,density,1,r2,0.1402
2,2028,density,2,r2,0.6742
2,2028,density,3,r2,0.6461
2,2028,density,mean,r2,0.4471
3,2028,density,0,r2,0.3725
3,2028,density,1,r2,0.1556
3,2028,density,2,r2,0.7741
3,2028,density,3,r2,0.7076
3,2028,density,mean,r2,0.5024
4,2028,density,0,r2,0.3856
4,2028,density,1,r2,0.1533
4,2028,density,2,r2,0.7572
4,2028,density,3,r2,0.7063
4,2028,density,mean,r2,0.5006
5,2028,density,0,r2,0.3934
5,2028,density,1,r2,0.1875
5,2028,density,2,r2,0.7864
5,2028,density,3,r2,0.7012
5,2028,density,mean,r2,0.5171
6,2028,density,0,r2,0.3869
6,2028,density,1,r2,0.196
6,2028,density,2,r2,0.7951
6,2028,density,3,r2,0.7345
6,2028,density,mean,r2,0.5281
7,2028,density,0,r2,0.4067
7,2028,density,1,r2,0.1989
7,2028,density,2,r2,0.8082
7,2028,density,3,r2,0.7457
7,2028,density,mean,r2,0.5399
8,2028,density,0,r2,0.4242
8,2028,density,1,r2,0.2089
8,2028,density,2,r2,0.7841
8,2028,density,3,r2,0.7382
8,2028,density,mean,r2,0.5389
9,2028,density,0,r2,0.4411
9,2028,density,1,r2,0.2111
9,2028,density,2,r2,0.8089
9,2028,density,3,r2,0.7535
9,2028,density,mean,r2,0.5537
10,2028,density,0,r2,0.4486
10,2028,density,1,r2,0.2121
10,2028,density,2,r2,0.8011
10,2028,density,3,r2,0.7343
10,2028,density,mean,r2,0.549
