epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.6414
1,2026,size,1,r2,0.2037
1,2026,size,2,r2,0.3579
1,2026,size,3,r2,0.4118
1,2026,size,4,r2,0.4321
1,2026,size,mean,r2,0.4094
2,2026,size,0,r2,0.7045
2,2026,size,1,r2,0.2667
2,2026,size,2,r2,0.3994
2,2026,size,3,r2,0.4468
2,2026,size,4,r2,0.4697
2,2026,size,mean,r2,0.4574
3,2026,size,0,r2,0.709
3,2026,size,1,r2,0.293
3,2026,size,2,r2,0.3579
3,2026,size,3,r2,0.4701
3,2026,size,4,r2,0.4788
3,2026,size,mean,r2,0.4617
4,2026,size,0,r2,0.7322
4,2026,size,1,r2,0.3213
4,2026,size,2,r2,0.411
4,2026,size,3,r2,0.4811
4,2026,size,4,r2,0.4726
4,2026,size,mean,r2,0.4836
5,2026,size,0,r2,0.717
5,2026,size,1,r2,0.3049
5,2026,size,2,r2,0.4278
5,2026,size,3,r2,0.3928
5,2026,size,4,r2,0.4927
5,2026,size,mean,r2,0.4671
6,2026,size,0,r2,0.7484
6,2026,size,1,r2,0.3771
6,2026,size,2,r2,0.449
6,2026,size,3,r2,0.5026
6,2026,size,4,r2,0.5253
6,2026,size,mean,r2,0.5205
7,2026,size,0,r2,0.7508
7,2026,size,1,r2,0.3876
7,2026,size,2,r2,0.4415
7,2026,size,3,r2,0.4825
7,2026,size,4,r2,0.5125
7,2026,size,mean,r2,0.515
8,2026,size,0,r2,0.7565
8,2026,size,1,r2,0.4085
8,2026,size,2,r2,0.4424
8,2026,size,3,r2,0.5076
8,2026,size,4,r2,0.5389
8,2026,size,mean,r2,0.5308
9,2026,size,0,r2,0.7633
9,2026,size,1,r2,0.405
9,2026,size,2,r2,0.4626
9,2026,size,3,r2,0.5171
9,2026,size,4,r2,0.5392
9,2026,size,mean,r2,0.5374
10,2026,size,0,r2,0.7223
10,2026,size,1,r2,0.4202
10,2026,size,2,r2,0.4557
10,2026,size,3,r2,0.512
10,2026,size,4,r2,0.5323
10,2026,size,mean,r2,0.5285
1,2027,size,0,r2,0.6383
1,2027,size,1,r2,0.1974
1,2027,size,2,r2,0.3404
1,2027,size,3,r2,0.4058
1,2027,size,4,r2,0.4301
1,2027,size,mean,r2,0.4024
2,2027,size,0,r2,0.6858
2,2027,size,1,r2,0.2477
2,2027,size,2,r2,0.3423
2,2027,size,3,r2,0.4484
2,2027,size,4,r2,0.4683
2,2027,size,mean,r2,0.4385
3,2027,size,0,r2,0.686
3,2027,size,1,r2,0.2961
3,2027,size,2,r2,0.3862
3,2027,size,3,r2,0.4173
3,2027,size,4,r2,0.4135
3,2027,size,mean,r2,0.4398
4,2027,size,0,r2,0.7149
4,2027,size,1,r2,0.3305
4,2027,size,2,r2,0.4147
4,2027,size,3,r2,0.4801
4,2027,size,4,r2,0.4831
4,2027,size,mean,r2,0.4847
5,2027,size,0,r2,0.6501
5,2027,size,1,r2,0.2941
5,2027,size,2,r2,0.4273
5,2027,size,3,r2,0.4992
5,2027,size,4,r2,0.4797
5,2027,size,mean,r2,0.4701
6,2027,size,0,r2,0.7241
6,2027,size,1,r2,0.3544
6,2027,size,2,r2,0.444
6,2027,size,3,r2,0.5116
6,2027,size,4,r2,0.5151
6,2027,size,mean,r2,0.5099
7,2027,size,0,r2,0.7395
7,2027,size,1,r2,0.3726
7,2027,size,2,r2,0.4347
7,2027,size,3,r2,0.5083
7,2027,size,4,r2,0.494
7,2027,size,mean,r2,0.5098
8,2027,size,0,r2,0.7532
8,2027,size,1,r2,0.3997
8,2027,size,2,r2,0.4473
8,2027,size,3,r2,0.525
8,2027,size,4,r2,0.5264
8,2027,size,mean,r2,0.5303
9,2027,size,0,r2,0.756
9,2027,size,1,r2,0.2985
9,2027,size,2,r2,0.3973
9,2027,size,3,r2,0.5081
9,2027,size,4,r2,0.5109
9,2027,size,mean,r2,0.4942
10,2027,size,0,r2,0.7556
10,2027,size,1,r2,0.4109
10,2027,size,2,r2,0.4691
10,2027,size,3,r2,0.5346
10,2027,size,4,r2,0.5191
10,2027,size,mean,r2,0.5379
1,2028,size,0,r2,0.6565
1,2028,size,1,r2,0.167
1,2028,size,2,r2,0.3571
1,2028,size,3,r2,0.3944
1,2028,size,4,r2,0.4308
1,2028,size,mean,r2,0.4011
2,2028,size,0,r2,0.6428
2,2028,size,1,r2,0.2315
2,2028,size,2,r2,0.3813
2,2028,size,3,r2,0.4204
2,2028,size,4,r2,0.3903
2,2028,size,mean,r2,0.4133
3,2028,size,0,r2,0.7086
3,2028,size,1,r2,0.316
3,2028,size,2,r2,0.4223
3,2028,size,3,r2,0.4777
3,2028,size,4,r2,0.492
3,2028,size,mean,r2,0.4833
4,2028,size,0,r2,0.7399
4,2028,size,1,r2,0.3345
4,2028,size,2,r2,0.426
4,2028,size,3,r2,0.4945
4,2028,size,4,r2,0.5037
4,2028,size,mean,r2,0.4997
5,2028,size,0,r2,0.7473
5,2028,size,1,r2,0.3775
5,2028,size,2,r2,0.4483
5,2028,size,3,r2,0.4853
5,2028,size,4,r2,0.5152
5,2028,size,mean,r2,0.5147
6,2028,size,0,r2,0.7472
6,2028,size,1,r2,0.3871
6,2028,size,2,r2,0.429
6,2028,size,3,r2,0.4818
6,2028,size,4,r2,0.5214
6,2028,size,mean,r2,0.5133
7,2028,size,0,r2,0.7443
7,2028,size,1,r2,0.3497
7,2028,size,2,r2,0.4412
7,2028,size,3,r2,0.483
7,2028,size,4,r2,0.5292
7,2028,size,mean,r2,0.5095
8,2028,size,0,r2,0.7595
8,2028,size,1,r2,0.3891
8,2028,size,2,r2,0.4419
8,2028,size,3,r2,0.5135
8,2028,size,4,r2,0.5355
8,2028,size,mean,r2,0.5279
9,2028,size,0,r2,0.752
9,2028,size,1,r2,0.3977
9,2028,size,2,r2,0.4368
9,2028,size,3,r2,0.4365
9,2028,size,4,r2,0.4797
9,2028,size,mean,r2,0.5005
10,2028,size,0,r2,0.7688
10,2028,size,1,r2,0.3986
10,2028,size,2,r2,0.4719
10,2028,size,3,r2,0.5187
10,2028,size,4,r2,0.5379
10,2028,size,mean,r2,0.5392
