epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9279
1,2026,disease,Arterial wall calcification,auroc,0.9318
1,2026,disease,Cardiomegaly,auroc,0.9266
1,2026,disease,Pericardial effusion,auroc,0.8601
1,2026,disease,Coronary artery wall calcification,auroc,0.9348
1,2026,disease,Hiatal hernia,auroc,0.7117
1,2026,disease,Lymphadenopathy,auroc,0.7435
1,2026,disease,Emphysema,auroc,0.8081
1,2026,disease,Atelectasis,auroc,0.8124
1,2026,disease,Lung nodule,auroc,0.7407
1,2026,disease,Lung opacity,auroc,0.8696
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7433
1,2026,disease,Pleural effusion,auroc,0.9668
1,2026,disease,Mosaic attenuation pattern,auroc,0.8805
1,2026,disease,Peribronchial thickening,auroc,0.8147
1,2026,disease,Consolidation,auroc,0.9203
1,2026,disease,Bronchiectasis,auroc,0.7919
1,2026,disease,Interlobular septal thickening,auroc,0.8803
1,2026,disease,macro,auroc,0.8481
1,2026,disease,micro,auroc,0.8561
2,2026,disease,Medical material,auroc,0.9235
2,2026,disease,Arterial wall calcification,auroc,0.9311
2,2026,disease,Cardiomegaly,auroc,0.9284
2,2026,disease,Pericardial effusion,auroc,0.8534
2,2026,disease,Coronary artery wall calcification,auroc,0.9359
2,2026,disease,Hiatal hernia,auroc,0.707
2,2026,disease,Lymphadenopathy,auroc,0.7585
2,2026,disease,Emphysema,auroc,0.804
2,2026,disease,Atelectasis,auroc,0.8164
2,2026,disease,Lung nodule,auroc,0.7398
2,2026,disease,Lung opacity,auroc,0.8742
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7387
2,2026,disease,Pleural effusion,auroc,0.9685
2,2026,disease,Mosaic attenuation pattern,auroc,0.8812
2,2026,disease,Peribronchial thickening,auroc,0.8096
2,2026,disease,Consolidation,auroc,0.9266
2,2026,disease,Bronchiectasis,auroc,0.8012
2,2026,disease,Interlobular septal thickening,auroc,0.8807
2,2026,disease,macro,auroc,0.8488
2,2026,disease,micro,auroc,0.8595
3,2026,disease,Medical material,auroc,0.9276
3,2026,disease,Arterial wall calcification,auroc,0.9282
3,2026,disease,Cardiomegaly,auroc,0.9275
3,2026,disease,Pericardial effusion,auroc,0.8606
3,2026,disease,Coronary artery wall calcification,auroc,0.9332
3,2026,disease,Hiatal hernia,auroc,0.7123
3,2026,disease,Lymphadenopathy,auroc,0.7588
3,2026,disease,Emphysema,auroc,0.8029
3,2026,disease,Atelectasis,auroc,0.8189
3,2026,disease,Lung nodule,auroc,0.732
3,2026,disease,Lung opacity,auroc,0.8703
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7435
3,2026,disease,Pleural effusion,auroc,0.9677
3,2026,disease,Mosaic attenuation pattern,auroc,0.8884
3,2026,disease,Peribronchial thickening,auroc,0.8105
3,2026,disease,Consolidation,auroc,0.9223
3,2026,disease,Bronchiectasis,auroc,0.8062
3,2026,disease,Interlobular septal thickening,auroc,0.8851
3,2026,disease,macro,auroc,0.8498
3,2026,disease,micro,auroc,0.8563
4,2026,disease,Medical material,auroc,0.9321
4,2026,disease,Arterial wall calcification,auroc,0.9318
4,2026,disease,Cardiomegaly,auroc,0.9301
4,2026,disease,Pericardial effusion,auroc,0.8578
4,2026,disease,Coronary artery wall calcification,auroc,0.9336
4,2026,disease,Hiatal hernia,auroc,0.713
4,2026,disease,Lymphadenopathy,auroc,0.7589
4,2026,disease,Emphysema,auroc,0.807
4,2026,disease,Atelectasis,auroc,0.8087
4,2026,disease,Lung nodule,auroc,0.7349
4,2026,disease,Lung opacity,auroc,0.8716
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7515
4,2026,disease,Pleural effusion,auroc,0.9688
4,2026,disease,Mosaic attenuation pattern,auroc,0.893
4,2026,disease,Peribronchial thickening,auroc,0.8162
4,2026,disease,Consolidation,auroc,0.9231
4,2026,disease,Bronchiectasis,auroc,0.8108
4,2026,disease,Interlobular septal thickening,auroc,0.8875
4,2026,disease,macro,auroc,0.8517
4,2026,disease,micro,auroc,0.8613
5,2026,disease,Medical material,auroc,0.9224
5,2026,disease,Arterial wall calcification,auroc,0.9311
5,2026,disease,Cardiomegaly,auroc,0.9296
5,2026,disease,Pericardial effusion,auroc,0.8634
5,2026,disease,Coronary artery wall calcification,auroc,0.934
5,2026,disease,Hiatal hernia,auroc,0.721
5,2026,disease,Lymphadenopathy,auroc,0.7593
5,2026,disease,Emphysema,auroc,0.8133
5,2026,disease,Atelectasis,auroc,0.8131
5,2026,disease,Lung nodule,auroc,0.7326
5,2026,disease,Lung opacity,auroc,0.8688
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.7564
5,2026,disease,Pleural effusion,auroc,0.9674
5,2026,disease,Mosaic attenuation pattern,auroc,0.8889
5,2026,disease,Peribronchial thickening,auroc,0.8129
5,2026,disease,Consolidation,auroc,0.922
5,2026,disease,Bronchiectasis,auroc,0.8146
5,2026,disease,Interlobular septal thickening,auroc,0.8859
5,2026,disease,macro,auroc,0.852
5,2026,disease,micro,auroc,0.8593
6,2026,disease,Medical material,auroc,0.9277
6,2026,disease,Arterial wall calcification,auroc,0.9302
6,2026,disease,Cardiomegaly,auroc,0.9259
6,2026,disease,Pericardial effusion,auroc,0.8548
6,2026,disease,Coronary artery wall calcification,auroc,0.9338
6,2026,disease,Hiatal hernia,auroc,0.7149
6,2026,disease,Lymphadenopathy,auroc,0.7569
6,2026,disease,Emphysema,auroc,0.8127
6,2026,disease,Atelectasis,auroc,0.8124
6,2026,disease,Lung nodule,auroc,0.7397
6,2026,disease,Lung opacity,auroc,0.8709
6,2026,disease,Pulmonary fibrotic sequela,auroc,0.7501
6,2026,disease,Pleural effusion,auroc,0.9647
6,2026,disease,Mosaic attenuation pattern,auroc,0.8914
6,2026,disease,Peribronchial thickening,auroc,0.8107
6,2026,disease,Consolidation,auroc,0.921
6,2026,disease,Bronchiectasis,auroc,0.7969
6,2026,disease,Interlobular septal thickening,auroc,0.8883
6,2026,disease,macro,auroc,0.8502
6,2026,disease,micro,auroc,0.8647
7,2026,disease,Medical material,auroc,0.928
7,2026,disease,Arterial wall calcification,auroc,0.9329
7,2026,disease,Cardiomegaly,auroc,0.9281
7,2026,disease,Pericardial effusion,auroc,0.85
7,2026,disease,Coronary artery wall calcification,auroc,0.9349
7,2026,disease,Hiatal hernia,auroc,0.7206
7,2026,disease,Lymphadenopathy,auroc,0.7554
7,2026,disease,Emphysema,auroc,0.8187
7,2026,disease,Atelectasis,auroc,0.8163
7,2026,disease,Lung nodule,auroc,0.7325
7,2026,disease,Lung opacity,auroc,0.8688
7,2026,disease,Pulmonary fibrotic sequela,auroc,0.7577
7,2026,disease,Pleural effusion,auroc,0.9661
7,2026,disease,Mosaic attenuation pattern,auroc,0.8902
7,2026,disease,Peribronchial thickening,auroc,0.8022
7,2026,disease,Consolidation,auroc,0.9179
7,2026,disease,Bronchiectasis,auroc,0.798
7,2026,disease,Interlobular septal thickening,auroc,0.8819
7,2026,disease,macro,auroc,0.85
7,2026,disease,micro,auroc,0.8606
8,2026,disease,Medical material,auroc,0.9283
8,2026,disease,Arterial wall calcification,auroc,0.9281
8,2026,disease,Cardiomegaly,auroc,0.9262
8,2026,disease,Pericardial effusion,auroc,0.8577
8,2026,disease,Coronary artery wall calcification,auroc,0.9343
8,2026,disease,Hiatal hernia,auroc,0.7172
8,2026,disease,Lymphadenopathy,auroc,0.7569
8,2026,disease,Emphysema,auroc,0.8121
8,2026,disease,Atelectasis,auroc,0.8118
8,2026,disease,Lung nodule,auroc,0.7328
8,2026,disease,Lung opacity,auroc,0.8677
8,2026,disease,Pulmonary fibrotic sequela,auroc,0.7439
8,2026,disease,Pleural effusion,auroc,0.9698
8,2026,disease,Mosaic attenuation pattern,auroc,0.8914
8,2026,disease,Peribronchial thickening,auroc,0.806
8,2026,disease,Consolidation,auroc,0.9218
8,2026,disease,Bronchiectasis,auroc,0.8048
8,2026,disease,Interlobular septal thickening,auroc,0.8829
8,2026,disease,macro,auroc,0.8496
8,2026,disease,micro,auroc,0.8574
9,2026,disease,Medical material,auroc,0.9315
9,2026,disease,Arterial wall calcification,auroc,0.9305
9,2026,disease,Cardiomegaly,auroc,0.9263
9,2026,disease,Pericardial effusion,auroc,0.8566
9,2026,disease,Coronary artery wall calcification,auroc,0.9331
9,2026,disease,Hiatal hernia,auroc,0.7176
9,2026,disease,Lymphadenopathy,auroc,0.7566
9,2026,disease,Emphysema,auroc,0.8102
9,2026,disease,Atelectasis,auroc,0.8154
9,2026,disease,Lung nodule,auroc,0.7402
9,2026,disease,Lung opacity,auroc,0.8715
9,2026,disease,Pulmonary fibrotic sequela,auroc,0.7521
9,2026,disease,Pleural effusion,auroc,0.9684
9,2026,disease,Mosaic attenuation pattern,auroc,0.887
9,2026,disease,Peribronchial thickening,auroc,0.8044
9,2026,disease,Consolidation,auroc,0.9233
9,2026,disease,Bronchiectasis,auroc,0.7968
9,2026,disease,Interlobular septal thickening,auroc,0.881
9,2026,disease,macro,auroc,0.8501
9,2026,disease,micro,auroc,0.8619
10,2026,disease,Medical material,auroc,0.9309
10,2026,disease,Arterial wall calcification,auroc,0.9304
10,2026,disease,Cardiomegaly,auroc,0.9309
10,2026,disease,Pericardial effusion,auroc,0.847
10,2026,disease,Coronary artery wall calcification,auroc,0.9346
10,2026,disease,Hiatal hernia,auroc,0.717
10,2026,disease,Lymphadenopathy,auroc,0.7515
10,2026,disease,Emphysema,auroc,0.8081
10,2026,disease,Atelectasis,auroc,0.8134
10,2026,disease,Lung nodule,auroc,0.7361
10,2026,disease,Lung opacity,auroc,0.8653
10,2026,disease,Pulmonary fibrotic sequela,auroc,0.7478
10,2026,disease,Pleural effusion,auroc,0.9649
10,2026,disease,Mosaic attenuation pattern,auroc,0.885
10,2026,disease,Peribronchial thickening,auroc,0.7957
10,2026,disease,Consolidation,auroc,0.9213
10,2026,disease,Bronchiectasis,auroc,0.7945
10,2026,disease,Interlobular septal thickening,auroc,0.8738
10,2026,disease,macro,auroc,0.8471
10,2026,disease,micro,auroc,0.857
1,2027,disease,Medical material,auroc,0.919
1,2027,disease,Arterial wall calcification,auroc,0.9317
1,2027,disease,Cardiomegaly,auroc,0.9254
1,2027,disease,Pericardial effusion,auroc,0.8587
1,2027,disease,Coronary artery wall calcification,auroc,0.9361
1,2027,disease,Hiatal hernia,auroc,0.7155
1,2027,disease,Lymphadenopathy,auroc,0.7533
1,2027,disease,Emphysema,auroc,0.8119
1,2027,disease,Atelectasis,auroc,0.8147
1,2027,disease,Lung nodule,auroc,0.7373
1,2027,disease,Lung opacity,auroc,0.8692
1,2027,disease,Pulmonary fibrotic sequela,auroc,0.7544
1,2027,disease,Pleural effusion,auroc,0.9693
1,2027,disease,Mosaic attenuation pattern,auroc,0.8799
1,2027,disease,Peribronchial thickening,auroc,0.8151
1,2027,disease,Consolidation,auroc,0.9231
1,2027,disease,Bronchiectasis,auroc,0.7917
1,2027,disease,Interlobular septal thickening,auroc,0.8692
1,2027,disease,macro,auroc,0.8486
1,2027,disease,micro,auroc,0.8546
2,2027,disease,Medical material,auroc,0.9221
2,2027,disease,Arterial wall calcification,auroc,0.9309
2,2027,disease,Cardiomegaly,auroc,0.9295
2,2027,disease,Pericardial effusion,auroc,0.8553
2,2027,disease,Coronary artery wall calcification,auroc,0.9343
2,2027,disease,Hiatal hernia,auroc,0.7103
2,2027,disease,Lymphadenopathy,auroc,0.7496
2,2027,disease,Emphysema,auroc,0.8101
2,2027,disease,Atelectasis,auroc,0.8125
2,2027,disease,Lung nodule,auroc,0.7451
2,2027,disease,Lung opacity,auroc,0.8736
2,2027,disease,Pulmonary fibrotic sequela,auroc,0.7332
2,2027,disease,Pleural effusion,auroc,0.9691
2,2027,disease,Mosaic attenuation pattern,auroc,0.8828
2,2027,disease,Peribronchial thickening,auroc,0.807
2,2027,disease,Consolidation,auroc,0.9227
2,2027,disease,Bronchiectasis,auroc,0.7951
2,2027,disease,Interlobular septal thickening,auroc,0.8759
2,2027,disease,macro,auroc,0.8477
2,2027,disease,micro,auroc,0.8572
3,2027,disease,Medical material,auroc,0.9267
3,2027,disease,Arterial wall calcification,auroc,0.9309
3,2027,disease,Cardiomegaly,auroc,0.931
3,2027,disease,Pericardial effusion,auroc,0.862
3,2027,disease,Coronary artery wall calcification,auroc,0.9371
3,2027,disease,Hiatal hernia,auroc,0.7197
3,2027,disease,Lymphadenopathy,auroc,0.7508
3,2027,disease,Emphysema,auroc,0.8113
3,2027,disease,Atelectasis,auroc,0.824
3,2027,disease,Lung nodule,auroc,0.7458
3,2027,disease,Lung opacity,auroc,0.8706
3,2027,disease,Pulmonary fibrotic sequela,auroc,0.7505
3,2027,disease,Pleural effusion,auroc,0.9723
3,2027,disease,Mosaic attenuation pattern,auroc,0.8868
3,2027,disease,Peribronchial thickening,auroc,0.8096
3,2027,disease,Consolidation,auroc,0.9219
3,2027,disease,Bronchiectasis,auroc,0.8013
3,2027,disease,Interlobular septal thickening,auroc,0.8879
3,2027,disease,macro,auroc,0.8522
3,2027,disease,micro,auroc,0.8578
4,2027,disease,Medical material,auroc,0.9319
4,2027,disease,Arterial wall calcification,auroc,0.933
4,2027,disease,Cardiomegaly,auroc,0.9317
4,2027,disease,Pericardial effusion,auroc,0.8567
4,2027,disease,Coronary artery wall calcification,auroc,0.9348
4,2027,disease,Hiatal hernia,auroc,0.7167
4,2027,disease,Lymphadenopathy,auroc,0.7569
4,2027,disease,Emphysema,auroc,0.7997
4,2027,disease,Atelectasis,auroc,0.8188
4,2027,disease,Lung nodule,auroc,0.7351
4,2027,disease,Lung opacity,auroc,0.871
4,2027,disease,Pulmonary fibrotic sequela,auroc,0.7468
4,2027,disease,Pleural effusion,auroc,0.9687
4,2027,disease,Mosaic attenuation pattern,auroc,0.891
4,2027,disease,Peribronchial thickening,auroc,0.8077
4,2027,disease,Consolidation,auroc,0.9265
4,2027,disease,Bronchiectasis,auroc,0.8036
4,2027,disease,Interlobular septal thickening,auroc,0.8772
4,2027,disease,macro,auroc,0.8504
4,2027,disease,micro,auroc,0.8586
5,2027,disease,Medical material,auroc,0.9234
5,2027,disease,Arterial wall calcification,auroc,0.9312
5,2027,disease,Cardiomegaly,auroc,0.9306
5,2027,disease,Pericardial effusion,auroc,0.8581
5,2027,disease,Coronary artery wall calcification,auroc,0.9355
5,2027,disease,Hiatal hernia,auroc,0.7121
5,2027,disease,Lymphadenopathy,auroc,0.7546
5,2027,disease,Emphysema,auroc,0.8115
5,2027,disease,Atelectasis,auroc,0.8222
5,2027,disease,Lung nodule,auroc,0.7434
5,2027,disease,Lung opacity,auroc,0.8712
5,2027,disease,Pulmonary fibrotic sequela,auroc,0.7461
5,2027,disease,Pleural effusion,auroc,0.9675
5,2027,disease,Mosaic attenuation pattern,auroc,0.8854
5,2027,disease,Peribronchial thickening,auroc,0.8036
5,2027,disease,Consolidation,auroc,0.9267
5,2027,disease,Bronchiectasis,auroc,0.806
5,2027,disease,Interlobular septal thickening,auroc,0.8788
5,2027,disease,macro,auroc,0.8504
5,2027,disease,micro,auroc,0.8588
6,2027,disease,Medical material,auroc,0.9333
6,2027,disease,Arterial wall calcification,auroc,0.9314
6,2027,disease,Cardiomegaly,auroc,0.93
6,2027,disease,Pericardial effusion,auroc,0.8655
6,2027,disease,Coronary artery wall calcification,auroc,0.9341
6,2027,disease,Hiatal hernia,auroc,0.72
6,2027,disease,Lymphadenopathy,auroc,0.7572
6,2027,disease,Emphysema,auroc,0.8097
6,2027,disease,Atelectasis,auroc,0.8232
6,2027,disease,Lung nodule,auroc,0.7397
6,2027,disease,Lung opacity,auroc,0.8699
6,2027,disease,Pulmonary fibrotic sequela,auroc,0.7461
6,2027,disease,Pleural effusion,auroc,0.9685
6,2027,disease,Mosaic attenuation pattern,auroc,0.8913
6,2027,disease,Peribronchial thickening,auroc,0.8093
6,2027,disease,Consolidation,auroc,0.9248
6,2027,disease,Bronchiectasis,auroc,0.7997
6,2027,disease,Interlobular septal thickening,auroc,0.8858
6,2027,disease,macro,auroc,0.8522
6,2027,disease,micro,auroc,0.8566
7,2027,disease,Medical material,auroc,0.9304
7,2027,disease,Arterial wall calcification,auroc,0.9299
7,2027,disease,Cardiomegaly,auroc,0.9285
7,2027,disease,Pericardial effusion,auroc,0.8549
7,2027,disease,Coronary artery wall calcification,auroc,0.9324
7,2027,disease,Hiatal hernia,auroc,0.7162
7,2027,disease,Lymphadenopathy,auroc,0.7424
7,2027,disease,Emphysema,auroc,0.8076
7,2027,disease,Atelectasis,auroc,0.8187
7,2027,disease,Lung nodule,auroc,0.7373
7,2027,disease,Lung opacity,auroc,0.8682
7,2027,disease,Pulmonary fibrotic sequela,auroc,0.7513
7,2027,disease,Pleural effusion,auroc,0.9673
7,2027,disease,Mosaic attenuation pattern,auroc,0.8941
7,2027,disease,Peribronchial thickening,auroc,0.8083
7,2027,disease,Consolidation,auroc,0.9212
7,2027,disease,Bronchiectasis,auroc,0.797
