epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8574
1,2026,size,1,r2,0.4993
1,2026,size,2,r2,0.466
1,2026,size,3,r2,0.6139
1,2026,size,4,r2,0.6667
1,2026,size,mean,r2,0.6206
2,2026,size,0,r2,0.8641
2,2026,size,1,r2,0.5525
2,2026,size,2,r2,0.502
2,2026,size,3,r2,0.6334
2,2026,size,4,r2,0.7218
2,2026,size,mean,r2,0.6548
3,2026,size,0,r2,0.8692
3,2026,size,1,r2,0.5668
3,2026,size,2,r2,0.511
3,2026,size,3,r2,0.6438
3,2026,size,4,r2,0.7256
3,2026,size,mean,r2,0.6633
4,2026,size,0,r2,0.8736
4,2026,size,1,r2,0.5715
4,2026,size,2,r2,0.5105
4,2026,size,3,r2,0.6306
4,2026,size,4,r2,0.7396
4,2026,size,mean,r2,0.6652
5,2026,size,0,r2,0.8795
5,2026,size,1,r2,0.5763
5,2026,size,2,r2,0.5031
5,2026,size,3,r2,0.631
5,2026,size,4,r2,0.7476
5,2026,size,mean,r2,0.6675
6,2026,size,0,r2,0.8806
6,2026,size,1,r2,0.5997
6,2026,size,2,r2,0.5143
6,2026,size,3,r2,0.6582
6,2026,size,4,r2,0.7509
6,2026,size,mean,r2,0.6807
7,2026,size,0,r2,0.8825
7,2026,size,1,r2,0.5901
7,2026,size,2,r2,0.5187
7,2026,size,3,r2,0.6532
7,2026,size,4,r2,0.7431
7,2026,size,mean,r2,0.6775
8,2026,size,0,r2,0.8738
8,2026,size,1,r2,0.6085
8,2026,size,2,r2,0.5179
8,2026,size,3,r2,0.6437
8,2026,size,4,r2,0.7539
8,2026,size,mean,r2,0.6796
9,2026,size,0,r2,0.8889
9,2026,size,1,r2,0.5871
9,2026,size,2,r2,0.5226
9,2026,size,3,r2,0.6369
9,2026,size,4,r2,0.7567
9,2026,size,mean,r2,0.6784
10,2026,size,0,r2,0.8831
10,2026,size,1,r2,0.609
10,2026,size,2,r2,0.5025
10,2026,size,3,r2,0.6483
10,2026,size,4,r2,0.7547
10,2026,size,mean,r2,0.6795
1,2027,size,0,r2,0.8549
1,2027,size,1,r2,0.5509
1,2027,size,2,r2,0.4921
1,2027,size,3,r2,0.6324
1,2027,size,4,r2,0.7273
1,2027,size,mean,r2,0.6515
2,2027,size,0,r2,0.8719
2,2027,size,1,r2,0.5458
2,2027,size,2,r2,0.5017
2,2027,size,3,r2,0.6375
2,2027,size,4,r2,0.7368
2,2027,size,mean,r2,0.6587
3,2027,size,0,r2,0.8796
3,2027,size,1,r2,0.5773
3,2027,size,2,r2,0.5126
3,2027,size,3,r2,0.6227
3,2027,size,4,r2,0.6893
3,2027,size,mean,r2,0.6563
4,2027,size,0,r2,0.8791
4,2027,size,1,r2,0.5831
4,2027,size,2,r2,0.5234
4,2027,size,3,r2,0.6522
4,2027,size,4,r2,0.7459
4,2027,size,mean,r2,0.6767
5,2027,size,0,r2,0.8914
5,2027,size,1,r2,0.6037
5,2027,size,2,r2,0.5192
5,2027,size,3,r2,0.6493
5,2027,size,4,r2,0.75
5,2027,size,mean,r2,0.6827
6,2027,size,0,r2,0.8941
6,2027,size,1,r2,0.5963
6,2027,size,2,r2,0.5227
6,2027,size,3,r2,0.6551
6,2027,size,4,r2,0.752
6,2027,size,mean,r2,0.6841
7,2027,size,0,r2,0.8925
7,2027,size,1,r2,0.6128
7,2027,size,2,r2,0.5162
7,2027,size,3,r2,0.6523
7,2027,size,4,r2,0.7426
7,2027,size,mean,r2,0.6833
8,2027,size,0,r2,0.8912
8,2027,size,1,r2,0.6024
8,2027,size,2,r2,0.5246
8,2027,size,3,r2,0.6219
8,2027,size,4,r2,0.7463
8,2027,size,mean,r2,0.6773
9,2027,size,0,r2,0.8875
9,2027,size,1,r2,0.6123
9,2027,size,2,r2,0.5129
9,2027,size,3,r2,0.6441
9,2027,size,4,r2,0.7527
9,2027,size,mean,r2,0.6819
10,2027,size,0,r2,0.8917
10,2027,size,1,r2,0.5828
10,2027,size,2,r2,0.5205
10,2027,size,3,r2,0.6319
10,2027,size,4,r2,0.7453
10,2027,size,mean,r2,0.6745
1,2028,size,0,r2,0.8392
1,2028,size,1,r2,0.5044
1,2028,size,2,r2,0.4605
1,2028,size,3,r2,0.6296
1,2028,size,4,r2,0.692
1,2028,size,mean,r2,0.6252
2,2028,size,0,r2,0.8579
2,2028,size,1,r2,0.5479
2,2028,size,2,r2,0.4974
2,2028,size,3,r2,0.6341
2,2028,size,4,r2,0.7247
2,2028,size,mean,r2,0.6524
3,2028,size,0,r2,0.8617
3,2028,size,1,r2,0.5683
3,2028,size,2,r2,0.5006
3,2028,size,3,r2,0.6285
3,2028,size,4,r2,0.7334
3,2028,size,mean,r2,0.6585
4,2028,size,0,r2,0.8825
4,2028,size,1,r2,0.5733
4,2028,size,2,r2,0.5047
4,2028,size,3,r2,0.6484
4,2028,size,4,r2,0.7349
4,2028,size,mean,r2,0.6688
5,2028,size,0,r2,0.8734
5,2028,size,1,r2,0.574
5,2028,size,2,r2,0.5155
5,2028,size,3,r2,0.6466
5,2028,size,4,r2,0.7344
5,2028,size,mean,r2,0.6688
6,2028,size,0,r2,0.8839
6,2028,size,1,r2,0.5838
6,2028,size,2,r2,0.5203
6,2028,size,3,r2,0.6468
6,2028,size,4,r2,0.7408
6,2028,size,mean,r2,0.6751
7,2028,size,0,r2,0.8721
7,2028,size,1,r2,0.571
7,2028,size,2,r2,0.511
7,2028,size,3,r2,0.6199
7,2028,size,4,r2,0.7484
7,2028,size,mean,r2,0.6645
8,2028,size,0,r2,0.8732
8,2028,size,1,r2,0.6079
8,2028,size,2,r2,0.5329
8,2028,size,3,r2,0.6446
8,2028,size,4,r2,0.7388
8,2028,size,mean,r2,0.6795
9,2028,size,0,r2,0.8835
9,2028,size,1,r2,0.5922
9,2028,size,2,r2,0.5231
9,2028,size,3,r2,0.6545
9,2028,size,4,r2,0.7545
9,2028,size,mean,r2,0.6816
10,2028,size,0,r2,0.8901
10,2028,size,1,r2,0.5895
10,2028,size,2,r2,0.5255
10,2028,size,3,r2,0.6354
10,2028,size,4,r2,0.7487
10,2028,size,mean,r2,0.6778
