epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.7377
1,2026,density,1,r2,0.2399
1,2026,density,2,r2,0.8558
1,2026,density,3,r2,0.8765
1,2026,density,mean,r2,0.6775
2,2026,density,0,r2,0.759
2,2026,density,1,r2,0.2865
2,2026,density,2,r2,0.8563
2,2026,density,3,r2,0.8686
2,2026,density,mean,r2,0.6926
3,2026,density,0,r2,0.7799
3,2026,density,1,r2,0.2854
3,2026,density,2,r2,0.891
3,2026,density,3,r2,0.893
3,2026,density,mean,r2,0.7123
4,2026,density,0,r2,0.7777
4,2026,density,1,r2,0.3343
4,2026,density,2,r2,0.8822
4,2026,density,3,r2,0.8955
4,2026,density,mean,r2,0.7224
5,2026,density,0,r2,0.77
5,2026,density,1,r2,0.3198
5,2026,density,2,r2,0.8768
5,2026,density,3,r2,0.9008
5,2026,density,mean,r2,0.7169
6,2026,density,0,r2,0.7822
6,2026,density,1,r2,0.3462
6,2026,density,2,r2,0.8876
6,2026,density,3,r2,0.9032
6,2026,density,mean,r2,0.7298
7,2026,density,0,r2,0.7877
7,2026,density,1,r2,0.3487
7,2026,density,2,r2,0.8983
7,2026,density,3,r2,0.8985
7,2026,density,mean,r2,0.7333
8,2026,density,0,r2,0.7934
8,2026,density,1,r2,0.3744
8,2026,density,2,r2,0.8993
8,2026,density,3,r2,0.9045
8,2026,density,mean,r2,0.7429
9,2026,density,0,r2,0.801
9,2026,density,1,r2,0.3807
9,2026,density,2,r2,0.9081
9,2026,density,3,r2,0.9058
9,2026,density,mean,r2,0.7489
10,2026,density,0,r2,0.7631
10,2026,density,1,r2,0.3976
10,2026,density,2,r2,0.8713
10,2026,density,3,r2,0.8998
10,2026,density,mean,r2,0.7329
1,2027,density,0,r2,0.7251
1,2027,density,1,r2,0.2724
1,2027,density,2,r2,0.8626
1,2027,density,3,r2,0.877
1,2027,density,mean,r2,0.6843
2,2027,density,0,r2,0.7735
2,2027,density,1,r2,0.2973
2,2027,density,2,r2,0.8764
2,2027,density,3,r2,0.8884
2,2027,density,mean,r2,0.7089
3,2027,density,0,r2,0.7731
3,2027,density,1,r2,0.3151
3,2027,density,2,r2,0.872
3,2027,density,3,r2,0.8716
3,2027,density,mean,r2,0.708
4,2027,density,0,r2,0.7697
4,2027,density,1,r2,0.3297
4,2027,density,2,r2,0.8854
4,2027,density,3,r2,0.8893
4,2027,density,mean,r2,0.7185
5,2027,density,0,r2,0.7818
5,2027,density,1,r2,0.3377
5,2027,density,2,r2,0.8895
5,2027,density,3,r2,0.8999
5,2027,density,mean,r2,0.7272
6,2027,density,0,r2,0.7866
6,2027,density,1,r2,0.3628
6,2027,density,2,r2,0.8912
6,2027,density,3,r2,0.8925
6,2027,density,mean,r2,0.7333
7,2027,density,0,r2,0.8026
7,2027,density,1,r2,0.3507
7,2027,density,2,r2,0.8995
7,2027,density,3,r2,0.8981
7,2027,density,mean,r2,0.7377
8,2027,density,0,r2,0.7933
8,2027,density,1,r2,0.3901
8,2027,density,2,r2,0.9055
8,2027,density,3,r2,0.9
8,2027,density,mean,r2,0.7472
9,2027,density,0,r2,0.7949
9,2027,density,1,r2,0.3983
9,2027,density,2,r2,0.8922
9,2027,density,3,r2,0.8925
9,2027,density,mean,r2,0.7445
10,2027,density,0,r2,0.807
10,2027,density,1,r2,0.4161
10,2027,density,2,r2,0.8847
10,2027,density,3,r2,0.8984
10,2027,density,mean,r2,0.7516
1,2028,density,0,r2,0.7339
1,2028,density,1,r2,0.2644
1,2028,density,2,r2,0.8579
1,2028,density,3,r2,0.8625
1,2028,density,mean,r2,0.6797
2,2028,density,0,r2,0.7476
2,2028,density,1,r2,0.2842
2,2028,density,2,r2,0.8531
2,2028,density,3,r2,0.8863
2,2028,density,mean,r2,0.6928
3,2028,density,0,r2,0.7583
3,2028,density,1,r2,0.3111
3,2028,density,2,r2,0.89
3,2028,density,3,r2,0.8985
3,2028,density,mean,r2,0.7145
4,2028,density,0,r2,0.7836
4,2028,density,1,r2,0.3356
4,2028,density,2,r2,0.8918
4,2028,density,3,r2,0.9042
4,2028,density,mean,r2,0.7288
5,2028,density,0,r2,0.7772
5,2028,density,1,r2,0.3435
5,2028,density,2,r2,0.8868
5,2028,density,3,r2,0.8911
5,2028,density,mean,r2,0.7246
6,2028,density,0,r2,0.7988
6,2028,density,1,r2,0.3743
6,2028,density,2,r2,0.8902
6,2028,density,3,r2,0.901
6,2028,density,mean,r2,0.7411
7,2028,density,0,r2,0.7684
7,2028,density,1,r2,0.3611
7,2028,density,2,r2,0.9002
7,2028,density,3,r2,0.9023
7,2028,density,mean,r2,0.733
8,2028,density,0,r2,0.7792
8,2028,density,1,r2,0.3667
8,2028,density,2,r2,0.8991
8,2028,density,3,r2,0.9079
8,2028,density,mean,r2,0.7382
9,2028,density,0,r2,0.8052
9,2028,density,1,r2,0.3855
9,2028,density,2,r2,0.9032
9,2028,density,3,r2,0.9068
9,2028,density,mean,r2,0.7502
10,2028,density,0,r2,0.8021
10,2028,density,1,r2,0.4075
10,2028,density,2,r2,0.8904
10,2028,density,3,r2,0.8995
10,2028,density,mean,r2,0.7499
