epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0784
1,2026,location,1,r2,0.0895
1,2026,location,2,r2,0.249
1,2026,location,mean,r2,0.139
2,2026,location,0,r2,0.0846
2,2026,location,1,r2,0.1006
2,2026,location,2,r2,0.2743
2,2026,location,mean,r2,0.1532
3,2026,location,0,r2,0.0952
3,2026,location,1,r2,0.0897
3,2026,location,2,r2,0.2814
3,2026,location,mean,r2,0.1554
4,2026,location,0,r2,0.1144
4,2026,location,1,r2,0.0942
4,2026,location,2,r2,0.3105
4,2026,location,mean,r2,0.173
5,2026,location,0,r2,0.1097
5,2026,location,1,r2,0.0986
5,2026,location,2,r2,0.3193
5,2026,location,mean,r2,0.1759
6,2026,location,0,r2,0.098
6,2026,location,1,r2,0.1155
6,2026,location,2,r2,0.3088
6,2026,location,mean,r2,0.1741
7,2026,location,0,r2,0.1344
7,2026,location,1,r2,0.1163
7,2026,location,2,r2,0.3198
7,2026,location,mean,r2,0.1901
8,2026,location,0,r2,0.1491
8,2026,location,1,r2,0.1388
8,2026,location,2,r2,0.3141
8,2026,location,mean,r2,0.2007
9,2026,location,0,r2,0.1817
9,2026,location,1,r2,0.1252
9,2026,location,2,r2,0.3038
9,2026,location,mean,r2,0.2036
10,2026,location,0,r2,0.1764
10,2026,location,1,r2,0.1368
10,2026,location,2,r2,0.3298
10,2026,location,mean,r2,0.2144
1,2027,location,0,r2,0.0688
1,2027,location,1,r2,0.0909
1,2027,location,2,r2,0.2321
1,2027,location,mean,r2,0.1306
2,2027,location,0,r2,0.0878
2,2027,location,1,r2,0.0926
2,2027,location,2,r2,0.2622
2,2027,location,mean,r2,0.1475
3,2027,location,0,r2,0.0978
3,2027,location,1,r2,0.087
3,2027,location,2,r2,0.3008
3,2027,location,mean,r2,0.1619
4,2027,location,0,r2,0.1071
4,2027,location,1,r2,0.0789
4,2027,location,2,r2,0.2724
4,2027,location,mean,r2,0.1528
5,2027,location,0,r2,0.102
5,2027,location,1,r2,0.1005
5,2027,location,2,r2,0.3025
5,2027,location,mean,r2,0.1684
6,2027,location,0,r2,0.139
6,2027,location,1,r2,0.1274
6,2027,location,2,r2,0.2957
6,2027,location,mean,r2,0.1873
7,2027,location,0,r2,0.1346
7,2027,location,1,r2,0.1116
7,2027,location,2,r2,0.3237
7,2027,location,mean,r2,0.19
8,2027,location,0,r2,0.1809
8,2027,location,1,r2,0.1447
8,2027,location,2,r2,0.3352
8,2027,location,mean,r2,0.2203
9,2027,location,0,r2,0.1579
9,2027,location,1,r2,0.1226
9,2027,location,2,r2,0.2973
9,2027,location,mean,r2,0.1926
10,2027,location,0,r2,0.1761
10,2027,location,1,r2,0.1203
10,2027,location,2,r2,0.3348
10,2027,location,mean,r2,0.2104
1,2028,location,0,r2,0.0599
1,2028,location,1,r2,0.0934
1,2028,location,2,r2,0.2504
1,2028,location,mean,r2,0.1346
2,2028,location,0,r2,0.1017
2,2028,location,1,r2,0.106
2,2028,location,2,r2,0.2766
2,2028,location,mean,r2,0.1615
3,2028,location,0,r2,0.1011
3,2028,location,1,r2,0.0721
3,2028,location,2,r2,0.2856
3,2028,location,mean,r2,0.1529
4,2028,location,0,r2,0.1186
4,2028,location,1,r2,0.1058
4,2028,location,2,r2,0.3124
4,2028,location,mean,r2,0.1789
5,2028,location,0,r2,0.1155
5,2028,location,1,r2,0.0868
5,2028,location,2,r2,0.2498
5,2028,location,mean,r2,0.1507
6,2028,location,0,r2,0.1162
6,2028,location,1,r2,0.1013
6,2028,location,2,r2,0.313
6,2028,location,mean,r2,0.1768
7,2028,location,0,r2,0.1453
7,2028,location,1,r2,0.1227
7,2028,location,2,r2,0.3243
7,2028,location,mean,r2,0.1975
8,2028,location,0,r2,0.1665
8,2028,location,1,r2,0.1279
8,2028,location,2,r2,0.3004
8,2028,location,mean,r2,0.1983
9,2028,location,0,r2,0.1526
9,2028,location,1,r2,0.1324
9,2028,location,2,r2,0.3346
9,2028,location,mean,r2,0.2065
10,2028,location,0,r2,0.1589
10,2028,location,1,r2,0.1479
10,2028,location,2,r2,0.3309
10,2028,location,mean,r2,0.2126
