epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.8634
1,2026,radiomics,1,r2,0.1685
1,2026,radiomics,2,r2,0.7039
1,2026,radiomics,mean,r2,0.5786
2,2026,radiomics,0,r2,0.8783
2,2026,radiomics,1,r2,0.1772
2,2026,radiomics,2,r2,0.7479
2,2026,radiomics,mean,r2,0.6011
3,2026,radiomics,0,r2,0.8589
3,2026,radiomics,1,r2,0.173
3,2026,radiomics,2,r2,0.7353
3,2026,radiomics,mean,r2,0.589
4,2026,radiomics,0,r2,0.8879
4,2026,radiomics,1,r2,0.1738
4,2026,radiomics,2,r2,0.7437
4,2026,radiomics,mean,r2,0.6018
5,2026,radiomics,0,r2,0.8845
5,2026,radiomics,1,r2,0.2043
5,2026,radiomics,2,r2,0.7699
5,2026,radiomics,mean,r2,0.6196
6,2026,radiomics,0,r2,0.8948
6,2026,radiomics,1,r2,0.2097
6,2026,radiomics,2,r2,0.7855
6,2026,radiomics,mean,r2,0.63
7,2026,radiomics,0,r2,0.8933
7,2026,radiomics,1,r2,0.2289
7,2026,radiomics,2,r2,0.7969
7,2026,radiomics,mean,r2,0.6397
8,2026,radiomics,0,r2,0.8939
8,2026,radiomics,1,r2,0.2107
8,2026,radiomics,2,r2,0.7879
8,2026,radiomics,mean,r2,0.6308
9,2026,radiomics,0,r2,0.8937
9,2026,radiomics,1,r2,0.2055
9,2026,radiomics,2,r2,0.7882
9,2026,radiomics,mean,r2,0.6291
10,2026,radiomics,0,r2,0.8994
10,2026,radiomics,1,r2,0.2427
10,2026,radiomics,2,r2,0.7843
10,2026,radiomics,mean,r2,0.6421
1,2027,radiomics,0,r2,0.8583
1,2027,radiomics,1,r2,0.1796
1,2027,radiomics,2,r2,0.6996
1,2027,radiomics,mean,r2,0.5792
2,2027,radiomics,0,r2,0.8763
2,2027,radiomics,1,r2,0.1869
2,2027,radiomics,2,r2,0.746
2,2027,radiomics,mean,r2,0.6031
3,2027,radiomics,0,r2,0.8745
3,2027,radiomics,1,r2,0.2005
3,2027,radiomics,2,r2,0.7214
3,2027,radiomics,mean,r2,0.5988
4,2027,radiomics,0,r2,0.8865
4,2027,radiomics,1,r2,0.1805
4,2027,radiomics,2,r2,0.7341
4,2027,radiomics,mean,r2,0.6004
5,2027,radiomics,0,r2,0.8797
5,2027,radiomics,1,r2,0.1938
5,2027,radiomics,2,r2,0.7891
5,2027,radiomics,mean,r2,0.6209
6,2027,radiomics,0,r2,0.8924
6,2027,radiomics,1,r2,0.2072
6,2027,radiomics,2,r2,0.7791
6,2027,radiomics,mean,r2,0.6262
7,2027,radiomics,0,r2,0.8982
7,2027,radiomics,1,r2,0.1782
7,2027,radiomics,2,r2,0.7899
7,2027,radiomics,mean,r2,0.6221
8,2027,radiomics,0,r2,0.8949
8,2027,radiomics,1,r2,0.2371
8,2027,radiomics,2,r2,0.7931
8,2027,radiomics,mean,r2,0.6417
9,2027,radiomics,0,r2,0.8881
9,2027,radiomics,1,r2,0.2357
9,2027,radiomics,2,r2,0.7761
9,2027,radiomics,mean,r2,0.6333
10,2027,radiomics,0,r2,0.8946
10,2027,radiomics,1,r2,0.2404
10,2027,radiomics,2,r2,0.7735
10,2027,radiomics,mean,r2,0.6362
1,2028,radiomics,0,r2,0.8588
1,2028,radiomics,1,r2,0.1655
1,2028,radiomics,2,r2,0.6629
1,2028,radiomics,mean,r2,0.5624
2,2028,radiomics,0,r2,0.862
2,2028,radiomics,1,r2,0.1813
2,2028,radiomics,2,r2,0.725
2,2028,radiomics,mean,r2,0.5894
3,2028,radiomics,0,r2,0.8528
3,2028,radiomics,1,r2,0.1676
3,2028,radiomics,2,r2,0.7479
3,2028,radiomics,mean,r2,0.5895
4,2028,radiomics,0,r2,0.8775
4,2028,radiomics,1,r2,0.1889
4,2028,radiomics,2,r2,0.7693
4,2028,radiomics,mean,r2,0.6119
5,2028,radiomics,0,r2,0.8824
5,2028,radiomics,1,r2,0.1969
5,2028,radiomics,2,r2,0.7711
5,2028,radiomics,mean,r2,0.6168
6,2028,radiomics,0,r2,0.8938
6,2028,radiomics,1,r2,0.2075
6,2028,radiomics,2,r2,0.7889
6,2028,radiomics,mean,r2,0.6301
7,2028,radiomics,0,r2,0.8882
7,2028,radiomics,1,r2,0.2166
7,2028,radiomics,2,r2,0.7816
7,2028,radiomics,mean,r2,0.6288
8,2028,radiomics,0,r2,0.8749
8,2028,radiomics,1,r2,0.2492
8,2028,radiomics,2,r2,0.7753
8,2028,radiomics,mean,r2,0.6331
9,2028,radiomics,0,r2,0.8855
9,2028,radiomics,1,r2,0.2267
9,2028,radiomics,2,r2,0.7669
9,2028,radiomics,mean,r2,0.6264
10,2028,radiomics,0,r2,0.8959
10,2028,radiomics,1,r2,0.2756
10,2028,radiomics,2,r2,0.7894
10,2028,radiomics,mean,r2,0.6536
