epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.1263
1,2026,density_merlin,1,r2,0.3474
1,2026,density_merlin,2,r2,0.0234
1,2026,density_merlin,mean,r2,0.1657
2,2026,density_merlin,0,r2,0.1556
2,2026,density_merlin,1,r2,0.3994
2,2026,density_merlin,2,r2,0.0328
2,2026,density_merlin,mean,r2,0.1959
3,2026,density_merlin,0,r2,0.2606
3,2026,density_merlin,1,r2,0.5889
3,2026,density_merlin,2,r2,0.0336
3,2026,density_merlin,mean,r2,0.2943
4,2026,density_merlin,0,r2,0.3214
4,2026,density_merlin,1,r2,0.5934
4,2026,density_merlin,2,r2,0.0313
4,2026,density_merlin,mean,r2,0.3154
5,2026,density_merlin,0,r2,0.3706
5,2026,density_merlin,1,r2,0.6051
5,2026,density_merlin,2,r2,0.0353
5,2026,density_merlin,mean,r2,0.337
6,2026,density_merlin,0,r2,0.3421
6,2026,density_merlin,1,r2,0.4969
6,2026,density_merlin,2,r2,0.0404
6,2026,density_merlin,mean,r2,0.2931
7,2026,density_merlin,0,r2,0.419
7,2026,density_merlin,1,r2,0.5981
7,2026,density_merlin,2,r2,0.0464
7,2026,density_merlin,mean,r2,0.3545
8,2026,density_merlin,0,r2,0.3535
8,2026,density_merlin,1,r2,0.6076
8,2026,density_merlin,2,r2,0.0479
8,2026,density_merlin,mean,r2,0.3363
9,2026,density_merlin,0,r2,0.4668
9,2026,density_merlin,1,r2,0.5828
9,2026,density_merlin,2,r2,0.0576
9,2026,density_merlin,mean,r2,0.3691
10,2026,density_merlin,0,r2,0.4543
10,2026,density_merlin,1,r2,0.6223
10,2026,density_merlin,2,r2,0.0593
10,2026,density_merlin,mean,r2,0.3786
1,2027,density_merlin,0,r2,0.0752
1,2027,density_merlin,1,r2,0.1996
1,2027,density_merlin,2,r2,0.0337
1,2027,density_merlin,mean,r2,0.1028
2,2027,density_merlin,0,r2,0.1697
2,2027,density_merlin,1,r2,0.5281
2,2027,density_merlin,2,r2,0.0442
2,2027,density_merlin,mean,r2,0.2473
3,2027,density_merlin,0,r2,0.2166
3,2027,density_merlin,1,r2,0.5621
3,2027,density_merlin,2,r2,0.0247
3,2027,density_merlin,mean,r2,0.2678
4,2027,density_merlin,0,r2,0.2742
4,2027,density_merlin,1,r2,0.5211
4,2027,density_merlin,2,r2,0.0351
4,2027,density_merlin,mean,r2,0.2768
5,2027,density_merlin,0,r2,0.3543
5,2027,density_merlin,1,r2,0.5942
5,2027,density_merlin,2,r2,0.0346
5,2027,density_merlin,mean,r2,0.3277
6,2027,density_merlin,0,r2,0.3858
6,2027,density_merlin,1,r2,0.589
6,2027,density_merlin,2,r2,0.0344
6,2027,density_merlin,mean,r2,0.3364
7,2027,density_merlin,0,r2,0.3363
7,2027,density_merlin,1,r2,0.5573
7,2027,density_merlin,2,r2,0.0359
7,2027,density_merlin,mean,r2,0.3098
8,2027,density_merlin,0,r2,0.3761
8,2027,density_merlin,1,r2,0.5646
8,2027,density_merlin,2,r2,0.0394
8,2027,density_merlin,mean,r2,0.3267
9,2027,density_merlin,0,r2,0.4045
9,2027,density_merlin,1,r2,0.5518
9,2027,density_merlin,2,r2,0.0427
9,2027,density_merlin,mean,r2,0.333
10,2027,density_merlin,0,r2,0.4007
10,2027,density_merlin,1,r2,0.5718
10,2027,density_merlin,2,r2,0.0368
10,2027,density_merlin,mean,r2,0.3364
1,2028,density_merlin,0,r2,0.034
1,2028,density_merlin,1,r2,0.1174
1,2028,density_merlin,2,r2,0.0015
1,2028,density_merlin,mean,r2,0.051
2,2028,density_merlin,0,r2,0.1632
2,2028,density_merlin,1,r2,0.4794
2,2028,density_merlin,2,r2,0.0298
2,2028,density_merlin,mean,r2,0.2241
3,2028,density_merlin,0,r2,0.2007
3,2028,density_merlin,1,r2,0.5435
3,2028,density_merlin,2,r2,0.0241
3,2028,density_merlin,mean,r2,0.2561
4,2028,density_merlin,0,r2,0.2071
4,2028,density_merlin,1,r2,0.5327
4,2028,density_merlin,2,r2,0.0197
4,2028,density_merlin,mean,r2,0.2532
5,2028,density_merlin,0,r2,0.342
5,2028,density_merlin,1,r2,0.6136
5,2028,density_merlin,2,r2,0.0361
5,2028,density_merlin,mean,r2,0.3306
6,2028,density_merlin,0,r2,0.3546
6,2028,density_merlin,1,r2,0.6068
6,2028,density_merlin,2,r2,0.0328
6,2028,density_merlin,mean,r2,0.3314
7,2028,density_merlin,0,r2,0.3954
7,2028,density_merlin,1,r2,0.6082
7,2028,density_merlin,2,r2,0.0389
7,2028,density_merlin,mean,r2,0.3475
8,2028,density_merlin,0,r2,0.304
8,2028,density_merlin,1,r2,0.4982
8,2028,density_merlin,2,r2,0.031
8,2028,density_merlin,mean,r2,0.2777
9,2028,density_merlin,0,r2,0.4005
9,2028,density_merlin,1,r2,0.6213
9,2028,density_merlin,2,r2,0.0386
9,2028,density_merlin,mean,r2,0.3535
10,2028,density_merlin,0,r2,0.4442
10,2028,density_merlin,1,r2,0.5808
10,2028,density_merlin,2,r2,0.0477
10,2028,density_merlin,mean,r2,0.3575
