epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,-0.0039
1,2026,location_merlin,1,r2,-0.0001
1,2026,location_merlin,2,r2,-0.0005
1,2026,location_merlin,mean,r2,-0.0015
2,2026,location_merlin,0,r2,-0.0027
2,2026,location_merlin,1,r2,-0.0003
2,2026,location_merlin,2,r2,-0.0
2,2026,location_merlin,mean,r2,-0.001
3,2026,location_merlin,0,r2,-0.0027
3,2026,location_merlin,1,r2,-0.0005
3,2026,location_merlin,2,r2,-0.0001
3,2026,location_merlin,mean,r2,-0.0011
4,2026,location_merlin,0,r2,-0.0024
4,2026,location_merlin,1,r2,-0.0003
4,2026,location_merlin,2,r2,-0.0001
4,2026,location_merlin,mean,r2,-0.0009
5,2026,location_merlin,0,r2,-0.0024
5,2026,location_merlin,1,r2,-0.0003
5,2026,location_merlin,2,r2,-0.0
5,2026,location_merlin,mean,r2,-0.0009
6,2026,location_merlin,0,r2,-0.0027
6,2026,location_merlin,1,r2,-0.0004
6,2026,location_merlin,2,r2,-0.0
6,2026,location_merlin,mean,r2,-0.0011
7,2026,location_merlin,0,r2,-0.0027
7,2026,location_merlin,1,r2,-0.0004
7,2026,location_merlin,2,r2,-0.0
7,2026,location_merlin,mean,r2,-0.001
8,2026,location_merlin,0,r2,-0.0027
8,2026,location_merlin,1,r2,-0.0005
8,2026,location_merlin,2,r2,-0.0
8,2026,location_merlin,mean,r2,-0.001
9,2026,location_merlin,0,r2,-0.0029
9,2026,location_merlin,1,r2,-0.0005
9,2026,location_merlin,2,r2,-0.0
9,2026,location_merlin,mean,r2,-0.0011
10,2026,location_merlin,0,r2,-0.0025
10,2026,location_merlin,1,r2,-0.0005
10,2026,location_merlin,2,r2,-0.0
10,2026,location_merlin,mean,r2,-0.001
1,2027,location_merlin,0,r2,-0.0182
1,2027,location_merlin,1,r2,0.0066
1,2027,location_merlin,2,r2,0.0452
1,2027,location_merlin,mean,r2,0.0112
2,2027,location_merlin,0,r2,-0.0017
2,2027,location_merlin,1,r2,0.0127
2,2027,location_merlin,2,r2,0.0679
2,2027,location_merlin,mean,r2,0.0263
3,2027,location_merlin,0,r2,0.0004
3,2027,location_merlin,1,r2,0.0208
3,2027,location_merlin,2,r2,0.0853
3,2027,location_merlin,mean,r2,0.0355
4,2027,location_merlin,0,r2,-0.0067
4,2027,location_merlin,1,r2,0.0331
4,2027,location_merlin,2,r2,0.128
4,2027,location_merlin,mean,r2,0.0515
5,2027,location_merlin,0,r2,0.0103
5,2027,location_merlin,1,r2,0.0509
5,2027,location_merlin,2,r2,0.1553
5,2027,location_merlin,mean,r2,0.0722
6,2027,location_merlin,0,r2,0.007
6,2027,location_merlin,1,r2,0.0612
6,2027,location_merlin,2,r2,0.1666
6,2027,location_merlin,mean,r2,0.0783
7,2027,location_merlin,0,r2,0.0136
7,2027,location_merlin,1,r2,0.0473
7,2027,location_merlin,2,r2,0.1246
7,2027,location_merlin,mean,r2,0.0619
8,2027,location_merlin,0,r2,0.0211
8,2027,location_merlin,1,r2,0.0523
8,2027,location_merlin,2,r2,0.1259
8,2027,location_merlin,mean,r2,0.0664
9,2027,location_merlin,0,r2,0.0256
9,2027,location_merlin,1,r2,0.0624
9,2027,location_merlin,2,r2,0.1387
9,2027,location_merlin,mean,r2,0.0756
10,2027,location_merlin,0,r2,0.0276
10,2027,location_merlin,1,r2,0.0673
10,2027,location_merlin,2,r2,0.1524
10,2027,location_merlin,mean,r2,0.0825
1,2028,location_merlin,0,r2,0.0069
1,2028,location_merlin,1,r2,0.0084
1,2028,location_merlin,2,r2,0.0198
1,2028,location_merlin,mean,r2,0.0117
2,2028,location_merlin,0,r2,-0.0014
2,2028,location_merlin,1,r2,-0.0006
2,2028,location_merlin,2,r2,-0.0005
2,2028,location_merlin,mean,r2,-0.0008
3,2028,location_merlin,0,r2,-0.0023
3,2028,location_merlin,1,r2,-0.0004
3,2028,location_merlin,2,r2,-0.0
3,2028,location_merlin,mean,r2,-0.0009
4,2028,location_merlin,0,r2,-0.0025
4,2028,location_merlin,1,r2,-0.0005
4,2028,location_merlin,2,r2,-0.0
4,2028,location_merlin,mean,r2,-0.001
5,2028,location_merlin,0,r2,-0.0024
5,2028,location_merlin,1,r2,-0.0003
5,2028,location_merlin,2,r2,-0.0
5,2028,location_merlin,mean,r2,-0.0009
6,2028,location_merlin,0,r2,-0.0027
6,2028,location_merlin,1,r2,-0.0004
6,2028,location_merlin,2,r2,-0.0
6,2028,location_merlin,mean,r2,-0.001
7,2028,location_merlin,0,r2,-0.0027
7,2028,location_merlin,1,r2,-0.0006
7,2028,location_merlin,2,r2,-0.0
7,2028,location_merlin,mean,r2,-0.0011
8,2028,location_merlin,0,r2,-0.0024
8,2028,location_merlin,1,r2,-0.0004
8,2028,location_merlin,2,r2,-0.0
8,2028,location_merlin,mean,r2,-0.0009
9,2028,location_merlin,0,r2,-0.0026
9,2028,location_merlin,1,r2,-0.0006
9,2028,location_merlin,2,r2,-0.0
9,2028,location_merlin,mean,r2,-0.0011
10,2028,location_merlin,0,r2,-0.0026
10,2028,location_merlin,1,r2,-0.0006
10,2028,location_merlin,2,r2,-0.0
10,2028,location_merlin,mean,r2,-0.0011
