epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.2307
1,2026,size_merlin,1,r2,0.2202
1,2026,size_merlin,2,r2,0.2472
1,2026,size_merlin,3,r2,0.2712
1,2026,size_merlin,4,r2,0.326
1,2026,size_merlin,5,r2,0.1338
1,2026,size_merlin,mean,r2,0.2382
2,2026,size_merlin,0,r2,0.3861
2,2026,size_merlin,1,r2,0.3783
2,2026,size_merlin,2,r2,0.282
2,2026,size_merlin,3,r2,0.2772
2,2026,size_merlin,4,r2,0.3095
2,2026,size_merlin,5,r2,0.0372
2,2026,size_merlin,mean,r2,0.2784
3,2026,size_merlin,0,r2,0.5268
3,2026,size_merlin,1,r2,0.4904
3,2026,size_merlin,2,r2,0.2784
3,2026,size_merlin,3,r2,0.3067
3,2026,size_merlin,4,r2,0.3605
3,2026,size_merlin,5,r2,0.1597
3,2026,size_merlin,mean,r2,0.3537
4,2026,size_merlin,0,r2,0.5909
4,2026,size_merlin,1,r2,0.5801
4,2026,size_merlin,2,r2,0.3298
4,2026,size_merlin,3,r2,0.3489
4,2026,size_merlin,4,r2,0.3566
4,2026,size_merlin,5,r2,0.1481
4,2026,size_merlin,mean,r2,0.3924
5,2026,size_merlin,0,r2,0.633
5,2026,size_merlin,1,r2,0.5968
5,2026,size_merlin,2,r2,0.3504
5,2026,size_merlin,3,r2,0.3641
5,2026,size_merlin,4,r2,0.3838
5,2026,size_merlin,5,r2,0.16
5,2026,size_merlin,mean,r2,0.4147
6,2026,size_merlin,0,r2,0.6481
6,2026,size_merlin,1,r2,0.6231
6,2026,size_merlin,2,r2,0.3358
6,2026,size_merlin,3,r2,0.3327
6,2026,size_merlin,4,r2,0.269
6,2026,size_merlin,5,r2,0.1105
6,2026,size_merlin,mean,r2,0.3865
7,2026,size_merlin,0,r2,0.717
7,2026,size_merlin,1,r2,0.6549
7,2026,size_merlin,2,r2,0.3771
7,2026,size_merlin,3,r2,0.3847
7,2026,size_merlin,4,r2,0.3624
7,2026,size_merlin,5,r2,0.166
7,2026,size_merlin,mean,r2,0.4437
8,2026,size_merlin,0,r2,0.7163
8,2026,size_merlin,1,r2,0.6573
8,2026,size_merlin,2,r2,0.3804
8,2026,size_merlin,3,r2,0.3955
8,2026,size_merlin,4,r2,0.4096
8,2026,size_merlin,5,r2,0.1806
8,2026,size_merlin,mean,r2,0.4566
9,2026,size_merlin,0,r2,0.7148
9,2026,size_merlin,1,r2,0.6243
9,2026,size_merlin,2,r2,0.4084
9,2026,size_merlin,3,r2,0.3821
9,2026,size_merlin,4,r2,0.4031
9,2026,size_merlin,5,r2,0.1775
9,2026,size_merlin,mean,r2,0.4517
10,2026,size_merlin,0,r2,0.7066
10,2026,size_merlin,1,r2,0.6222
10,2026,size_merlin,2,r2,0.4095
10,2026,size_merlin,3,r2,0.4167
10,2026,size_merlin,4,r2,0.4283
10,2026,size_merlin,5,r2,0.1821
10,2026,size_merlin,mean,r2,0.4609
1,2027,size_merlin,0,r2,0.2159
1,2027,size_merlin,1,r2,0.2123
1,2027,size_merlin,2,r2,0.1291
1,2027,size_merlin,3,r2,0.2602
1,2027,size_merlin,4,r2,0.2988
1,2027,size_merlin,5,r2,0.1255
1,2027,size_merlin,mean,r2,0.207
2,2027,size_merlin,0,r2,0.3222
2,2027,size_merlin,1,r2,0.3236
2,2027,size_merlin,2,r2,0.2712
2,2027,size_merlin,3,r2,0.2798
2,2027,size_merlin,4,r2,0.3494
2,2027,size_merlin,5,r2,0.1392
2,2027,size_merlin,mean,r2,0.2809
3,2027,size_merlin,0,r2,0.5208
3,2027,size_merlin,1,r2,0.512
3,2027,size_merlin,2,r2,0.2265
3,2027,size_merlin,3,r2,0.3151
3,2027,size_merlin,4,r2,0.3648
3,2027,size_merlin,5,r2,0.1369
3,2027,size_merlin,mean,r2,0.346
4,2027,size_merlin,0,r2,0.6112
4,2027,size_merlin,1,r2,0.575
4,2027,size_merlin,2,r2,0.3381
4,2027,size_merlin,3,r2,0.3295
4,2027,size_merlin,4,r2,0.39
4,2027,size_merlin,5,r2,0.157
4,2027,size_merlin,mean,r2,0.4001
5,2027,size_merlin,0,r2,0.6751
5,2027,size_merlin,1,r2,0.6334
5,2027,size_merlin,2,r2,0.359
5,2027,size_merlin,3,r2,0.3498
5,2027,size_merlin,4,r2,0.3764
5,2027,size_merlin,5,r2,0.1571
5,2027,size_merlin,mean,r2,0.4251
6,2027,size_merlin,0,r2,0.6773
6,2027,size_merlin,1,r2,0.6382
6,2027,size_merlin,2,r2,0.3878
6,2027,size_merlin,3,r2,0.3679
6,2027,size_merlin,4,r2,0.4081
6,2027,size_merlin,5,r2,0.1661
6,2027,size_merlin,mean,r2,0.4409
7,2027,size_merlin,0,r2,0.7007
7,2027,size_merlin,1,r2,0.6476
7,2027,size_merlin,2,r2,0.3616
7,2027,size_merlin,3,r2,0.3611
7,2027,size_merlin,4,r2,0.3554
7,2027,size_merlin,5,r2,0.1617
7,2027,size_merlin,mean,r2,0.4314
8,2027,size_merlin,0,r2,0.7345
8,2027,size_merlin,1,r2,0.663
8,2027,size_merlin,2,r2,0.3922
8,2027,size_merlin,3,r2,0.3859
8,2027,size_merlin,4,r2,0.4192
8,2027,size_merlin,5,r2,0.1814
8,2027,size_merlin,mean,r2,0.4627
9,2027,size_merlin,0,r2,0.7388
9,2027,size_merlin,1,r2,0.6695
9,2027,size_merlin,2,r2,0.3897
9,2027,size_merlin,3,r2,0.3891
9,2027,size_merlin,4,r2,0.4144
9,2027,size_merlin,5,r2,0.1867
9,2027,size_merlin,mean,r2,0.4647
10,2027,size_merlin,0,r2,0.7225
10,2027,size_merlin,1,r2,0.6652
10,2027,size_merlin,2,r2,0.4082
10,2027,size_merlin,3,r2,0.3814
10,2027,size_merlin,4,r2,0.4229
10,2027,size_merlin,5,r2,0.1816
10,2027,size_merlin,mean,r2,0.4636
1,2028,size_merlin,0,r2,0.2367
1,2028,size_merlin,1,r2,0.2172
1,2028,size_merlin,2,r2,0.2386
1,2028,size_merlin,3,r2,0.2628
1,2028,size_merlin,4,r2,0.3113
1,2028,size_merlin,5,r2,0.1194
1,2028,size_merlin,mean,r2,0.231
2,2028,size_merlin,0,r2,0.4308
2,2028,size_merlin,1,r2,0.4196
2,2028,size_merlin,2,r2,0.289
2,2028,size_merlin,3,r2,0.2895
2,2028,size_merlin,4,r2,0.3415
2,2028,size_merlin,5,r2,0.131
2,2028,size_merlin,mean,r2,0.3169
3,2028,size_merlin,0,r2,0.4455
3,2028,size_merlin,1,r2,0.4698
3,2028,size_merlin,2,r2,0.3153
3,2028,size_merlin,3,r2,0.3235
3,2028,size_merlin,4,r2,0.3631
3,2028,size_merlin,5,r2,0.1318
3,2028,size_merlin,mean,r2,0.3415
4,2028,size_merlin,0,r2,0.5625
4,2028,size_merlin,1,r2,0.5485
4,2028,size_merlin,2,r2,0.3488
4,2028,size_merlin,3,r2,0.33
4,2028,size_merlin,4,r2,0.3412
4,2028,size_merlin,5,r2,0.129
4,2028,size_merlin,mean,r2,0.3767
5,2028,size_merlin,0,r2,0.6057
5,2028,size_merlin,1,r2,0.5793
5,2028,size_merlin,2,r2,0.3385
5,2028,size_merlin,3,r2,0.3438
5,2028,size_merlin,4,r2,0.3575
5,2028,size_merlin,5,r2,0.1544
5,2028,size_merlin,mean,r2,0.3965
6,2028,size_merlin,0,r2,0.6567
6,2028,size_merlin,1,r2,0.6212
6,2028,size_merlin,2,r2,0.3702
6,2028,size_merlin,3,r2,0.3599
6,2028,size_merlin,4,r2,0.3915
6,2028,size_merlin,5,r2,0.168
6,2028,size_merlin,mean,r2,0.4279
7,2028,size_merlin,0,r2,0.6733
7,2028,size_merlin,1,r2,0.6346
7,2028,size_merlin,2,r2,0.3715
7,2028,size_merlin,3,r2,0.3733
7,2028,size_merlin,4,r2,0.3836
7,2028,size_merlin,5,r2,0.1566
7,2028,size_merlin,mean,r2,0.4321
8,2028,size_merlin,0,r2,0.6698
8,2028,size_merlin,1,r2,0.6218
8,2028,size_merlin,2,r2,0.3695
8,2028,size_merlin,3,r2,0.3737
8,2028,size_merlin,4,r2,0.4097
8,2028,size_merlin,5,r2,0.1792
8,2028,size_merlin,mean,r2,0.4373
9,2028,size_merlin,0,r2,0.6981
9,2028,size_merlin,1,r2,0.6597
9,2028,size_merlin,2,r2,0.3713
9,2028,size_merlin,3,r2,0.3932
9,2028,size_merlin,4,r2,0.4118
9,2028,size_merlin,5,r2,0.179
9,2028,size_merlin,mean,r2,0.4522
10,2028,size_merlin,0,r2,0.7193
10,2028,size_merlin,1,r2,0.6591
10,2028,size_merlin,2,r2,0.398
10,2028,size_merlin,3,r2,0.3878
10,2028,size_merlin,4,r2,0.4204
10,2028,size_merlin,5,r2,0.1805
10,2028,size_merlin,mean,r2,0.4609
