epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.5755
1,2026,density_merlin,1,r2,0.7305
1,2026,density_merlin,2,r2,0.1477
1,2026,density_merlin,mean,r2,0.4846
2,2026,density_merlin,0,r2,0.6166
2,2026,density_merlin,1,r2,0.7707
2,2026,density_merlin,2,r2,0.2879
2,2026,density_merlin,mean,r2,0.5584
3,2026,density_merlin,0,r2,0.6367
3,2026,density_merlin,1,r2,0.8137
3,2026,density_merlin,2,r2,0.337
3,2026,density_merlin,mean,r2,0.5958
4,2026,density_merlin,0,r2,0.5603
4,2026,density_merlin,1,r2,0.8381
4,2026,density_merlin,2,r2,0.3655
4,2026,density_merlin,mean,r2,0.588
5,2026,density_merlin,0,r2,0.6184
5,2026,density_merlin,1,r2,0.8507
5,2026,density_merlin,2,r2,0.3868
5,2026,density_merlin,mean,r2,0.6186
6,2026,density_merlin,0,r2,0.6339
6,2026,density_merlin,1,r2,0.8212
6,2026,density_merlin,2,r2,0.4041
6,2026,density_merlin,mean,r2,0.6197
7,2026,density_merlin,0,r2,0.5835
7,2026,density_merlin,1,r2,0.8353
7,2026,density_merlin,2,r2,0.4173
7,2026,density_merlin,mean,r2,0.612
8,2026,density_merlin,0,r2,0.6846
8,2026,density_merlin,1,r2,0.8821
8,2026,density_merlin,2,r2,0.4195
8,2026,density_merlin,mean,r2,0.662
9,2026,density_merlin,0,r2,0.6862
9,2026,density_merlin,1,r2,0.8792
9,2026,density_merlin,2,r2,0.4328
9,2026,density_merlin,mean,r2,0.6661
10,2026,density_merlin,0,r2,0.693
10,2026,density_merlin,1,r2,0.8213
10,2026,density_merlin,2,r2,0.4432
10,2026,density_merlin,mean,r2,0.6525
1,2027,density_merlin,0,r2,0.5576
1,2027,density_merlin,1,r2,0.7223
1,2027,density_merlin,2,r2,-0.0411
1,2027,density_merlin,mean,r2,0.4129
2,2027,density_merlin,0,r2,0.505
2,2027,density_merlin,1,r2,0.7669
2,2027,density_merlin,2,r2,0.2969
2,2027,density_merlin,mean,r2,0.5229
3,2027,density_merlin,0,r2,0.5778
3,2027,density_merlin,1,r2,0.7425
3,2027,density_merlin,2,r2,0.3333
3,2027,density_merlin,mean,r2,0.5512
4,2027,density_merlin,0,r2,0.6288
4,2027,density_merlin,1,r2,0.8077
4,2027,density_merlin,2,r2,0.3201
4,2027,density_merlin,mean,r2,0.5855
5,2027,density_merlin,0,r2,0.6693
5,2027,density_merlin,1,r2,0.8332
5,2027,density_merlin,2,r2,0.3445
5,2027,density_merlin,mean,r2,0.6157
6,2027,density_merlin,0,r2,0.6643
6,2027,density_merlin,1,r2,0.8355
6,2027,density_merlin,2,r2,0.3592
6,2027,density_merlin,mean,r2,0.6197
7,2027,density_merlin,0,r2,0.6544
7,2027,density_merlin,1,r2,0.8538
7,2027,density_merlin,2,r2,0.4059
7,2027,density_merlin,mean,r2,0.6381
8,2027,density_merlin,0,r2,0.6793
8,2027,density_merlin,1,r2,0.8327
8,2027,density_merlin,2,r2,0.4355
8,2027,density_merlin,mean,r2,0.6492
9,2027,density_merlin,0,r2,0.6652
9,2027,density_merlin,1,r2,0.8641
9,2027,density_merlin,2,r2,0.4202
9,2027,density_merlin,mean,r2,0.6498
10,2027,density_merlin,0,r2,0.6891
10,2027,density_merlin,1,r2,0.8639
10,2027,density_merlin,2,r2,0.4085
10,2027,density_merlin,mean,r2,0.6538
1,2028,density_merlin,0,r2,0.5529
1,2028,density_merlin,1,r2,0.6751
1,2028,density_merlin,2,r2,0.1095
1,2028,density_merlin,mean,r2,0.4458
2,2028,density_merlin,0,r2,0.6243
2,2028,density_merlin,1,r2,0.7573
2,2028,density_merlin,2,r2,0.2457
2,2028,density_merlin,mean,r2,0.5425
3,2028,density_merlin,0,r2,0.6417
3,2028,density_merlin,1,r2,0.7741
3,2028,density_merlin,2,r2,0.3004
3,2028,density_merlin,mean,r2,0.572
4,2028,density_merlin,0,r2,0.629
4,2028,density_merlin,1,r2,0.7913
4,2028,density_merlin,2,r2,0.3075
4,2028,density_merlin,mean,r2,0.576
5,2028,density_merlin,0,r2,0.6509
5,2028,density_merlin,1,r2,0.8122
5,2028,density_merlin,2,r2,0.3077
5,2028,density_merlin,mean,r2,0.5903
6,2028,density_merlin,0,r2,0.6526
6,2028,density_merlin,1,r2,0.8326
6,2028,density_merlin,2,r2,0.3855
6,2028,density_merlin,mean,r2,0.6236
7,2028,density_merlin,0,r2,0.6412
7,2028,density_merlin,1,r2,0.8144
7,2028,density_merlin,2,r2,0.3979
7,2028,density_merlin,mean,r2,0.6178
8,2028,density_merlin,0,r2,0.677
8,2028,density_merlin,1,r2,0.8412
8,2028,density_merlin,2,r2,0.407
8,2028,density_merlin,mean,r2,0.6417
9,2028,density_merlin,0,r2,0.6675
9,2028,density_merlin,1,r2,0.8374
9,2028,density_merlin,2,r2,0.3998
9,2028,density_merlin,mean,r2,0.6349
10,2028,density_merlin,0,r2,0.6655
10,2028,density_merlin,1,r2,0.8433
10,2028,density_merlin,2,r2,0.4097
10,2028,density_merlin,mean,r2,0.6395
