epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.8157
1,2026,density,1,r2,0.6369
1,2026,density,2,r2,0.9013
1,2026,density,3,r2,0.8941
1,2026,density,mean,r2,0.812
2,2026,density,0,r2,0.8307
2,2026,density,1,r2,0.7242
2,2026,density,2,r2,0.9251
2,2026,density,3,r2,0.914
2,2026,density,mean,r2,0.8485
3,2026,density,0,r2,0.8322
3,2026,density,1,r2,0.7762
3,2026,density,2,r2,0.9325
3,2026,density,3,r2,0.9199
3,2026,density,mean,r2,0.8652
4,2026,density,0,r2,0.8456
4,2026,density,1,r2,0.8055
4,2026,density,2,r2,0.9361
4,2026,density,3,r2,0.9265
4,2026,density,mean,r2,0.8784
5,2026,density,0,r2,0.8254
5,2026,density,1,r2,0.7913
5,2026,density,2,r2,0.9408
5,2026,density,3,r2,0.9255
5,2026,density,mean,r2,0.8708
6,2026,density,0,r2,0.8538
6,2026,density,1,r2,0.8108
6,2026,density,2,r2,0.9353
6,2026,density,3,r2,0.9102
6,2026,density,mean,r2,0.8775
7,2026,density,0,r2,0.8574
7,2026,density,1,r2,0.8287
7,2026,density,2,r2,0.9421
7,2026,density,3,r2,0.9311
7,2026,density,mean,r2,0.8898
8,2026,density,0,r2,0.857
8,2026,density,1,r2,0.8251
8,2026,density,2,r2,0.947
8,2026,density,3,r2,0.9352
8,2026,density,mean,r2,0.8911
9,2026,density,0,r2,0.8552
9,2026,density,1,r2,0.8411
9,2026,density,2,r2,0.9436
9,2026,density,3,r2,0.9331
9,2026,density,mean,r2,0.8933
10,2026,density,0,r2,0.8536
10,2026,density,1,r2,0.8518
10,2026,density,2,r2,0.9448
10,2026,density,3,r2,0.9312
10,2026,density,mean,r2,0.8953
1,2027,density,0,r2,0.8099
1,2027,density,1,r2,0.6252
1,2027,density,2,r2,0.9066
1,2027,density,3,r2,0.9022
1,2027,density,mean,r2,0.811
2,2027,density,0,r2,0.8273
2,2027,density,1,r2,0.6683
2,2027,density,2,r2,0.9258
2,2027,density,3,r2,0.9118
2,2027,density,mean,r2,0.8333
3,2027,density,0,r2,0.837
3,2027,density,1,r2,0.7549
3,2027,density,2,r2,0.926
3,2027,density,3,r2,0.8986
3,2027,density,mean,r2,0.8541
4,2027,density,0,r2,0.8041
4,2027,density,1,r2,0.7952
4,2027,density,2,r2,0.9291
4,2027,density,3,r2,0.9237
4,2027,density,mean,r2,0.863
5,2027,density,0,r2,0.8464
5,2027,density,1,r2,0.7895
5,2027,density,2,r2,0.942
5,2027,density,3,r2,0.9173
5,2027,density,mean,r2,0.8738
6,2027,density,0,r2,0.8496
6,2027,density,1,r2,0.8067
6,2027,density,2,r2,0.9218
6,2027,density,3,r2,0.9208
6,2027,density,mean,r2,0.8747
7,2027,density,0,r2,0.8538
7,2027,density,1,r2,0.8232
7,2027,density,2,r2,0.9464
7,2027,density,3,r2,0.9305
7,2027,density,mean,r2,0.8885
8,2027,density,0,r2,0.8524
8,2027,density,1,r2,0.8041
8,2027,density,2,r2,0.9424
8,2027,density,3,r2,0.9225
8,2027,density,mean,r2,0.8804
9,2027,density,0,r2,0.8579
9,2027,density,1,r2,0.8293
9,2027,density,2,r2,0.9385
9,2027,density,3,r2,0.9235
9,2027,density,mean,r2,0.8873
10,2027,density,0,r2,0.8594
10,2027,density,1,r2,0.8264
10,2027,density,2,r2,0.9496
10,2027,density,3,r2,0.9273
10,2027,density,mean,r2,0.8907
1,2028,density,0,r2,0.8063
1,2028,density,1,r2,0.6283
1,2028,density,2,r2,0.9175
1,2028,density,3,r2,0.8986
1,2028,density,mean,r2,0.8127
2,2028,density,0,r2,0.8391
2,2028,density,1,r2,0.6923
2,2028,density,2,r2,0.9111
2,2028,density,3,r2,0.9075
2,2028,density,mean,r2,0.8375
3,2028,density,0,r2,0.8366
3,2028,density,1,r2,0.7019
3,2028,density,2,r2,0.9279
3,2028,density,3,r2,0.9178
3,2028,density,mean,r2,0.846
4,2028,density,0,r2,0.7967
4,2028,density,1,r2,0.7704
4,2028,density,2,r2,0.9254
4,2028,density,3,r2,0.9053
4,2028,density,mean,r2,0.8495
5,2028,density,0,r2,0.8487
5,2028,density,1,r2,0.772
5,2028,density,2,r2,0.9327
5,2028,density,3,r2,0.925
5,2028,density,mean,r2,0.8696
6,2028,density,0,r2,0.8552
6,2028,density,1,r2,0.8251
6,2028,density,2,r2,0.9353
6,2028,density,3,r2,0.9254
6,2028,density,mean,r2,0.8853
7,2028,density,0,r2,0.8482
7,2028,density,1,r2,0.7959
7,2028,density,2,r2,0.9345
7,2028,density,3,r2,0.9291
7,2028,density,mean,r2,0.8769
8,2028,density,0,r2,0.8467
8,2028,density,1,r2,0.8188
8,2028,density,2,r2,0.946
8,2028,density,3,r2,0.9324
8,2028,density,mean,r2,0.886
9,2028,density,0,r2,0.8604
9,2028,density,1,r2,0.8046
9,2028,density,2,r2,0.9469
9,2028,density,3,r2,0.9232
9,2028,density,mean,r2,0.8838
10,2028,density,0,r2,0.8549
10,2028,density,1,r2,0.8395
10,2028,density,2,r2,0.946
10,2028,density,3,r2,0.9328
10,2028,density,mean,r2,0.8933
