epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0839
1,2026,location,1,r2,0.1148
1,2026,location,2,r2,0.2471
1,2026,location,mean,r2,0.1486
2,2026,location,0,r2,0.1451
2,2026,location,1,r2,0.1408
2,2026,location,2,r2,0.3155
2,2026,location,mean,r2,0.2005
3,2026,location,0,r2,0.1273
3,2026,location,1,r2,0.1233
3,2026,location,2,r2,0.3048
3,2026,location,mean,r2,0.1851
4,2026,location,0,r2,0.1689
4,2026,location,1,r2,0.1454
4,2026,location,2,r2,0.3264
4,2026,location,mean,r2,0.2136
5,2026,location,0,r2,0.1826
5,2026,location,1,r2,0.1495
5,2026,location,2,r2,0.3327
5,2026,location,mean,r2,0.2216
6,2026,location,0,r2,0.2121
6,2026,location,1,r2,0.1659
6,2026,location,2,r2,0.3347
6,2026,location,mean,r2,0.2375
7,2026,location,0,r2,0.2059
7,2026,location,1,r2,0.1492
7,2026,location,2,r2,0.3364
7,2026,location,mean,r2,0.2305
8,2026,location,0,r2,0.1261
8,2026,location,1,r2,0.1674
8,2026,location,2,r2,0.3474
8,2026,location,mean,r2,0.2136
9,2026,location,0,r2,0.2246
9,2026,location,1,r2,0.1355
9,2026,location,2,r2,0.3161
9,2026,location,mean,r2,0.2254
10,2026,location,0,r2,0.2311
10,2026,location,1,r2,0.1272
10,2026,location,2,r2,0.3395
10,2026,location,mean,r2,0.2326
1,2027,location,0,r2,0.1029
1,2027,location,1,r2,0.1192
1,2027,location,2,r2,0.2621
1,2027,location,mean,r2,0.1614
2,2027,location,0,r2,0.1614
2,2027,location,1,r2,0.1413
2,2027,location,2,r2,0.2922
2,2027,location,mean,r2,0.1983
3,2027,location,0,r2,0.1277
3,2027,location,1,r2,0.1075
3,2027,location,2,r2,0.2904
3,2027,location,mean,r2,0.1752
4,2027,location,0,r2,0.1315
4,2027,location,1,r2,0.1078
4,2027,location,2,r2,0.3018
4,2027,location,mean,r2,0.1804
5,2027,location,0,r2,0.1548
5,2027,location,1,r2,0.152
5,2027,location,2,r2,0.3195
5,2027,location,mean,r2,0.2088
6,2027,location,0,r2,0.1771
6,2027,location,1,r2,0.154
6,2027,location,2,r2,0.3222
6,2027,location,mean,r2,0.2177
7,2027,location,0,r2,0.2102
7,2027,location,1,r2,0.1448
7,2027,location,2,r2,0.3264
7,2027,location,mean,r2,0.2271
8,2027,location,0,r2,0.2308
8,2027,location,1,r2,0.1798
8,2027,location,2,r2,0.3282
8,2027,location,mean,r2,0.2463
9,2027,location,0,r2,0.1889
9,2027,location,1,r2,0.1534
9,2027,location,2,r2,0.3282
9,2027,location,mean,r2,0.2235
10,2027,location,0,r2,0.135
10,2027,location,1,r2,0.1366
10,2027,location,2,r2,0.3352
10,2027,location,mean,r2,0.2022
1,2028,location,0,r2,0.1194
1,2028,location,1,r2,0.123
1,2028,location,2,r2,0.2837
1,2028,location,mean,r2,0.1754
2,2028,location,0,r2,0.1373
2,2028,location,1,r2,0.1314
2,2028,location,2,r2,0.3057
2,2028,location,mean,r2,0.1915
3,2028,location,0,r2,0.1686
3,2028,location,1,r2,0.1381
3,2028,location,2,r2,0.3114
3,2028,location,mean,r2,0.206
4,2028,location,0,r2,0.1757
4,2028,location,1,r2,0.1539
4,2028,location,2,r2,0.335
4,2028,location,mean,r2,0.2216
5,2028,location,0,r2,0.1746
5,2028,location,1,r2,0.1514
5,2028,location,2,r2,0.3076
5,2028,location,mean,r2,0.2112
6,2028,location,0,r2,0.2188
6,2028,location,1,r2,0.1629
6,2028,location,2,r2,0.3448
6,2028,location,mean,r2,0.2422
7,2028,location,0,r2,0.1969
7,2028,location,1,r2,0.1676
7,2028,location,2,r2,0.3394
7,2028,location,mean,r2,0.2346
8,2028,location,0,r2,0.2104
8,2028,location,1,r2,0.1601
8,2028,location,2,r2,0.35
8,2028,location,mean,r2,0.2402
9,2028,location,0,r2,0.1598
9,2028,location,1,r2,0.1875
9,2028,location,2,r2,0.337
9,2028,location,mean,r2,0.2281
10,2028,location,0,r2,0.2546
10,2028,location,1,r2,0.1856
10,2028,location,2,r2,0.3418
10,2028,location,mean,r2,0.2607
