epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8197
1,2026,size,1,r2,0.4773
1,2026,size,2,r2,0.4304
1,2026,size,3,r2,0.5788
1,2026,size,4,r2,0.6402
1,2026,size,mean,r2,0.5893
2,2026,size,0,r2,0.8264
2,2026,size,1,r2,0.5163
2,2026,size,2,r2,0.4521
2,2026,size,3,r2,0.5697
2,2026,size,4,r2,0.6452
2,2026,size,mean,r2,0.6019
3,2026,size,0,r2,0.8441
3,2026,size,1,r2,0.5285
3,2026,size,2,r2,0.4628
3,2026,size,3,r2,0.6095
3,2026,size,4,r2,0.6732
3,2026,size,mean,r2,0.6236
4,2026,size,0,r2,0.839
4,2026,size,1,r2,0.5214
4,2026,size,2,r2,0.4532
4,2026,size,3,r2,0.6061
4,2026,size,4,r2,0.6833
4,2026,size,mean,r2,0.6206
5,2026,size,0,r2,0.8437
5,2026,size,1,r2,0.532
5,2026,size,2,r2,0.4628
5,2026,size,3,r2,0.604
5,2026,size,4,r2,0.6919
5,2026,size,mean,r2,0.6269
6,2026,size,0,r2,0.8444
6,2026,size,1,r2,0.5442
6,2026,size,2,r2,0.474
6,2026,size,3,r2,0.6206
6,2026,size,4,r2,0.6947
6,2026,size,mean,r2,0.6356
7,2026,size,0,r2,0.8468
7,2026,size,1,r2,0.5385
7,2026,size,2,r2,0.4664
7,2026,size,3,r2,0.6145
7,2026,size,4,r2,0.6779
7,2026,size,mean,r2,0.6288
8,2026,size,0,r2,0.8411
8,2026,size,1,r2,0.5405
8,2026,size,2,r2,0.4771
8,2026,size,3,r2,0.6138
8,2026,size,4,r2,0.6898
8,2026,size,mean,r2,0.6325
9,2026,size,0,r2,0.848
9,2026,size,1,r2,0.5539
9,2026,size,2,r2,0.4779
9,2026,size,3,r2,0.5978
9,2026,size,4,r2,0.6864
9,2026,size,mean,r2,0.6328
10,2026,size,0,r2,0.8531
10,2026,size,1,r2,0.548
10,2026,size,2,r2,0.4263
10,2026,size,3,r2,0.6067
10,2026,size,4,r2,0.7027
10,2026,size,mean,r2,0.6273
1,2027,size,0,r2,0.7994
1,2027,size,1,r2,0.4942
1,2027,size,2,r2,0.4388
1,2027,size,3,r2,0.5914
1,2027,size,4,r2,0.662
1,2027,size,mean,r2,0.5972
2,2027,size,0,r2,0.8401
2,2027,size,1,r2,0.5112
2,2027,size,2,r2,0.4628
2,2027,size,3,r2,0.6155
2,2027,size,4,r2,0.6704
2,2027,size,mean,r2,0.62
3,2027,size,0,r2,0.8285
3,2027,size,1,r2,0.5295
3,2027,size,2,r2,0.4754
3,2027,size,3,r2,0.6059
3,2027,size,4,r2,0.6707
3,2027,size,mean,r2,0.622
4,2027,size,0,r2,0.8273
4,2027,size,1,r2,0.5301
4,2027,size,2,r2,0.4843
4,2027,size,3,r2,0.6186
4,2027,size,4,r2,0.6821
4,2027,size,mean,r2,0.6285
5,2027,size,0,r2,0.8327
5,2027,size,1,r2,0.5339
5,2027,size,2,r2,0.4694
5,2027,size,3,r2,0.6217
5,2027,size,4,r2,0.6985
5,2027,size,mean,r2,0.6312
6,2027,size,0,r2,0.8441
6,2027,size,1,r2,0.5416
6,2027,size,2,r2,0.4752
6,2027,size,3,r2,0.6146
6,2027,size,4,r2,0.6917
6,2027,size,mean,r2,0.6334
7,2027,size,0,r2,0.8512
7,2027,size,1,r2,0.5472
7,2027,size,2,r2,0.4735
7,2027,size,3,r2,0.6271
7,2027,size,4,r2,0.6981
7,2027,size,mean,r2,0.6394
8,2027,size,0,r2,0.8519
8,2027,size,1,r2,0.543
8,2027,size,2,r2,0.4701
