epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.885
1,2026,radiomics,1,r2,0.244
1,2026,radiomics,2,r2,0.8334
1,2026,radiomics,mean,r2,0.6542
2,2026,radiomics,0,r2,0.8939
2,2026,radiomics,1,r2,0.2824
2,2026,radiomics,2,r2,0.8343
2,2026,radiomics,mean,r2,0.6702
3,2026,radiomics,0,r2,0.901
3,2026,radiomics,1,r2,0.3777
3,2026,radiomics,2,r2,0.8569
3,2026,radiomics,mean,r2,0.7119
4,2026,radiomics,0,r2,0.8988
4,2026,radiomics,1,r2,0.3307
4,2026,radiomics,2,r2,0.8558
4,2026,radiomics,mean,r2,0.6951
5,2026,radiomics,0,r2,0.9
5,2026,radiomics,1,r2,0.2803
5,2026,radiomics,2,r2,0.8532
5,2026,radiomics,mean,r2,0.6778
6,2026,radiomics,0,r2,0.9093
6,2026,radiomics,1,r2,0.4485
6,2026,radiomics,2,r2,0.8746
6,2026,radiomics,mean,r2,0.7441
7,2026,radiomics,0,r2,0.9166
7,2026,radiomics,1,r2,0.4073
7,2026,radiomics,2,r2,0.8742
7,2026,radiomics,mean,r2,0.7327
8,2026,radiomics,0,r2,0.9135
8,2026,radiomics,1,r2,0.4046
8,2026,radiomics,2,r2,0.8812
8,2026,radiomics,mean,r2,0.7331
9,2026,radiomics,0,r2,0.9216
9,2026,radiomics,1,r2,0.4664
9,2026,radiomics,2,r2,0.8759
9,2026,radiomics,mean,r2,0.7546
10,2026,radiomics,0,r2,0.919
10,2026,radiomics,1,r2,0.4339
10,2026,radiomics,2,r2,0.8799
10,2026,radiomics,mean,r2,0.7442
1,2027,radiomics,0,r2,0.8897
1,2027,radiomics,1,r2,0.2463
1,2027,radiomics,2,r2,0.8267
1,2027,radiomics,mean,r2,0.6542
2,2027,radiomics,0,r2,0.9023
2,2027,radiomics,1,r2,0.3198
2,2027,radiomics,2,r2,0.8494
2,2027,radiomics,mean,r2,0.6905
3,2027,radiomics,0,r2,0.8969
3,2027,radiomics,1,r2,0.3765
3,2027,radiomics,2,r2,0.8544
3,2027,radiomics,mean,r2,0.7093
4,2027,radiomics,0,r2,0.8992
4,2027,radiomics,1,r2,0.3358
4,2027,radiomics,2,r2,0.8714
4,2027,radiomics,mean,r2,0.7021
5,2027,radiomics,0,r2,0.905
5,2027,radiomics,1,r2,0.3823
5,2027,radiomics,2,r2,0.8753
5,2027,radiomics,mean,r2,0.7209
6,2027,radiomics,0,r2,0.9119
6,2027,radiomics,1,r2,0.4239
6,2027,radiomics,2,r2,0.8719
6,2027,radiomics,mean,r2,0.7359
7,2027,radiomics,0,r2,0.9089
7,2027,radiomics,1,r2,0.3942
7,2027,radiomics,2,r2,0.875
7,2027,radiomics,mean,r2,0.726
8,2027,radiomics,0,r2,0.9112
8,2027,radiomics,1,r2,0.5226
8,2027,radiomics,2,r2,0.8841
8,2027,radiomics,mean,r2,0.7726
9,2027,radiomics,0,r2,0.9123
9,2027,radiomics,1,r2,0.5383
9,2027,radiomics,2,r2,0.8721
9,2027,radiomics,mean,r2,0.7742
10,2027,radiomics,0,r2,0.9128
10,2027,radiomics,1,r2,0.4985
10,2027,radiomics,2,r2,0.88
10,2027,radiomics,mean,r2,0.7638
1,2028,radiomics,0,r2,0.8892
1,2028,radiomics,1,r2,0.2502
1,2028,radiomics,2,r2,0.8241
1,2028,radiomics,mean,r2,0.6545
2,2028,radiomics,0,r2,0.9082
2,2028,radiomics,1,r2,0.2686
2,2028,radiomics,2,r2,0.8456
2,2028,radiomics,mean,r2,0.6741
3,2028,radiomics,0,r2,0.9071
3,2028,radiomics,1,r2,0.3407
3,2028,radiomics,2,r2,0.8657
3,2028,radiomics,mean,r2,0.7045
4,2028,radiomics,0,r2,0.9136
4,2028,radiomics,1,r2,0.3662
4,2028,radiomics,2,r2,0.872
4,2028,radiomics,mean,r2,0.7173
5,2028,radiomics,0,r2,0.9065
5,2028,radiomics,1,r2,0.4444
5,2028,radiomics,2,r2,0.8786
5,2028,radiomics,mean,r2,0.7431
6,2028,radiomics,0,r2,0.9217
6,2028,radiomics,1,r2,0.385
6,2028,radiomics,2,r2,0.8829
6,2028,radiomics,mean,r2,0.7299
7,2028,radiomics,0,r2,0.9148
7,2028,radiomics,1,r2,0.4435
7,2028,radiomics,2,r2,0.8834
7,2028,radiomics,mean,r2,0.7472
8,2028,radiomics,0,r2,0.9095
8,2028,radiomics,1,r2,0.4398
8,2028,radiomics,2,r2,0.8904
8,2028,radiomics,mean,r2,0.7465
9,2028,radiomics,0,r2,0.9128
9,2028,radiomics,1,r2,0.4395
9,2028,radiomics,2,r2,0.8843
9,2028,radiomics,mean,r2,0.7455
10,2028,radiomics,0,r2,0.9241
10,2028,radiomics,1,r2,0.4163
10,2028,radiomics,2,r2,0.8977
10,2028,radiomics,mean,r2,0.746
