epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9274
1,2026,disease,Arterial wall calcification,auroc,0.9277
1,2026,disease,Cardiomegaly,auroc,0.9201
1,2026,disease,Pericardial effusion,auroc,0.8615
1,2026,disease,Coronary artery wall calcification,auroc,0.9314
1,2026,disease,Hiatal hernia,auroc,0.708
1,2026,disease,Lymphadenopathy,auroc,0.7422
1,2026,disease,Emphysema,auroc,0.7976
1,2026,disease,Atelectasis,auroc,0.8015
1,2026,disease,Lung nodule,auroc,0.7427
1,2026,disease,Lung opacity,auroc,0.8719
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7369
1,2026,disease,Pleural effusion,auroc,0.967
1,2026,disease,Mosaic attenuation pattern,auroc,0.876
1,2026,disease,Peribronchial thickening,auroc,0.8026
1,2026,disease,Consolidation,auroc,0.9208
1,2026,disease,Bronchiectasis,auroc,0.7792
1,2026,disease,Interlobular septal thickening,auroc,0.8718
1,2026,disease,macro,auroc,0.8437
1,2026,disease,micro,auroc,0.8533
2,2026,disease,Medical material,auroc,0.9243
2,2026,disease,Arterial wall calcification,auroc,0.9275
2,2026,disease,Cardiomegaly,auroc,0.9236
2,2026,disease,Pericardial effusion,auroc,0.8549
2,2026,disease,Coronary artery wall calcification,auroc,0.9345
2,2026,disease,Hiatal hernia,auroc,0.7134
2,2026,disease,Lymphadenopathy,auroc,0.7479
2,2026,disease,Emphysema,auroc,0.7944
2,2026,disease,Atelectasis,auroc,0.802
2,2026,disease,Lung nodule,auroc,0.7428
2,2026,disease,Lung opacity,auroc,0.8694
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7313
2,2026,disease,Pleural effusion,auroc,0.9711
2,2026,disease,Mosaic attenuation pattern,auroc,0.8783
2,2026,disease,Peribronchial thickening,auroc,0.8027
2,2026,disease,Consolidation,auroc,0.924
2,2026,disease,Bronchiectasis,auroc,0.7869
2,2026,disease,Interlobular septal thickening,auroc,0.876
2,2026,disease,macro,auroc,0.8447
2,2026,disease,micro,auroc,0.8541
3,2026,disease,Medical material,auroc,0.9273
3,2026,disease,Arterial wall calcification,auroc,0.9246
3,2026,disease,Cardiomegaly,auroc,0.9162
3,2026,disease,Pericardial effusion,auroc,0.861
3,2026,disease,Coronary artery wall calcification,auroc,0.931
3,2026,disease,Hiatal hernia,auroc,0.7075
