epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.3886
1,2026,location_merlin,1,r2,0.131
1,2026,location_merlin,2,r2,0.0436
1,2026,location_merlin,mean,r2,0.1877
2,2026,location_merlin,0,r2,0.5159
2,2026,location_merlin,1,r2,0.249
2,2026,location_merlin,2,r2,0.1369
2,2026,location_merlin,mean,r2,0.3006
3,2026,location_merlin,0,r2,0.5587
3,2026,location_merlin,1,r2,0.2566
3,2026,location_merlin,2,r2,0.1653
3,2026,location_merlin,mean,r2,0.3269
4,2026,location_merlin,0,r2,0.5851
4,2026,location_merlin,1,r2,0.3554
4,2026,location_merlin,2,r2,0.175
4,2026,location_merlin,mean,r2,0.3718
5,2026,location_merlin,0,r2,0.6307
5,2026,location_merlin,1,r2,0.4241
5,2026,location_merlin,2,r2,0.1246
5,2026,location_merlin,mean,r2,0.3931
6,2026,location_merlin,0,r2,0.639
6,2026,location_merlin,1,r2,0.4534
6,2026,location_merlin,2,r2,0.1941
6,2026,location_merlin,mean,r2,0.4288
7,2026,location_merlin,0,r2,0.6372
7,2026,location_merlin,1,r2,0.4541
7,2026,location_merlin,2,r2,0.1979
7,2026,location_merlin,mean,r2,0.4297
8,2026,location_merlin,0,r2,0.6595
8,2026,location_merlin,1,r2,0.4339
8,2026,location_merlin,2,r2,0.1934
8,2026,location_merlin,mean,r2,0.4289
9,2026,location_merlin,0,r2,0.6484
9,2026,location_merlin,1,r2,0.4794
9,2026,location_merlin,2,r2,0.1598
9,2026,location_merlin,mean,r2,0.4292
10,2026,location_merlin,0,r2,0.6617
10,2026,location_merlin,1,r2,0.5335
10,2026,location_merlin,2,r2,0.1961
10,2026,location_merlin,mean,r2,0.4638
1,2027,location_merlin,0,r2,0.3818
1,2027,location_merlin,1,r2,0.1544
1,2027,location_merlin,2,r2,0.0017
1,2027,location_merlin,mean,r2,0.1793
2,2027,location_merlin,0,r2,0.5006
2,2027,location_merlin,1,r2,0.2464
2,2027,location_merlin,2,r2,0.1465
2,2027,location_merlin,mean,r2,0.2978
3,2027,location_merlin,0,r2,0.5092
3,2027,location_merlin,1,r2,0.2752
3,2027,location_merlin,2,r2,0.1146
3,2027,location_merlin,mean,r2,0.2996
4,2027,location_merlin,0,r2,0.5424
4,2027,location_merlin,1,r2,0.3091
4,2027,location_merlin,2,r2,0.1839
4,2027,location_merlin,mean,r2,0.3451
5,2027,location_merlin,0,r2,0.6252
5,2027,location_merlin,1,r2,0.3618
5,2027,location_merlin,2,r2,0.188
5,2027,location_merlin,mean,r2,0.3916
6,2027,location_merlin,0,r2,0.6366
6,2027,location_merlin,1,r2,0.3629
6,2027,location_merlin,2,r2,0.1282
6,2027,location_merlin,mean,r2,0.3759
7,2027,location_merlin,0,r2,0.6414
7,2027,location_merlin,1,r2,0.3499
7,2027,location_merlin,2,r2,0.1676
7,2027,location_merlin,mean,r2,0.3863
8,2027,location_merlin,0,r2,0.6433
8,2027,location_merlin,1,r2,0.4126
8,2027,location_merlin,2,r2,0.21
8,2027,location_merlin,mean,r2,0.422
9,2027,location_merlin,0,r2,0.6456
9,2027,location_merlin,1,r2,0.4117
9,2027,location_merlin,2,r2,0.1409
9,2027,location_merlin,mean,r2,0.3994
10,2027,location_merlin,0,r2,0.6399
10,2027,location_merlin,1,r2,0.4513
10,2027,location_merlin,2,r2,0.1884
10,2027,location_merlin,mean,r2,0.4265
1,2028,location_merlin,0,r2,0.3293
1,2028,location_merlin,1,r2,0.2122
1,2028,location_merlin,2,r2,0.0834
1,2028,location_merlin,mean,r2,0.2083
2,2028,location_merlin,0,r2,0.5742
2,2028,location_merlin,1,r2,0.2903
2,2028,location_merlin,2,r2,0.1209
2,2028,location_merlin,mean,r2,0.3285
3,2028,location_merlin,0,r2,0.5681
3,2028,location_merlin,1,r2,0.3343
3,2028,location_merlin,2,r2,0.164
3,2028,location_merlin,mean,r2,0.3555
4,2028,location_merlin,0,r2,0.5717
4,2028,location_merlin,1,r2,0.3082
4,2028,location_merlin,2,r2,0.1776
4,2028,location_merlin,mean,r2,0.3525
5,2028,location_merlin,0,r2,0.6458
5,2028,location_merlin,1,r2,0.3741
5,2028,location_merlin,2,r2,0.1845
5,2028,location_merlin,mean,r2,0.4014
6,2028,location_merlin,0,r2,0.6473
6,2028,location_merlin,1,r2,0.3892
6,2028,location_merlin,2,r2,0.1871
6,2028,location_merlin,mean,r2,0.4079
7,2028,location_merlin,0,r2,0.6295
7,2028,location_merlin,1,r2,0.4182
7,2028,location_merlin,2,r2,0.1738
7,2028,location_merlin,mean,r2,0.4072
8,2028,location_merlin,0,r2,0.6696
8,2028,location_merlin,1,r2,0.4149
8,2028,location_merlin,2,r2,0.1547
8,2028,location_merlin,mean,r2,0.4131
9,2028,location_merlin,0,r2,0.6284
9,2028,location_merlin,1,r2,0.4444
9,2028,location_merlin,2,r2,0.1958
9,2028,location_merlin,mean,r2,0.4229
10,2028,location_merlin,0,r2,0.6722
10,2028,location_merlin,1,r2,0.3704
10,2028,location_merlin,2,r2,0.1738
10,2028,location_merlin,mean,r2,0.4055
