epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.2357
1,2026,density_merlin,1,r2,0.4237
1,2026,density_merlin,2,r2,0.0399
1,2026,density_merlin,mean,r2,0.2331
2,2026,density_merlin,0,r2,0.3023
2,2026,density_merlin,1,r2,0.5048
2,2026,density_merlin,2,r2,0.0696
2,2026,density_merlin,mean,r2,0.2922
3,2026,density_merlin,0,r2,0.3063
3,2026,density_merlin,1,r2,0.3565
3,2026,density_merlin,2,r2,0.1036
3,2026,density_merlin,mean,r2,0.2555
4,2026,density_merlin,0,r2,0.4363
4,2026,density_merlin,1,r2,0.6171
4,2026,density_merlin,2,r2,0.1154
4,2026,density_merlin,mean,r2,0.3896
5,2026,density_merlin,0,r2,0.4844
5,2026,density_merlin,1,r2,0.5813
5,2026,density_merlin,2,r2,0.1428
5,2026,density_merlin,mean,r2,0.4028
6,2026,density_merlin,0,r2,0.486
6,2026,density_merlin,1,r2,0.6305
6,2026,density_merlin,2,r2,0.0619
6,2026,density_merlin,mean,r2,0.3928
7,2026,density_merlin,0,r2,0.4373
7,2026,density_merlin,1,r2,0.604
7,2026,density_merlin,2,r2,0.2143
7,2026,density_merlin,mean,r2,0.4185
8,2026,density_merlin,0,r2,0.5535
8,2026,density_merlin,1,r2,0.6258
8,2026,density_merlin,2,r2,0.1977
8,2026,density_merlin,mean,r2,0.459
9,2026,density_merlin,0,r2,0.5924
9,2026,density_merlin,1,r2,0.6238
9,2026,density_merlin,2,r2,0.1414
9,2026,density_merlin,mean,r2,0.4525
10,2026,density_merlin,0,r2,0.5944
10,2026,density_merlin,1,r2,0.6479
10,2026,density_merlin,2,r2,0.286
10,2026,density_merlin,mean,r2,0.5094
1,2027,density_merlin,0,r2,0.0638
1,2027,density_merlin,1,r2,0.4411
1,2027,density_merlin,2,r2,0.0706
1,2027,density_merlin,mean,r2,0.1918
2,2027,density_merlin,0,r2,0.3344
2,2027,density_merlin,1,r2,0.4351
2,2027,density_merlin,2,r2,0.0806
2,2027,density_merlin,mean,r2,0.2834
3,2027,density_merlin,0,r2,0.4346
3,2027,density_merlin,1,r2,0.5997
3,2027,density_merlin,2,r2,0.0674
3,2027,density_merlin,mean,r2,0.3672
4,2027,density_merlin,0,r2,0.4786
4,2027,density_merlin,1,r2,0.5247
4,2027,density_merlin,2,r2,0.1643
4,2027,density_merlin,mean,r2,0.3892
5,2027,density_merlin,0,r2,0.4426
5,2027,density_merlin,1,r2,0.5931
5,2027,density_merlin,2,r2,0.1839
5,2027,density_merlin,mean,r2,0.4065
6,2027,density_merlin,0,r2,0.5169
6,2027,density_merlin,1,r2,0.6185
6,2027,density_merlin,2,r2,0.1846
6,2027,density_merlin,mean,r2,0.44
7,2027,density_merlin,0,r2,0.5529
7,2027,density_merlin,1,r2,0.6252
7,2027,density_merlin,2,r2,0.2386
7,2027,density_merlin,mean,r2,0.4722
8,2027,density_merlin,0,r2,0.5995
8,2027,density_merlin,1,r2,0.6221
8,2027,density_merlin,2,r2,0.1445
8,2027,density_merlin,mean,r2,0.4554
9,2027,density_merlin,0,r2,0.4289
9,2027,density_merlin,1,r2,0.6127
9,2027,density_merlin,2,r2,0.268
9,2027,density_merlin,mean,r2,0.4365
10,2027,density_merlin,0,r2,0.6064
10,2027,density_merlin,1,r2,0.6325
10,2027,density_merlin,2,r2,0.279
10,2027,density_merlin,mean,r2,0.5059
1,2028,density_merlin,0,r2,0.1791
1,2028,density_merlin,1,r2,0.3083
1,2028,density_merlin,2,r2,0.0472
1,2028,density_merlin,mean,r2,0.1782
2,2028,density_merlin,0,r2,0.2823
2,2028,density_merlin,1,r2,0.5599
2,2028,density_merlin,2,r2,0.1044
2,2028,density_merlin,mean,r2,0.3155
3,2028,density_merlin,0,r2,0.3654
3,2028,density_merlin,1,r2,0.5673
3,2028,density_merlin,2,r2,0.1062
3,2028,density_merlin,mean,r2,0.3463
4,2028,density_merlin,0,r2,0.4529
4,2028,density_merlin,1,r2,0.5911
4,2028,density_merlin,2,r2,0.1581
4,2028,density_merlin,mean,r2,0.4007
5,2028,density_merlin,0,r2,0.4121
5,2028,density_merlin,1,r2,0.5677
5,2028,density_merlin,2,r2,0.1612
5,2028,density_merlin,mean,r2,0.3803
6,2028,density_merlin,0,r2,0.5452
6,2028,density_merlin,1,r2,0.6411
6,2028,density_merlin,2,r2,0.2423
6,2028,density_merlin,mean,r2,0.4762
7,2028,density_merlin,0,r2,0.4507
7,2028,density_merlin,1,r2,0.6372
7,2028,density_merlin,2,r2,0.264
7,2028,density_merlin,mean,r2,0.4507
8,2028,density_merlin,0,r2,0.4807
8,2028,density_merlin,1,r2,0.6606
8,2028,density_merlin,2,r2,0.2894
8,2028,density_merlin,mean,r2,0.4769
9,2028,density_merlin,0,r2,0.463
9,2028,density_merlin,1,r2,0.6502
9,2028,density_merlin,2,r2,0.2508
9,2028,density_merlin,mean,r2,0.4547
10,2028,density_merlin,0,r2,0.5591
10,2028,density_merlin,1,r2,0.6482
10,2028,density_merlin,2,r2,0.2956
10,2028,density_merlin,mean,r2,0.501
