epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.015
1,2026,size_merlin,1,r2,0.0168
1,2026,size_merlin,2,r2,0.0622
1,2026,size_merlin,3,r2,0.1258
1,2026,size_merlin,4,r2,0.1173
1,2026,size_merlin,5,r2,0.02
1,2026,size_merlin,mean,r2,0.0595
2,2026,size_merlin,0,r2,0.0961
2,2026,size_merlin,1,r2,0.0749
2,2026,size_merlin,2,r2,0.1982
2,2026,size_merlin,3,r2,0.2258
2,2026,size_merlin,4,r2,0.2359
2,2026,size_merlin,5,r2,0.0549
2,2026,size_merlin,mean,r2,0.1476
3,2026,size_merlin,0,r2,0.1424
3,2026,size_merlin,1,r2,0.1112
3,2026,size_merlin,2,r2,0.2792
3,2026,size_merlin,3,r2,0.2782
3,2026,size_merlin,4,r2,0.2692
3,2026,size_merlin,5,r2,0.051
3,2026,size_merlin,mean,r2,0.1885
4,2026,size_merlin,0,r2,0.1665
4,2026,size_merlin,1,r2,0.1348
4,2026,size_merlin,2,r2,0.2804
4,2026,size_merlin,3,r2,0.2754
4,2026,size_merlin,4,r2,0.2355
4,2026,size_merlin,5,r2,0.0812
4,2026,size_merlin,mean,r2,0.1956
5,2026,size_merlin,0,r2,0.1885
5,2026,size_merlin,1,r2,0.1595
5,2026,size_merlin,2,r2,0.3126
5,2026,size_merlin,3,r2,0.2895
5,2026,size_merlin,4,r2,0.2665
5,2026,size_merlin,5,r2,0.0823
5,2026,size_merlin,mean,r2,0.2165
6,2026,size_merlin,0,r2,0.2378
6,2026,size_merlin,1,r2,0.1837
6,2026,size_merlin,2,r2,0.3098
6,2026,size_merlin,3,r2,0.28
6,2026,size_merlin,4,r2,0.3324
6,2026,size_merlin,5,r2,0.0955
6,2026,size_merlin,mean,r2,0.2399
7,2026,size_merlin,0,r2,0.2581
7,2026,size_merlin,1,r2,0.207
7,2026,size_merlin,2,r2,0.3126
7,2026,size_merlin,3,r2,0.323
7,2026,size_merlin,4,r2,0.3318
7,2026,size_merlin,5,r2,0.0946
7,2026,size_merlin,mean,r2,0.2545
8,2026,size_merlin,0,r2,0.228
8,2026,size_merlin,1,r2,0.1928
8,2026,size_merlin,2,r2,0.3113
8,2026,size_merlin,3,r2,0.3002
8,2026,size_merlin,4,r2,0.3021
8,2026,size_merlin,5,r2,0.0911
8,2026,size_merlin,mean,r2,0.2376
9,2026,size_merlin,0,r2,0.2831
9,2026,size_merlin,1,r2,0.2163
9,2026,size_merlin,2,r2,0.2723
9,2026,size_merlin,3,r2,0.2332
9,2026,size_merlin,4,r2,0.3416
9,2026,size_merlin,5,r2,0.0934
9,2026,size_merlin,mean,r2,0.24
10,2026,size_merlin,0,r2,0.2821
10,2026,size_merlin,1,r2,0.246
10,2026,size_merlin,2,r2,0.3835
10,2026,size_merlin,3,r2,0.3134
10,2026,size_merlin,4,r2,0.3178
10,2026,size_merlin,5,r2,0.1
10,2026,size_merlin,mean,r2,0.2738
1,2027,size_merlin,0,r2,0.0301
1,2027,size_merlin,1,r2,0.0317
1,2027,size_merlin,2,r2,0.0786
1,2027,size_merlin,3,r2,0.1221
1,2027,size_merlin,4,r2,0.2025
1,2027,size_merlin,5,r2,0.0544
1,2027,size_merlin,mean,r2,0.0866
2,2027,size_merlin,0,r2,0.1029
2,2027,size_merlin,1,r2,0.0901
2,2027,size_merlin,2,r2,0.1163
2,2027,size_merlin,3,r2,0.1048
2,2027,size_merlin,4,r2,0.3007
2,2027,size_merlin,5,r2,0.0916
2,2027,size_merlin,mean,r2,0.1344
3,2027,size_merlin,0,r2,0.1377
3,2027,size_merlin,1,r2,0.1045
3,2027,size_merlin,2,r2,0.3107
3,2027,size_merlin,3,r2,0.2962
3,2027,size_merlin,4,r2,0.3157
3,2027,size_merlin,5,r2,0.1044
3,2027,size_merlin,mean,r2,0.2115
4,2027,size_merlin,0,r2,0.2203
4,2027,size_merlin,1,r2,0.173
4,2027,size_merlin,2,r2,0.3451
4,2027,size_merlin,3,r2,0.3245
4,2027,size_merlin,4,r2,0.3393
4,2027,size_merlin,5,r2,0.1249
4,2027,size_merlin,mean,r2,0.2545
5,2027,size_merlin,0,r2,0.2448
