epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.8089
1,2026,density,1,r2,0.6512
1,2026,density,2,r2,0.9161
1,2026,density,3,r2,0.8871
1,2026,density,mean,r2,0.8158
2,2026,density,0,r2,0.8354
2,2026,density,1,r2,0.7542
2,2026,density,2,r2,0.9229
2,2026,density,3,r2,0.908
2,2026,density,mean,r2,0.8551
3,2026,density,0,r2,0.832
3,2026,density,1,r2,0.7839
3,2026,density,2,r2,0.9374
3,2026,density,3,r2,0.9214
3,2026,density,mean,r2,0.8687
4,2026,density,0,r2,0.8415
4,2026,density,1,r2,0.8455
4,2026,density,2,r2,0.9459
4,2026,density,3,r2,0.9242
4,2026,density,mean,r2,0.8893
5,2026,density,0,r2,0.8546
5,2026,density,1,r2,0.8633
5,2026,density,2,r2,0.954
5,2026,density,3,r2,0.928
5,2026,density,mean,r2,0.9
6,2026,density,0,r2,0.8479
6,2026,density,1,r2,0.8696
6,2026,density,2,r2,0.9568
6,2026,density,3,r2,0.9297
6,2026,density,mean,r2,0.901
7,2026,density,0,r2,0.8546
7,2026,density,1,r2,0.8796
7,2026,density,2,r2,0.9497
7,2026,density,3,r2,0.9313
7,2026,density,mean,r2,0.9038
8,2026,density,0,r2,0.8411
8,2026,density,1,r2,0.8792
8,2026,density,2,r2,0.9581
8,2026,density,3,r2,0.9323
8,2026,density,mean,r2,0.9027
9,2026,density,0,r2,0.8463
9,2026,density,1,r2,0.8936
9,2026,density,2,r2,0.9592
9,2026,density,3,r2,0.934
9,2026,density,mean,r2,0.9083
10,2026,density,0,r2,0.8461
10,2026,density,1,r2,0.9004
10,2026,density,2,r2,0.9546
10,2026,density,3,r2,0.9325
10,2026,density,mean,r2,0.9084
1,2027,density,0,r2,0.8086
1,2027,density,1,r2,0.6084
1,2027,density,2,r2,0.9154
1,2027,density,3,r2,0.9033
1,2027,density,mean,r2,0.8089
2,2027,density,0,r2,0.8232
2,2027,density,1,r2,0.7122
2,2027,density,2,r2,0.9393
2,2027,density,3,r2,0.9179
2,2027,density,mean,r2,0.8482
3,2027,density,0,r2,0.8379
3,2027,density,1,r2,0.8124
3,2027,density,2,r2,0.9464
3,2027,density,3,r2,0.9306
3,2027,density,mean,r2,0.8818
4,2027,density,0,r2,0.8434
4,2027,density,1,r2,0.838
4,2027,density,2,r2,0.9508
4,2027,density,3,r2,0.9345
4,2027,density,mean,r2,0.8917
5,2027,density,0,r2,0.841
5,2027,density,1,r2,0.8469
5,2027,density,2,r2,0.9542
5,2027,density,3,r2,0.9296
5,2027,density,mean,r2,0.893
6,2027,density,0,r2,0.8505
6,2027,density,1,r2,0.8478
6,2027,density,2,r2,0.9563
6,2027,density,3,r2,0.9381
6,2027,density,mean,r2,0.8982
7,2027,density,0,r2,0.8338
7,2027,density,1,r2,0.8542
7,2027,density,2,r2,0.9601
7,2027,density,3,r2,0.9356
7,2027,density,mean,r2,0.8959
8,2027,density,0,r2,0.8472
8,2027,density,1,r2,0.8595
8,2027,density,2,r2,0.957
8,2027,density,3,r2,0.933
8,2027,density,mean,r2,0.8992
9,2027,density,0,r2,0.8432
9,2027,density,1,r2,0.8788
9,2027,density,2,r2,0.9547
9,2027,density,3,r2,0.9404
9,2027,density,mean,r2,0.9043
10,2027,density,0,r2,0.8626
10,2027,density,1,r2,0.846
10,2027,density,2,r2,0.9644
10,2027,density,3,r2,0.9415
10,2027,density,mean,r2,0.9037
1,2028,density,0,r2,0.8056
1,2028,density,1,r2,0.6276
1,2028,density,2,r2,0.9313
1,2028,density,3,r2,0.9072
1,2028,density,mean,r2,0.8179
2,2028,density,0,r2,0.8178
2,2028,density,1,r2,0.7687
2,2028,density,2,r2,0.9464
2,2028,density,3,r2,0.9195
2,2028,density,mean,r2,0.8631
3,2028,density,0,r2,0.8291
3,2028,density,1,r2,0.8037
3,2028,density,2,r2,0.9436
3,2028,density,3,r2,0.9218
3,2028,density,mean,r2,0.8746
4,2028,density,0,r2,0.8266
4,2028,density,1,r2,0.8542
4,2028,density,2,r2,0.9531
4,2028,density,3,r2,0.9276
4,2028,density,mean,r2,0.8904
5,2028,density,0,r2,0.8512
5,2028,density,1,r2,0.8538
5,2028,density,2,r2,0.9549
5,2028,density,3,r2,0.9332
5,2028,density,mean,r2,0.8983
6,2028,density,0,r2,0.8402
6,2028,density,1,r2,0.8553
6,2028,density,2,r2,0.9597
6,2028,density,3,r2,0.9385
6,2028,density,mean,r2,0.8984
7,2028,density,0,r2,0.8422
7,2028,density,1,r2,0.8831
7,2028,density,2,r2,0.9581
7,2028,density,3,r2,0.9363
7,2028,density,mean,r2,0.9049
8,2028,density,0,r2,0.8439
8,2028,density,1,r2,0.8652
8,2028,density,2,r2,0.9605
8,2028,density,3,r2,0.9328
8,2028,density,mean,r2,0.9006
9,2028,density,0,r2,0.85
9,2028,density,1,r2,0.8943
9,2028,density,2,r2,0.96
9,2028,density,3,r2,0.9353
9,2028,density,mean,r2,0.9099
10,2028,density,0,r2,0.8522
10,2028,density,1,r2,0.8693
10,2028,density,2,r2,0.9504
10,2028,density,3,r2,0.9408
10,2028,density,mean,r2,0.9032
