epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.4908
1,2026,location,1,r2,0.291
1,2026,location,2,r2,0.3984
1,2026,location,mean,r2,0.3934
2,2026,location,0,r2,0.5668
2,2026,location,1,r2,0.4114
2,2026,location,2,r2,0.4363
2,2026,location,mean,r2,0.4715
3,2026,location,0,r2,0.6151
3,2026,location,1,r2,0.5002
3,2026,location,2,r2,0.4513
3,2026,location,mean,r2,0.5222
4,2026,location,0,r2,0.6543
4,2026,location,1,r2,0.546
4,2026,location,2,r2,0.4969
4,2026,location,mean,r2,0.5657
5,2026,location,0,r2,0.6918
5,2026,location,1,r2,0.6008
5,2026,location,2,r2,0.4849
5,2026,location,mean,r2,0.5925
6,2026,location,0,r2,0.6762
6,2026,location,1,r2,0.6435
6,2026,location,2,r2,0.4594
6,2026,location,mean,r2,0.593
7,2026,location,0,r2,0.7148
7,2026,location,1,r2,0.6384
7,2026,location,2,r2,0.5361
7,2026,location,mean,r2,0.6298
8,2026,location,0,r2,0.6893
8,2026,location,1,r2,0.6544
8,2026,location,2,r2,0.5672
8,2026,location,mean,r2,0.637
9,2026,location,0,r2,0.712
9,2026,location,1,r2,0.6472
9,2026,location,2,r2,0.5688
9,2026,location,mean,r2,0.6427
10,2026,location,0,r2,0.7295
10,2026,location,1,r2,0.675
10,2026,location,2,r2,0.5753
10,2026,location,mean,r2,0.6599
1,2027,location,0,r2,0.3118
1,2027,location,1,r2,0.309
1,2027,location,2,r2,0.3817
1,2027,location,mean,r2,0.3342
2,2027,location,0,r2,0.5714
2,2027,location,1,r2,0.4372
2,2027,location,2,r2,0.4078
2,2027,location,mean,r2,0.4721
3,2027,location,0,r2,0.6258
3,2027,location,1,r2,0.4981
3,2027,location,2,r2,0.4634
3,2027,location,mean,r2,0.5291
4,2027,location,0,r2,0.6439
4,2027,location,1,r2,0.4981
4,2027,location,2,r2,0.4676
4,2027,location,mean,r2,0.5365
5,2027,location,0,r2,0.6858
5,2027,location,1,r2,0.5662
5,2027,location,2,r2,0.4851
5,2027,location,mean,r2,0.579
6,2027,location,0,r2,0.6901
6,2027,location,1,r2,0.5452
6,2027,location,2,r2,0.5046
6,2027,location,mean,r2,0.58
7,2027,location,0,r2,0.6797
7,2027,location,1,r2,0.5812
7,2027,location,2,r2,0.5557
7,2027,location,mean,r2,0.6055
8,2027,location,0,r2,0.6839
8,2027,location,1,r2,0.5732
8,2027,location,2,r2,0.5752
8,2027,location,mean,r2,0.6108
9,2027,location,0,r2,0.7231
9,2027,location,1,r2,0.6058
9,2027,location,2,r2,0.5858
9,2027,location,mean,r2,0.6382
10,2027,location,0,r2,0.7077
10,2027,location,1,r2,0.6049
10,2027,location,2,r2,0.6153
10,2027,location,mean,r2,0.6426
1,2028,location,0,r2,0.4802
1,2028,location,1,r2,0.3747
1,2028,location,2,r2,0.4314
1,2028,location,mean,r2,0.4288
2,2028,location,0,r2,0.5847
2,2028,location,1,r2,0.4687
2,2028,location,2,r2,0.4718
2,2028,location,mean,r2,0.5084
3,2028,location,0,r2,0.674
3,2028,location,1,r2,0.5548
3,2028,location,2,r2,0.4855
3,2028,location,mean,r2,0.5714
4,2028,location,0,r2,0.6826
4,2028,location,1,r2,0.6022
4,2028,location,2,r2,0.5081
4,2028,location,mean,r2,0.5976
5,2028,location,0,r2,0.7193
5,2028,location,1,r2,0.6136
5,2028,location,2,r2,0.5265
5,2028,location,mean,r2,0.6198
6,2028,location,0,r2,0.7126
6,2028,location,1,r2,0.6274
6,2028,location,2,r2,0.5812
6,2028,location,mean,r2,0.6404
7,2028,location,0,r2,0.701
7,2028,location,1,r2,0.6512
7,2028,location,2,r2,0.5697
7,2028,location,mean,r2,0.6406
8,2028,location,0,r2,0.7214
8,2028,location,1,r2,0.6504
8,2028,location,2,r2,0.5467
8,2028,location,mean,r2,0.6395
9,2028,location,0,r2,0.7429
9,2028,location,1,r2,0.676
9,2028,location,2,r2,0.6037
9,2028,location,mean,r2,0.6742
10,2028,location,0,r2,0.7371
10,2028,location,1,r2,0.6719
10,2028,location,2,r2,0.5929
10,2028,location,mean,r2,0.6673
