epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8669
1,2026,size,1,r2,0.5469
1,2026,size,2,r2,0.5021
1,2026,size,3,r2,0.6348
1,2026,size,4,r2,0.723
1,2026,size,mean,r2,0.6547
2,2026,size,0,r2,0.8817
2,2026,size,1,r2,0.5659
2,2026,size,2,r2,0.5269
2,2026,size,3,r2,0.6332
2,2026,size,4,r2,0.7534
2,2026,size,mean,r2,0.6722
3,2026,size,0,r2,0.8787
3,2026,size,1,r2,0.5715
3,2026,size,2,r2,0.5079
3,2026,size,3,r2,0.64
3,2026,size,4,r2,0.7635
3,2026,size,mean,r2,0.6723
4,2026,size,0,r2,0.8934
4,2026,size,1,r2,0.5889
4,2026,size,2,r2,0.5238
4,2026,size,3,r2,0.6564
4,2026,size,4,r2,0.7668
4,2026,size,mean,r2,0.6859
5,2026,size,0,r2,0.8919
5,2026,size,1,r2,0.6066
5,2026,size,2,r2,0.5405
5,2026,size,3,r2,0.6482
5,2026,size,4,r2,0.784
5,2026,size,mean,r2,0.6943
6,2026,size,0,r2,0.8936
6,2026,size,1,r2,0.6023
6,2026,size,2,r2,0.5224
6,2026,size,3,r2,0.6476
6,2026,size,4,r2,0.7997
6,2026,size,mean,r2,0.6931
7,2026,size,0,r2,0.8855
7,2026,size,1,r2,0.5843
7,2026,size,2,r2,0.5328
7,2026,size,3,r2,0.6569
7,2026,size,4,r2,0.7824
7,2026,size,mean,r2,0.6884
8,2026,size,0,r2,0.8827
8,2026,size,1,r2,0.6186
8,2026,size,2,r2,0.5363
8,2026,size,3,r2,0.6569
8,2026,size,4,r2,0.7972
8,2026,size,mean,r2,0.6983
9,2026,size,0,r2,0.8977
9,2026,size,1,r2,0.6338
9,2026,size,2,r2,0.5524
9,2026,size,3,r2,0.6744
9,2026,size,4,r2,0.7991
9,2026,size,mean,r2,0.7115
10,2026,size,0,r2,0.8939
10,2026,size,1,r2,0.6201
10,2026,size,2,r2,0.5471
10,2026,size,3,r2,0.6684
10,2026,size,4,r2,0.7969
10,2026,size,mean,r2,0.7053
1,2027,size,0,r2,0.8636
1,2027,size,1,r2,0.5374
1,2027,size,2,r2,0.4667
1,2027,size,3,r2,0.644
1,2027,size,4,r2,0.7197
1,2027,size,mean,r2,0.6463
2,2027,size,0,r2,0.865
2,2027,size,1,r2,0.578
2,2027,size,2,r2,0.5084
2,2027,size,3,r2,0.6444
2,2027,size,4,r2,0.7722
2,2027,size,mean,r2,0.6736
3,2027,size,0,r2,0.8862
3,2027,size,1,r2,0.586
3,2027,size,2,r2,0.5169
3,2027,size,3,r2,0.6615
3,2027,size,4,r2,0.7828
3,2027,size,mean,r2,0.6867
4,2027,size,0,r2,0.8873
4,2027,size,1,r2,0.5975
4,2027,size,2,r2,0.538
4,2027,size,3,r2,0.6631
4,2027,size,4,r2,0.7891
4,2027,size,mean,r2,0.695
5,2027,size,0,r2,0.8872
5,2027,size,1,r2,0.6081
5,2027,size,2,r2,0.5438
5,2027,size,3,r2,0.6618
5,2027,size,4,r2,0.7856
5,2027,size,mean,r2,0.6973
6,2027,size,0,r2,0.8974
6,2027,size,1,r2,0.6084
6,2027,size,2,r2,0.5493
6,2027,size,3,r2,0.657
6,2027,size,4,r2,0.7941
6,2027,size,mean,r2,0.7012
7,2027,size,0,r2,0.8831
7,2027,size,1,r2,0.5778
7,2027,size,2,r2,0.5332
7,2027,size,3,r2,0.653
7,2027,size,4,r2,0.7994
7,2027,size,mean,r2,0.6893
8,2027,size,0,r2,0.8926
8,2027,size,1,r2,0.6089
8,2027,size,2,r2,0.5233
8,2027,size,3,r2,0.6507
8,2027,size,4,r2,0.7992
8,2027,size,mean,r2,0.695
9,2027,size,0,r2,0.8907
9,2027,size,1,r2,0.6065
9,2027,size,2,r2,0.5357
9,2027,size,3,r2,0.6686
9,2027,size,4,r2,0.7943
9,2027,size,mean,r2,0.6992
10,2027,size,0,r2,0.888
10,2027,size,1,r2,0.6149
10,2027,size,2,r2,0.538
10,2027,size,3,r2,0.6672
10,2027,size,4,r2,0.8014
10,2027,size,mean,r2,0.7019
1,2028,size,0,r2,0.8503
1,2028,size,1,r2,0.5335
1,2028,size,2,r2,0.5054
1,2028,size,3,r2,0.6326
1,2028,size,4,r2,0.7316
1,2028,size,mean,r2,0.6507
2,2028,size,0,r2,0.8763
2,2028,size,1,r2,0.5861
2,2028,size,2,r2,0.4461
2,2028,size,3,r2,0.6424
2,2028,size,4,r2,0.7643
2,2028,size,mean,r2,0.663
3,2028,size,0,r2,0.8798
3,2028,size,1,r2,0.5658
3,2028,size,2,r2,0.5217
3,2028,size,3,r2,0.6507
3,2028,size,4,r2,0.7538
3,2028,size,mean,r2,0.6744
4,2028,size,0,r2,0.8784
4,2028,size,1,r2,0.5955
4,2028,size,2,r2,0.5277
4,2028,size,3,r2,0.6514
4,2028,size,4,r2,0.7719
4,2028,size,mean,r2,0.685
5,2028,size,0,r2,0.8819
5,2028,size,1,r2,0.5969
5,2028,size,2,r2,0.5347
5,2028,size,3,r2,0.6331
5,2028,size,4,r2,0.7614
5,2028,size,mean,r2,0.6816
6,2028,size,0,r2,0.884
6,2028,size,1,r2,0.6023
6,2028,size,2,r2,0.5381
6,2028,size,3,r2,0.6544
6,2028,size,4,r2,0.7819
6,2028,size,mean,r2,0.6921
7,2028,size,0,r2,0.8853
7,2028,size,1,r2,0.6031
7,2028,size,2,r2,0.5316
7,2028,size,3,r2,0.6388
7,2028,size,4,r2,0.7834
7,2028,size,mean,r2,0.6884
8,2028,size,0,r2,0.8832
8,2028,size,1,r2,0.6118
8,2028,size,2,r2,0.5222
8,2028,size,3,r2,0.6537
8,2028,size,4,r2,0.7868
8,2028,size,mean,r2,0.6915
9,2028,size,0,r2,0.8721
9,2028,size,1,r2,0.6224
9,2028,size,2,r2,0.5424
9,2028,size,3,r2,0.6433
9,2028,size,4,r2,0.7826
9,2028,size,mean,r2,0.6926
10,2028,size,0,r2,0.8764
10,2028,size,1,r2,0.6176
10,2028,size,2,r2,0.5367
10,2028,size,3,r2,0.6487
10,2028,size,4,r2,0.7809
10,2028,size,mean,r2,0.692
