epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9241
1,2026,disease,Arterial wall calcification,auroc,0.9303
1,2026,disease,Cardiomegaly,auroc,0.929
1,2026,disease,Pericardial effusion,auroc,0.8522
1,2026,disease,Coronary artery wall calcification,auroc,0.9353
1,2026,disease,Hiatal hernia,auroc,0.708
1,2026,disease,Lymphadenopathy,auroc,0.7516
1,2026,disease,Emphysema,auroc,0.7999
1,2026,disease,Atelectasis,auroc,0.8149
1,2026,disease,Lung nodule,auroc,0.7387
1,2026,disease,Lung opacity,auroc,0.8705
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7414
1,2026,disease,Pleural effusion,auroc,0.9668
1,2026,disease,Mosaic attenuation pattern,auroc,0.8892
1,2026,disease,Peribronchial thickening,auroc,0.821
1,2026,disease,Consolidation,auroc,0.9207
1,2026,disease,Bronchiectasis,auroc,0.7956
1,2026,disease,Interlobular septal thickening,auroc,0.884
1,2026,disease,macro,auroc,0.8485
1,2026,disease,micro,auroc,0.855
2,2026,disease,Medical material,auroc,0.9281
2,2026,disease,Arterial wall calcification,auroc,0.9301
2,2026,disease,Cardiomegaly,auroc,0.9268
2,2026,disease,Pericardial effusion,auroc,0.8627
2,2026,disease,Coronary artery wall calcification,auroc,0.933
2,2026,disease,Hiatal hernia,auroc,0.703
2,2026,disease,Lymphadenopathy,auroc,0.7559
2,2026,disease,Emphysema,auroc,0.8001
2,2026,disease,Atelectasis,auroc,0.8119
2,2026,disease,Lung nodule,auroc,0.7334
2,2026,disease,Lung opacity,auroc,0.8699
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7484
2,2026,disease,Pleural effusion,auroc,0.9686
2,2026,disease,Mosaic attenuation pattern,auroc,0.8885
2,2026,disease,Peribronchial thickening,auroc,0.8188
2,2026,disease,Consolidation,auroc,0.9233
2,2026,disease,Bronchiectasis,auroc,0.8021
2,2026,disease,Interlobular septal thickening,auroc,0.8767
2,2026,disease,macro,auroc,0.849
2,2026,disease,micro,auroc,0.8582
3,2026,disease,Medical material,auroc,0.93
3,2026,disease,Arterial wall calcification,auroc,0.9303
3,2026,disease,Cardiomegaly,auroc,0.9284
3,2026,disease,Pericardial effusion,auroc,0.8489
3,2026,disease,Coronary artery wall calcification,auroc,0.9341
3,2026,disease,Hiatal hernia,auroc,0.7118
3,2026,disease,Lymphadenopathy,auroc,0.7563
3,2026,disease,Emphysema,auroc,0.7947
3,2026,disease,Atelectasis,auroc,0.8058
3,2026,disease,Lung nodule,auroc,0.7363
3,2026,disease,Lung opacity,auroc,0.8688
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7468
3,2026,disease,Pleural effusion,auroc,0.9653
3,2026,disease,Mosaic attenuation pattern,auroc,0.8877
3,2026,disease,Peribronchial thickening,auroc,0.8096
3,2026,disease,Consolidation,auroc,0.9252
3,2026,disease,Bronchiectasis,auroc,0.8014
3,2026,disease,Interlobular septal thickening,auroc,0.8788
3,2026,disease,macro,auroc,0.8478
3,2026,disease,micro,auroc,0.8586
4,2026,disease,Medical material,auroc,0.9323
4,2026,disease,Arterial wall calcification,auroc,0.931
4,2026,disease,Cardiomegaly,auroc,0.9309
4,2026,disease,Pericardial effusion,auroc,0.8601
4,2026,disease,Coronary artery wall calcification,auroc,0.9343
4,2026,disease,Hiatal hernia,auroc,0.7095
4,2026,disease,Lymphadenopathy,auroc,0.7542
4,2026,disease,Emphysema,auroc,0.8005
4,2026,disease,Atelectasis,auroc,0.8105
4,2026,disease,Lung nodule,auroc,0.7359
4,2026,disease,Lung opacity,auroc,0.8685
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7516
4,2026,disease,Pleural effusion,auroc,0.9671
4,2026,disease,Mosaic attenuation pattern,auroc,0.8886
4,2026,disease,Peribronchial thickening,auroc,0.8116
4,2026,disease,Consolidation,auroc,0.9226
4,2026,disease,Bronchiectasis,auroc,0.7975
4,2026,disease,Interlobular septal thickening,auroc,0.8821
4,2026,disease,macro,auroc,0.8494
4,2026,disease,micro,auroc,0.8587
5,2026,disease,Medical material,auroc,0.9313
5,2026,disease,Arterial wall calcification,auroc,0.9294
5,2026,disease,Cardiomegaly,auroc,0.9288
5,2026,disease,Pericardial effusion,auroc,0.8546
5,2026,disease,Coronary artery wall calcification,auroc,0.9346
5,2026,disease,Hiatal hernia,auroc,0.7102
5,2026,disease,Lymphadenopathy,auroc,0.7575
5,2026,disease,Emphysema,auroc,0.8037
5,2026,disease,Atelectasis,auroc,0.8129
5,2026,disease,Lung nodule,auroc,0.7297
5,2026,disease,Lung opacity,auroc,0.8709
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.7525
5,2026,disease,Pleural effusion,auroc,0.9678
5,2026,disease,Mosaic attenuation pattern,auroc,0.8874
5,2026,disease,Peribronchial thickening,auroc,0.8132
5,2026,disease,Consolidation,auroc,0.9235
5,2026,disease,Bronchiectasis,auroc,0.7991
5,2026,disease,Interlobular septal thickening,auroc,0.8731
5,2026,disease,macro,auroc,0.8489
5,2026,disease,micro,auroc,0.8543
6,2026,disease,Medical material,auroc,0.9271
6,2026,disease,Arterial wall calcification,auroc,0.93
6,2026,disease,Cardiomegaly,auroc,0.9289
6,2026,disease,Pericardial effusion,auroc,0.8569
6,2026,disease,Coronary artery wall calcification,auroc,0.932
6,2026,disease,Hiatal hernia,auroc,0.7123
6,2026,disease,Lymphadenopathy,auroc,0.7554
6,2026,disease,Emphysema,auroc,0.8132
6,2026,disease,Atelectasis,auroc,0.8166
6,2026,disease,Lung nodule,auroc,0.7354
6,2026,disease,Lung opacity,auroc,0.871
6,2026,disease,Pulmonary fibrotic sequela,auroc,0.7516
6,2026,disease,Pleural effusion,auroc,0.9667
6,2026,disease,Mosaic attenuation pattern,auroc,0.8882
6,2026,disease,Peribronchial thickening,auroc,0.8107
6,2026,disease,Consolidation,auroc,0.9227
6,2026,disease,Bronchiectasis,auroc,0.7996
6,2026,disease,Interlobular septal thickening,auroc,0.8772
6,2026,disease,macro,auroc,0.8498
6,2026,disease,micro,auroc,0.858
7,2026,disease,Medical material,auroc,0.9321
7,2026,disease,Arterial wall calcification,auroc,0.9301
7,2026,disease,Cardiomegaly,auroc,0.9302
7,2026,disease,Pericardial effusion,auroc,0.8555
7,2026,disease,Coronary artery wall calcification,auroc,0.934
7,2026,disease,Hiatal hernia,auroc,0.7147
7,2026,disease,Lymphadenopathy,auroc,0.7515
7,2026,disease,Emphysema,auroc,0.8132
7,2026,disease,Atelectasis,auroc,0.8184
7,2026,disease,Lung nodule,auroc,0.7402
7,2026,disease,Lung opacity,auroc,0.8684
7,2026,disease,Pulmonary fibrotic sequela,auroc,0.7485
7,2026,disease,Pleural effusion,auroc,0.9676
7,2026,disease,Mosaic attenuation pattern,auroc,0.8874
7,2026,disease,Peribronchial thickening,auroc,0.8126
7,2026,disease,Consolidation,auroc,0.9223
7,2026,disease,Bronchiectasis,auroc,0.8019
7,2026,disease,Interlobular septal thickening,auroc,0.8788
7,2026,disease,macro,auroc,0.8504
7,2026,disease,micro,auroc,0.8633
8,2026,disease,Medical material,auroc,0.9285
8,2026,disease,Arterial wall calcification,auroc,0.9314
8,2026,disease,Cardiomegaly,auroc,0.9323
8,2026,disease,Pericardial effusion,auroc,0.8546
8,2026,disease,Coronary artery wall calcification,auroc,0.9338
8,2026,disease,Hiatal hernia,auroc,0.712
8,2026,disease,Lymphadenopathy,auroc,0.7558
8,2026,disease,Emphysema,auroc,0.8117
8,2026,disease,Atelectasis,auroc,0.8111
8,2026,disease,Lung nodule,auroc,0.7291
8,2026,disease,Lung opacity,auroc,0.8688
8,2026,disease,Pulmonary fibrotic sequela,auroc,0.7507
8,2026,disease,Pleural effusion,auroc,0.9651
8,2026,disease,Mosaic attenuation pattern,auroc,0.8872
8,2026,disease,Peribronchial thickening,auroc,0.8108
8,2026,disease,Consolidation,auroc,0.9184
8,2026,disease,Bronchiectasis,auroc,0.8058
8,2026,disease,Interlobular septal thickening,auroc,0.8754
8,2026,disease,macro,auroc,0.849
8,2026,disease,micro,auroc,0.8623
9,2026,disease,Medical material,auroc,0.9307
9,2026,disease,Arterial wall calcification,auroc,0.9315
9,2026,disease,Cardiomegaly,auroc,0.9278
9,2026,disease,Pericardial effusion,auroc,0.8587
9,2026,disease,Coronary artery wall calcification,auroc,0.9332
9,2026,disease,Hiatal hernia,auroc,0.714
9,2026,disease,Lymphadenopathy,auroc,0.7532
9,2026,disease,Emphysema,auroc,0.8123
9,2026,disease,Atelectasis,auroc,0.8158
9,2026,disease,Lung nodule,auroc,0.7344
9,2026,disease,Lung opacity,auroc,0.8659
9,2026,disease,Pulmonary fibrotic sequela,auroc,0.7525
9,2026,disease,Pleural effusion,auroc,0.9656
9,2026,disease,Mosaic attenuation pattern,auroc,0.892
9,2026,disease,Peribronchial thickening,auroc,0.81
9,2026,disease,Consolidation,auroc,0.9214
9,2026,disease,Bronchiectasis,auroc,0.8074
9,2026,disease,Interlobular septal thickening,auroc,0.8807
9,2026,disease,macro,auroc,0.8504
9,2026,disease,micro,auroc,0.8581
10,2026,disease,Medical material,auroc,0.9343
10,2026,disease,Arterial wall calcification,auroc,0.9292
10,2026,disease,Cardiomegaly,auroc,0.9296
10,2026,disease,Pericardial effusion,auroc,0.8638
10,2026,disease,Coronary artery wall calcification,auroc,0.934
10,2026,disease,Hiatal hernia,auroc,0.7157
10,2026,disease,Lymphadenopathy,auroc,0.7575
10,2026,disease,Emphysema,auroc,0.8049
10,2026,disease,Atelectasis,auroc,0.8191
10,2026,disease,Lung nodule,auroc,0.7296
10,2026,disease,Lung opacity,auroc,0.866
10,2026,disease,Pulmonary fibrotic sequela,auroc,0.7523
10,2026,disease,Pleural effusion,auroc,0.9659
10,2026,disease,Mosaic attenuation pattern,auroc,0.8836
10,2026,disease,Peribronchial thickening,auroc,0.8139
