epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.9057
1,2026,radiomics,1,r2,0.2627
1,2026,radiomics,2,r2,0.8538
1,2026,radiomics,mean,r2,0.6741
2,2026,radiomics,0,r2,0.9079
2,2026,radiomics,1,r2,0.3056
2,2026,radiomics,2,r2,0.8752
2,2026,radiomics,mean,r2,0.6962
3,2026,radiomics,0,r2,0.9239
3,2026,radiomics,1,r2,0.3606
3,2026,radiomics,2,r2,0.8673
3,2026,radiomics,mean,r2,0.7173
4,2026,radiomics,0,r2,0.9242
4,2026,radiomics,1,r2,0.4821
4,2026,radiomics,2,r2,0.8795
4,2026,radiomics,mean,r2,0.7619
5,2026,radiomics,0,r2,0.9305
5,2026,radiomics,1,r2,0.492
5,2026,radiomics,2,r2,0.8877
5,2026,radiomics,mean,r2,0.7701
6,2026,radiomics,0,r2,0.9296
6,2026,radiomics,1,r2,0.4071
6,2026,radiomics,2,r2,0.8795
6,2026,radiomics,mean,r2,0.7387
7,2026,radiomics,0,r2,0.9345
7,2026,radiomics,1,r2,0.4287
7,2026,radiomics,2,r2,0.896
7,2026,radiomics,mean,r2,0.7531
8,2026,radiomics,0,r2,0.9254
8,2026,radiomics,1,r2,0.5279
8,2026,radiomics,2,r2,0.9004
8,2026,radiomics,mean,r2,0.7846
9,2026,radiomics,0,r2,0.9355
9,2026,radiomics,1,r2,0.4806
9,2026,radiomics,2,r2,0.9053
9,2026,radiomics,mean,r2,0.7738
10,2026,radiomics,0,r2,0.9188
10,2026,radiomics,1,r2,0.4464
10,2026,radiomics,2,r2,0.8964
10,2026,radiomics,mean,r2,0.7539
1,2027,radiomics,0,r2,0.91
1,2027,radiomics,1,r2,0.2106
1,2027,radiomics,2,r2,0.8411
1,2027,radiomics,mean,r2,0.6539
2,2027,radiomics,0,r2,0.9217
2,2027,radiomics,1,r2,0.3244
2,2027,radiomics,2,r2,0.8788
2,2027,radiomics,mean,r2,0.7083
3,2027,radiomics,0,r2,0.9196
3,2027,radiomics,1,r2,0.3684
3,2027,radiomics,2,r2,0.8808
3,2027,radiomics,mean,r2,0.7229
4,2027,radiomics,0,r2,0.932
4,2027,radiomics,1,r2,0.3881
4,2027,radiomics,2,r2,0.8665
4,2027,radiomics,mean,r2,0.7289
5,2027,radiomics,0,r2,0.9299
5,2027,radiomics,1,r2,0.4321
5,2027,radiomics,2,r2,0.8862
5,2027,radiomics,mean,r2,0.7494
6,2027,radiomics,0,r2,0.9303
6,2027,radiomics,1,r2,0.4374
6,2027,radiomics,2,r2,0.8853
6,2027,radiomics,mean,r2,0.751
7,2027,radiomics,0,r2,0.9242
7,2027,radiomics,1,r2,0.3994
7,2027,radiomics,2,r2,0.888
7,2027,radiomics,mean,r2,0.7372
8,2027,radiomics,0,r2,0.9312
8,2027,radiomics,1,r2,0.4603
8,2027,radiomics,2,r2,0.8896
8,2027,radiomics,mean,r2,0.7604
9,2027,radiomics,0,r2,0.9288
9,2027,radiomics,1,r2,0.4881
9,2027,radiomics,2,r2,0.8816
9,2027,radiomics,mean,r2,0.7662
10,2027,radiomics,0,r2,0.9271
10,2027,radiomics,1,r2,0.4396
10,2027,radiomics,2,r2,0.8964
10,2027,radiomics,mean,r2,0.7544
1,2028,radiomics,0,r2,0.9057
1,2028,radiomics,1,r2,0.223
1,2028,radiomics,2,r2,0.8587
1,2028,radiomics,mean,r2,0.6625
2,2028,radiomics,0,r2,0.927
2,2028,radiomics,1,r2,0.2779
2,2028,radiomics,2,r2,0.8809
2,2028,radiomics,mean,r2,0.6953
3,2028,radiomics,0,r2,0.927
3,2028,radiomics,1,r2,0.3552
3,2028,radiomics,2,r2,0.8864
3,2028,radiomics,mean,r2,0.7229
4,2028,radiomics,0,r2,0.9276
4,2028,radiomics,1,r2,0.3841
4,2028,radiomics,2,r2,0.8852
4,2028,radiomics,mean,r2,0.7323
5,2028,radiomics,0,r2,0.9301
5,2028,radiomics,1,r2,0.3946
5,2028,radiomics,2,r2,0.8903
5,2028,radiomics,mean,r2,0.7384
6,2028,radiomics,0,r2,0.9338
6,2028,radiomics,1,r2,0.4346
6,2028,radiomics,2,r2,0.8936
6,2028,radiomics,mean,r2,0.754
7,2028,radiomics,0,r2,0.9288
7,2028,radiomics,1,r2,0.4792
7,2028,radiomics,2,r2,0.8854
7,2028,radiomics,mean,r2,0.7645
8,2028,radiomics,0,r2,0.9218
8,2028,radiomics,1,r2,0.5183
8,2028,radiomics,2,r2,0.893
8,2028,radiomics,mean,r2,0.7777
9,2028,radiomics,0,r2,0.9313
9,2028,radiomics,1,r2,0.535
9,2028,radiomics,2,r2,0.8886
9,2028,radiomics,mean,r2,0.785
10,2028,radiomics,0,r2,0.9365
10,2028,radiomics,1,r2,0.5237
10,2028,radiomics,2,r2,0.9031
10,2028,radiomics,mean,r2,0.7878
