epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.5232
1,2026,size_merlin,1,r2,0.463
1,2026,size_merlin,2,r2,0.1495
1,2026,size_merlin,3,r2,0.1733
1,2026,size_merlin,4,r2,0.321
1,2026,size_merlin,5,r2,0.1189
1,2026,size_merlin,mean,r2,0.2915
2,2026,size_merlin,0,r2,0.7073
2,2026,size_merlin,1,r2,0.6196
2,2026,size_merlin,2,r2,0.3041
2,2026,size_merlin,3,r2,0.3281
2,2026,size_merlin,4,r2,0.4059
2,2026,size_merlin,5,r2,0.1651
2,2026,size_merlin,mean,r2,0.4217
3,2026,size_merlin,0,r2,0.7518
3,2026,size_merlin,1,r2,0.6792
3,2026,size_merlin,2,r2,0.3709
3,2026,size_merlin,3,r2,0.4157
3,2026,size_merlin,4,r2,0.4537
3,2026,size_merlin,5,r2,0.2107
3,2026,size_merlin,mean,r2,0.4803
4,2026,size_merlin,0,r2,0.7507
4,2026,size_merlin,1,r2,0.6726
4,2026,size_merlin,2,r2,0.4321
4,2026,size_merlin,3,r2,0.4603
4,2026,size_merlin,4,r2,0.4124
4,2026,size_merlin,5,r2,0.1358
4,2026,size_merlin,mean,r2,0.4773
5,2026,size_merlin,0,r2,0.7422
5,2026,size_merlin,1,r2,0.6647
5,2026,size_merlin,2,r2,0.4801
5,2026,size_merlin,3,r2,0.4981
5,2026,size_merlin,4,r2,0.4904
5,2026,size_merlin,5,r2,0.2653
5,2026,size_merlin,mean,r2,0.5235
6,2026,size_merlin,0,r2,0.7628
6,2026,size_merlin,1,r2,0.6782
6,2026,size_merlin,2,r2,0.4602
6,2026,size_merlin,3,r2,0.4929
6,2026,size_merlin,4,r2,0.4221
6,2026,size_merlin,5,r2,0.2193
6,2026,size_merlin,mean,r2,0.5059
7,2026,size_merlin,0,r2,0.8146
7,2026,size_merlin,1,r2,0.7277
7,2026,size_merlin,2,r2,0.53
7,2026,size_merlin,3,r2,0.5382
7,2026,size_merlin,4,r2,0.5402
7,2026,size_merlin,5,r2,0.3093
7,2026,size_merlin,mean,r2,0.5767
8,2026,size_merlin,0,r2,0.8205
8,2026,size_merlin,1,r2,0.7313
8,2026,size_merlin,2,r2,0.5467
8,2026,size_merlin,3,r2,0.5632
8,2026,size_merlin,4,r2,0.5436
8,2026,size_merlin,5,r2,0.321
8,2026,size_merlin,mean,r2,0.5877
9,2026,size_merlin,0,r2,0.8274
9,2026,size_merlin,1,r2,0.7364
9,2026,size_merlin,2,r2,0.5581
9,2026,size_merlin,3,r2,0.5351
9,2026,size_merlin,4,r2,0.5556
9,2026,size_merlin,5,r2,0.3244
9,2026,size_merlin,mean,r2,0.5895
10,2026,size_merlin,0,r2,0.7733
10,2026,size_merlin,1,r2,0.677
10,2026,size_merlin,2,r2,0.5607
10,2026,size_merlin,3,r2,0.5445
10,2026,size_merlin,4,r2,0.5505
10,2026,size_merlin,5,r2,0.3168
10,2026,size_merlin,mean,r2,0.5705
1,2027,size_merlin,0,r2,0.5065
1,2027,size_merlin,1,r2,0.4507
1,2027,size_merlin,2,r2,0.1867
1,2027,size_merlin,3,r2,0.2102
1,2027,size_merlin,4,r2,0.336
1,2027,size_merlin,5,r2,0.1148
1,2027,size_merlin,mean,r2,0.3008
2,2027,size_merlin,0,r2,0.7034
2,2027,size_merlin,1,r2,0.6167
2,2027,size_merlin,2,r2,0.3581
2,2027,size_merlin,3,r2,0.3553
2,2027,size_merlin,4,r2,0.4151
2,2027,size_merlin,5,r2,0.1669
2,2027,size_merlin,mean,r2,0.4359
3,2027,size_merlin,0,r2,0.7745
3,2027,size_merlin,1,r2,0.6762
3,2027,size_merlin,2,r2,0.4423
3,2027,size_merlin,3,r2,0.4448
3,2027,size_merlin,4,r2,0.4429
3,2027,size_merlin,5,r2,0.2131
3,2027,size_merlin,mean,r2,0.499
4,2027,size_merlin,0,r2,0.7885
4,2027,size_merlin,1,r2,0.7005
4,2027,size_merlin,2,r2,0.4804
4,2027,size_merlin,3,r2,0.3776
4,2027,size_merlin,4,r2,0.3081
4,2027,size_merlin,5,r2,0.1832
4,2027,size_merlin,mean,r2,0.473
5,2027,size_merlin,0,r2,0.7855
5,2027,size_merlin,1,r2,0.7073
5,2027,size_merlin,2,r2,0.493
5,2027,size_merlin,3,r2,0.5033
5,2027,size_merlin,4,r2,0.5073
5,2027,size_merlin,5,r2,0.2427
5,2027,size_merlin,mean,r2,0.5399
6,2027,size_merlin,0,r2,0.8174
6,2027,size_merlin,1,r2,0.7283
6,2027,size_merlin,2,r2,0.5021
6,2027,size_merlin,3,r2,0.473
6,2027,size_merlin,4,r2,0.4935
6,2027,size_merlin,5,r2,0.2394
6,2027,size_merlin,mean,r2,0.5423
7,2027,size_merlin,0,r2,0.8229
7,2027,size_merlin,1,r2,0.7311
7,2027,size_merlin,2,r2,0.4598
7,2027,size_merlin,3,r2,0.4926
7,2027,size_merlin,4,r2,0.543
7,2027,size_merlin,5,r2,0.3114
7,2027,size_merlin,mean,r2,0.5601
8,2027,size_merlin,0,r2,0.7904
8,2027,size_merlin,1,r2,0.7136
8,2027,size_merlin,2,r2,0.4869
8,2027,size_merlin,3,r2,0.5465
8,2027,size_merlin,4,r2,0.4499
8,2027,size_merlin,5,r2,0.2705
8,2027,size_merlin,mean,r2,0.543
9,2027,size_merlin,0,r2,0.8259
9,2027,size_merlin,1,r2,0.7169
9,2027,size_merlin,2,r2,0.5625
9,2027,size_merlin,3,r2,0.5188
