epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.309
1,2026,density_merlin,1,r2,0.7269
1,2026,density_merlin,2,r2,0.0485
1,2026,density_merlin,mean,r2,0.3615
2,2026,density_merlin,0,r2,0.5778
2,2026,density_merlin,1,r2,0.7719
2,2026,density_merlin,2,r2,0.1039
2,2026,density_merlin,mean,r2,0.4845
3,2026,density_merlin,0,r2,0.6339
3,2026,density_merlin,1,r2,0.7721
3,2026,density_merlin,2,r2,0.4342
3,2026,density_merlin,mean,r2,0.6134
4,2026,density_merlin,0,r2,0.6991
4,2026,density_merlin,1,r2,0.8107
4,2026,density_merlin,2,r2,0.5442
4,2026,density_merlin,mean,r2,0.6847
5,2026,density_merlin,0,r2,0.7107
5,2026,density_merlin,1,r2,0.8058
5,2026,density_merlin,2,r2,0.568
5,2026,density_merlin,mean,r2,0.6948
6,2026,density_merlin,0,r2,0.7283
6,2026,density_merlin,1,r2,0.8012
6,2026,density_merlin,2,r2,0.5683
6,2026,density_merlin,mean,r2,0.6993
7,2026,density_merlin,0,r2,0.7445
7,2026,density_merlin,1,r2,0.8212
7,2026,density_merlin,2,r2,0.6056
7,2026,density_merlin,mean,r2,0.7238
8,2026,density_merlin,0,r2,0.7519
8,2026,density_merlin,1,r2,0.827
8,2026,density_merlin,2,r2,0.5963
8,2026,density_merlin,mean,r2,0.7251
9,2026,density_merlin,0,r2,0.7611
9,2026,density_merlin,1,r2,0.8241
9,2026,density_merlin,2,r2,0.6128
9,2026,density_merlin,mean,r2,0.7327
10,2026,density_merlin,0,r2,0.6882
10,2026,density_merlin,1,r2,0.8327
10,2026,density_merlin,2,r2,0.6268
10,2026,density_merlin,mean,r2,0.7159
1,2027,density_merlin,0,r2,0.275
1,2027,density_merlin,1,r2,0.6581
1,2027,density_merlin,2,r2,0.0688
1,2027,density_merlin,mean,r2,0.334
2,2027,density_merlin,0,r2,0.564
2,2027,density_merlin,1,r2,0.7563
2,2027,density_merlin,2,r2,0.1372
2,2027,density_merlin,mean,r2,0.4858
3,2027,density_merlin,0,r2,0.6059
3,2027,density_merlin,1,r2,0.6578
3,2027,density_merlin,2,r2,0.3994
3,2027,density_merlin,mean,r2,0.5544
4,2027,density_merlin,0,r2,0.6555
4,2027,density_merlin,1,r2,0.811
4,2027,density_merlin,2,r2,0.4872
4,2027,density_merlin,mean,r2,0.6513
5,2027,density_merlin,0,r2,0.6587
5,2027,density_merlin,1,r2,0.8092
5,2027,density_merlin,2,r2,0.5288
5,2027,density_merlin,mean,r2,0.6656
6,2027,density_merlin,0,r2,0.7219
6,2027,density_merlin,1,r2,0.8293
6,2027,density_merlin,2,r2,0.5777
6,2027,density_merlin,mean,r2,0.7096
7,2027,density_merlin,0,r2,0.7003
7,2027,density_merlin,1,r2,0.8087
7,2027,density_merlin,2,r2,0.5975
7,2027,density_merlin,mean,r2,0.7022
8,2027,density_merlin,0,r2,0.7286
8,2027,density_merlin,1,r2,0.835
8,2027,density_merlin,2,r2,0.538
8,2027,density_merlin,mean,r2,0.7005
9,2027,density_merlin,0,r2,0.7486
9,2027,density_merlin,1,r2,0.8403
9,2027,density_merlin,2,r2,0.5916
9,2027,density_merlin,mean,r2,0.7269
10,2027,density_merlin,0,r2,0.7516
10,2027,density_merlin,1,r2,0.8188
10,2027,density_merlin,2,r2,0.6046
10,2027,density_merlin,mean,r2,0.725
1,2028,density_merlin,0,r2,0.251
1,2028,density_merlin,1,r2,0.6052
1,2028,density_merlin,2,r2,0.0261
1,2028,density_merlin,mean,r2,0.2941
2,2028,density_merlin,0,r2,0.4533
2,2028,density_merlin,1,r2,0.7094
2,2028,density_merlin,2,r2,0.0261
2,2028,density_merlin,mean,r2,0.3962
3,2028,density_merlin,0,r2,0.6338
3,2028,density_merlin,1,r2,0.742
3,2028,density_merlin,2,r2,0.0364
3,2028,density_merlin,mean,r2,0.4707
4,2028,density_merlin,0,r2,0.5884
4,2028,density_merlin,1,r2,0.7744
4,2028,density_merlin,2,r2,0.0492
4,2028,density_merlin,mean,r2,0.4707
5,2028,density_merlin,0,r2,0.6945
5,2028,density_merlin,1,r2,0.7945
5,2028,density_merlin,2,r2,0.0605
5,2028,density_merlin,mean,r2,0.5165
6,2028,density_merlin,0,r2,0.6906
6,2028,density_merlin,1,r2,0.8111
6,2028,density_merlin,2,r2,0.0894
6,2028,density_merlin,mean,r2,0.5304
7,2028,density_merlin,0,r2,0.6472
7,2028,density_merlin,1,r2,0.8036
7,2028,density_merlin,2,r2,0.1249
7,2028,density_merlin,mean,r2,0.5252
8,2028,density_merlin,0,r2,0.719
8,2028,density_merlin,1,r2,0.8063
8,2028,density_merlin,2,r2,0.2094
8,2028,density_merlin,mean,r2,0.5782
9,2028,density_merlin,0,r2,0.7002
9,2028,density_merlin,1,r2,0.8144
9,2028,density_merlin,2,r2,0.2874
9,2028,density_merlin,mean,r2,0.6007
10,2028,density_merlin,0,r2,0.7466
10,2028,density_merlin,1,r2,0.8122
10,2028,density_merlin,2,r2,0.3863
10,2028,density_merlin,mean,r2,0.6483
