epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.3135
1,2026,location_merlin,1,r2,0.1406
1,2026,location_merlin,2,r2,0.2162
1,2026,location_merlin,mean,r2,0.2235
2,2026,location_merlin,0,r2,0.3605
2,2026,location_merlin,1,r2,0.2126
2,2026,location_merlin,2,r2,0.2203
2,2026,location_merlin,mean,r2,0.2645
3,2026,location_merlin,0,r2,0.4863
3,2026,location_merlin,1,r2,0.2398
3,2026,location_merlin,2,r2,0.2562
3,2026,location_merlin,mean,r2,0.3274
4,2026,location_merlin,0,r2,0.5163
4,2026,location_merlin,1,r2,0.2586
4,2026,location_merlin,2,r2,0.2576
4,2026,location_merlin,mean,r2,0.3442
5,2026,location_merlin,0,r2,0.5429
5,2026,location_merlin,1,r2,0.2656
5,2026,location_merlin,2,r2,0.2748
5,2026,location_merlin,mean,r2,0.3611
6,2026,location_merlin,0,r2,0.5306
6,2026,location_merlin,1,r2,0.2617
6,2026,location_merlin,2,r2,0.255
6,2026,location_merlin,mean,r2,0.3491
7,2026,location_merlin,0,r2,0.4966
7,2026,location_merlin,1,r2,0.2894
7,2026,location_merlin,2,r2,0.2915
7,2026,location_merlin,mean,r2,0.3592
8,2026,location_merlin,0,r2,0.5294
8,2026,location_merlin,1,r2,0.3077
8,2026,location_merlin,2,r2,0.2937
8,2026,location_merlin,mean,r2,0.3769
9,2026,location_merlin,0,r2,0.5619
9,2026,location_merlin,1,r2,0.2904
9,2026,location_merlin,2,r2,0.309
9,2026,location_merlin,mean,r2,0.3871
10,2026,location_merlin,0,r2,0.5781
10,2026,location_merlin,1,r2,0.3351
10,2026,location_merlin,2,r2,0.2222
10,2026,location_merlin,mean,r2,0.3785
1,2027,location_merlin,0,r2,0.277
1,2027,location_merlin,1,r2,0.1173
1,2027,location_merlin,2,r2,0.1774
1,2027,location_merlin,mean,r2,0.1906
2,2027,location_merlin,0,r2,0.4356
2,2027,location_merlin,1,r2,0.1534
2,2027,location_merlin,2,r2,0.2144
2,2027,location_merlin,mean,r2,0.2678
3,2027,location_merlin,0,r2,0.3683
3,2027,location_merlin,1,r2,0.2295
3,2027,location_merlin,2,r2,0.2247
3,2027,location_merlin,mean,r2,0.2742
4,2027,location_merlin,0,r2,0.5123
4,2027,location_merlin,1,r2,0.258
4,2027,location_merlin,2,r2,0.2461
4,2027,location_merlin,mean,r2,0.3388
5,2027,location_merlin,0,r2,0.4835
5,2027,location_merlin,1,r2,0.2437
5,2027,location_merlin,2,r2,0.2754
5,2027,location_merlin,mean,r2,0.3342
6,2027,location_merlin,0,r2,0.5441
6,2027,location_merlin,1,r2,0.276
6,2027,location_merlin,2,r2,0.2567
6,2027,location_merlin,mean,r2,0.3589
7,2027,location_merlin,0,r2,0.5276
7,2027,location_merlin,1,r2,0.295
7,2027,location_merlin,2,r2,0.2886
7,2027,location_merlin,mean,r2,0.3704
8,2027,location_merlin,0,r2,0.5649
8,2027,location_merlin,1,r2,0.3065
8,2027,location_merlin,2,r2,0.2314
8,2027,location_merlin,mean,r2,0.3676
9,2027,location_merlin,0,r2,0.539
9,2027,location_merlin,1,r2,0.3248
9,2027,location_merlin,2,r2,0.2451
9,2027,location_merlin,mean,r2,0.3696
10,2027,location_merlin,0,r2,0.5527
10,2027,location_merlin,1,r2,0.3289
10,2027,location_merlin,2,r2,0.2705
10,2027,location_merlin,mean,r2,0.384
1,2028,location_merlin,0,r2,0.3144
1,2028,location_merlin,1,r2,0.1543
1,2028,location_merlin,2,r2,0.2212
1,2028,location_merlin,mean,r2,0.23
2,2028,location_merlin,0,r2,0.3648
2,2028,location_merlin,1,r2,0.1875
2,2028,location_merlin,2,r2,0.2478
2,2028,location_merlin,mean,r2,0.2667
3,2028,location_merlin,0,r2,0.4779
3,2028,location_merlin,1,r2,0.2048
3,2028,location_merlin,2,r2,0.2173
3,2028,location_merlin,mean,r2,0.3
4,2028,location_merlin,0,r2,0.5085
4,2028,location_merlin,1,r2,0.2637
4,2028,location_merlin,2,r2,0.2787
4,2028,location_merlin,mean,r2,0.3503
5,2028,location_merlin,0,r2,0.48
5,2028,location_merlin,1,r2,0.1974
5,2028,location_merlin,2,r2,0.2774
5,2028,location_merlin,mean,r2,0.3183
6,2028,location_merlin,0,r2,0.5377
6,2028,location_merlin,1,r2,0.2741
6,2028,location_merlin,2,r2,0.2922
6,2028,location_merlin,mean,r2,0.368
7,2028,location_merlin,0,r2,0.5284
7,2028,location_merlin,1,r2,0.3053
7,2028,location_merlin,2,r2,0.2986
7,2028,location_merlin,mean,r2,0.3774
8,2028,location_merlin,0,r2,0.5558
8,2028,location_merlin,1,r2,0.2997
8,2028,location_merlin,2,r2,0.3044
8,2028,location_merlin,mean,r2,0.3866
9,2028,location_merlin,0,r2,0.5409
9,2028,location_merlin,1,r2,0.293
9,2028,location_merlin,2,r2,0.3097
9,2028,location_merlin,mean,r2,0.3812
10,2028,location_merlin,0,r2,0.5473
10,2028,location_merlin,1,r2,0.317
10,2028,location_merlin,2,r2,0.3132
10,2028,location_merlin,mean,r2,0.3925
