epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.4734
1,2026,size_merlin,1,r2,0.4012
1,2026,size_merlin,2,r2,0.2008
1,2026,size_merlin,3,r2,0.2543
1,2026,size_merlin,4,r2,0.3508
1,2026,size_merlin,5,r2,0.1465
1,2026,size_merlin,mean,r2,0.3045
2,2026,size_merlin,0,r2,0.709
2,2026,size_merlin,1,r2,0.6119
2,2026,size_merlin,2,r2,0.3465
2,2026,size_merlin,3,r2,0.3546
2,2026,size_merlin,4,r2,0.3657
2,2026,size_merlin,5,r2,0.1742
2,2026,size_merlin,mean,r2,0.427
3,2026,size_merlin,0,r2,0.7607
3,2026,size_merlin,1,r2,0.6898
3,2026,size_merlin,2,r2,0.3854
3,2026,size_merlin,3,r2,0.4064
3,2026,size_merlin,4,r2,0.3675
3,2026,size_merlin,5,r2,0.1911
3,2026,size_merlin,mean,r2,0.4668
4,2026,size_merlin,0,r2,0.7888
4,2026,size_merlin,1,r2,0.716
4,2026,size_merlin,2,r2,0.4109
4,2026,size_merlin,3,r2,0.4227
4,2026,size_merlin,4,r2,0.4541
4,2026,size_merlin,5,r2,0.21
4,2026,size_merlin,mean,r2,0.5004
5,2026,size_merlin,0,r2,0.7738
5,2026,size_merlin,1,r2,0.7061
5,2026,size_merlin,2,r2,0.4655
5,2026,size_merlin,3,r2,0.4508
5,2026,size_merlin,4,r2,0.49
5,2026,size_merlin,5,r2,0.2318
5,2026,size_merlin,mean,r2,0.5197
6,2026,size_merlin,0,r2,0.7929
6,2026,size_merlin,1,r2,0.72
6,2026,size_merlin,2,r2,0.4498
6,2026,size_merlin,3,r2,0.48
6,2026,size_merlin,4,r2,0.4877
6,2026,size_merlin,5,r2,0.1887
6,2026,size_merlin,mean,r2,0.5199
7,2026,size_merlin,0,r2,0.7884
7,2026,size_merlin,1,r2,0.6907
7,2026,size_merlin,2,r2,0.479
7,2026,size_merlin,3,r2,0.408
7,2026,size_merlin,4,r2,0.4928
7,2026,size_merlin,5,r2,0.2392
7,2026,size_merlin,mean,r2,0.5164
8,2026,size_merlin,0,r2,0.81
8,2026,size_merlin,1,r2,0.724
8,2026,size_merlin,2,r2,0.4836
8,2026,size_merlin,3,r2,0.4826
8,2026,size_merlin,4,r2,0.5004
8,2026,size_merlin,5,r2,0.2689
8,2026,size_merlin,mean,r2,0.5449
9,2026,size_merlin,0,r2,0.7976
9,2026,size_merlin,1,r2,0.7184
9,2026,size_merlin,2,r2,0.4814
9,2026,size_merlin,3,r2,0.4737
9,2026,size_merlin,4,r2,0.5277
9,2026,size_merlin,5,r2,0.271
9,2026,size_merlin,mean,r2,0.545
10,2026,size_merlin,0,r2,0.7862
10,2026,size_merlin,1,r2,0.706
10,2026,size_merlin,2,r2,0.5086
10,2026,size_merlin,3,r2,0.4953
10,2026,size_merlin,4,r2,0.5258
10,2026,size_merlin,5,r2,0.2723
10,2026,size_merlin,mean,r2,0.549
1,2027,size_merlin,0,r2,0.5684
1,2027,size_merlin,1,r2,0.5274
1,2027,size_merlin,2,r2,0.2322
1,2027,size_merlin,3,r2,0.2478
1,2027,size_merlin,4,r2,0.3102
1,2027,size_merlin,5,r2,0.1559
1,2027,size_merlin,mean,r2,0.3403
2,2027,size_merlin,0,r2,0.6655
2,2027,size_merlin,1,r2,0.6185
2,2027,size_merlin,2,r2,0.3053
2,2027,size_merlin,3,r2,0.3797
2,2027,size_merlin,4,r2,0.372
2,2027,size_merlin,5,r2,0.1687
2,2027,size_merlin,mean,r2,0.4183
