epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.6648
1,2026,density_merlin,1,r2,0.8273
1,2026,density_merlin,2,r2,0.1147
1,2026,density_merlin,mean,r2,0.5356
2,2026,density_merlin,0,r2,0.6854
2,2026,density_merlin,1,r2,0.9132
2,2026,density_merlin,2,r2,0.2939
2,2026,density_merlin,mean,r2,0.6308
3,2026,density_merlin,0,r2,0.729
3,2026,density_merlin,1,r2,0.9363
3,2026,density_merlin,2,r2,0.3664
3,2026,density_merlin,mean,r2,0.6772
4,2026,density_merlin,0,r2,0.7334
4,2026,density_merlin,1,r2,0.9441
4,2026,density_merlin,2,r2,0.4275
4,2026,density_merlin,mean,r2,0.7017
5,2026,density_merlin,0,r2,0.7427
5,2026,density_merlin,1,r2,0.9423
5,2026,density_merlin,2,r2,0.4807
5,2026,density_merlin,mean,r2,0.7219
6,2026,density_merlin,0,r2,0.7493
6,2026,density_merlin,1,r2,0.9471
6,2026,density_merlin,2,r2,0.559
6,2026,density_merlin,mean,r2,0.7518
7,2026,density_merlin,0,r2,0.7476
7,2026,density_merlin,1,r2,0.9441
7,2026,density_merlin,2,r2,0.5016
7,2026,density_merlin,mean,r2,0.7311
8,2026,density_merlin,0,r2,0.7433
8,2026,density_merlin,1,r2,0.9456
8,2026,density_merlin,2,r2,0.6012
8,2026,density_merlin,mean,r2,0.7633
9,2026,density_merlin,0,r2,0.7649
9,2026,density_merlin,1,r2,0.9554
9,2026,density_merlin,2,r2,0.6103
9,2026,density_merlin,mean,r2,0.7769
10,2026,density_merlin,0,r2,0.7689
10,2026,density_merlin,1,r2,0.9549
10,2026,density_merlin,2,r2,0.6094
10,2026,density_merlin,mean,r2,0.7777
1,2027,density_merlin,0,r2,0.6274
1,2027,density_merlin,1,r2,0.8291
1,2027,density_merlin,2,r2,0.116
1,2027,density_merlin,mean,r2,0.5241
2,2027,density_merlin,0,r2,0.6714
2,2027,density_merlin,1,r2,0.9199
2,2027,density_merlin,2,r2,0.216
2,2027,density_merlin,mean,r2,0.6024
3,2027,density_merlin,0,r2,0.7187
3,2027,density_merlin,1,r2,0.9346
3,2027,density_merlin,2,r2,0.2609
3,2027,density_merlin,mean,r2,0.6381
4,2027,density_merlin,0,r2,0.7253
4,2027,density_merlin,1,r2,0.9429
4,2027,density_merlin,2,r2,0.3997
4,2027,density_merlin,mean,r2,0.6893
5,2027,density_merlin,0,r2,0.7282
5,2027,density_merlin,1,r2,0.9408
5,2027,density_merlin,2,r2,0.5036
5,2027,density_merlin,mean,r2,0.7242
6,2027,density_merlin,0,r2,0.6892
6,2027,density_merlin,1,r2,0.9502
6,2027,density_merlin,2,r2,0.5705
6,2027,density_merlin,mean,r2,0.7366
7,2027,density_merlin,0,r2,0.7562
7,2027,density_merlin,1,r2,0.9481
7,2027,density_merlin,2,r2,0.5933
7,2027,density_merlin,mean,r2,0.7659
8,2027,density_merlin,0,r2,0.7587
8,2027,density_merlin,1,r2,0.9546
8,2027,density_merlin,2,r2,0.5975
8,2027,density_merlin,mean,r2,0.7703
9,2027,density_merlin,0,r2,0.7414
9,2027,density_merlin,1,r2,0.9569
9,2027,density_merlin,2,r2,0.6229
9,2027,density_merlin,mean,r2,0.7737
10,2027,density_merlin,0,r2,0.7094
10,2027,density_merlin,1,r2,0.9481
10,2027,density_merlin,2,r2,0.6089
10,2027,density_merlin,mean,r2,0.7555
1,2028,density_merlin,0,r2,0.6618
1,2028,density_merlin,1,r2,0.8134
1,2028,density_merlin,2,r2,0.1507
1,2028,density_merlin,mean,r2,0.542
2,2028,density_merlin,0,r2,0.7066
2,2028,density_merlin,1,r2,0.8912
2,2028,density_merlin,2,r2,0.3423
2,2028,density_merlin,mean,r2,0.6467
3,2028,density_merlin,0,r2,0.7338
3,2028,density_merlin,1,r2,0.9251
3,2028,density_merlin,2,r2,0.4137
3,2028,density_merlin,mean,r2,0.6909
4,2028,density_merlin,0,r2,0.7478
4,2028,density_merlin,1,r2,0.935
4,2028,density_merlin,2,r2,0.534
4,2028,density_merlin,mean,r2,0.7389
5,2028,density_merlin,0,r2,0.7382
5,2028,density_merlin,1,r2,0.9351
5,2028,density_merlin,2,r2,0.5775
5,2028,density_merlin,mean,r2,0.7503
6,2028,density_merlin,0,r2,0.7563
6,2028,density_merlin,1,r2,0.941
6,2028,density_merlin,2,r2,0.5975
6,2028,density_merlin,mean,r2,0.7649
7,2028,density_merlin,0,r2,0.758
7,2028,density_merlin,1,r2,0.9414
7,2028,density_merlin,2,r2,0.5982
7,2028,density_merlin,mean,r2,0.7659
8,2028,density_merlin,0,r2,0.7604
8,2028,density_merlin,1,r2,0.9402
8,2028,density_merlin,2,r2,0.608
8,2028,density_merlin,mean,r2,0.7695
9,2028,density_merlin,0,r2,0.7383
9,2028,density_merlin,1,r2,0.9512
9,2028,density_merlin,2,r2,0.6075
9,2028,density_merlin,mean,r2,0.7657
10,2028,density_merlin,0,r2,0.7586
10,2028,density_merlin,1,r2,0.9554
10,2028,density_merlin,2,r2,0.6251
10,2028,density_merlin,mean,r2,0.7797
