epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.4283
1,2026,location_merlin,1,r2,0.3288
1,2026,location_merlin,2,r2,0.3052
1,2026,location_merlin,mean,r2,0.3541
2,2026,location_merlin,0,r2,0.4959
2,2026,location_merlin,1,r2,0.5636
2,2026,location_merlin,2,r2,0.3591
2,2026,location_merlin,mean,r2,0.4729
3,2026,location_merlin,0,r2,0.5809
3,2026,location_merlin,1,r2,0.5978
3,2026,location_merlin,2,r2,0.3763
3,2026,location_merlin,mean,r2,0.5183
4,2026,location_merlin,0,r2,0.6193
4,2026,location_merlin,1,r2,0.6309
4,2026,location_merlin,2,r2,0.3727
4,2026,location_merlin,mean,r2,0.5409
5,2026,location_merlin,0,r2,0.4536
5,2026,location_merlin,1,r2,0.6489
5,2026,location_merlin,2,r2,0.3891
5,2026,location_merlin,mean,r2,0.4972
6,2026,location_merlin,0,r2,0.6365
6,2026,location_merlin,1,r2,0.6576
6,2026,location_merlin,2,r2,0.3686
6,2026,location_merlin,mean,r2,0.5542
7,2026,location_merlin,0,r2,0.6601
7,2026,location_merlin,1,r2,0.656
7,2026,location_merlin,2,r2,0.4256
7,2026,location_merlin,mean,r2,0.5805
8,2026,location_merlin,0,r2,0.6669
8,2026,location_merlin,1,r2,0.6869
8,2026,location_merlin,2,r2,0.4319
8,2026,location_merlin,mean,r2,0.5952
9,2026,location_merlin,0,r2,0.6618
9,2026,location_merlin,1,r2,0.6871
9,2026,location_merlin,2,r2,0.3962
9,2026,location_merlin,mean,r2,0.5817
10,2026,location_merlin,0,r2,0.6833
10,2026,location_merlin,1,r2,0.6721
10,2026,location_merlin,2,r2,0.4277
10,2026,location_merlin,mean,r2,0.5944
1,2027,location_merlin,0,r2,0.3288
1,2027,location_merlin,1,r2,0.3278
1,2027,location_merlin,2,r2,0.3329
1,2027,location_merlin,mean,r2,0.3298
2,2027,location_merlin,0,r2,0.5503
2,2027,location_merlin,1,r2,0.4831
2,2027,location_merlin,2,r2,0.3916
2,2027,location_merlin,mean,r2,0.475
3,2027,location_merlin,0,r2,0.5996
3,2027,location_merlin,1,r2,0.5407
3,2027,location_merlin,2,r2,0.4049
3,2027,location_merlin,mean,r2,0.5151
4,2027,location_merlin,0,r2,0.6255
4,2027,location_merlin,1,r2,0.5722
4,2027,location_merlin,2,r2,0.4345
4,2027,location_merlin,mean,r2,0.5441
5,2027,location_merlin,0,r2,0.6437
5,2027,location_merlin,1,r2,0.5916
5,2027,location_merlin,2,r2,0.4259
5,2027,location_merlin,mean,r2,0.5538
6,2027,location_merlin,0,r2,0.6637
6,2027,location_merlin,1,r2,0.6257
6,2027,location_merlin,2,r2,0.4275
6,2027,location_merlin,mean,r2,0.5723
7,2027,location_merlin,0,r2,0.6968
7,2027,location_merlin,1,r2,0.6678
7,2027,location_merlin,2,r2,0.4563
7,2027,location_merlin,mean,r2,0.607
8,2027,location_merlin,0,r2,0.7007
8,2027,location_merlin,1,r2,0.6707
8,2027,location_merlin,2,r2,0.4255
8,2027,location_merlin,mean,r2,0.599
9,2027,location_merlin,0,r2,0.6676
9,2027,location_merlin,1,r2,0.6945
9,2027,location_merlin,2,r2,0.4536
9,2027,location_merlin,mean,r2,0.6052
10,2027,location_merlin,0,r2,0.7232
10,2027,location_merlin,1,r2,0.7041
10,2027,location_merlin,2,r2,0.4432
10,2027,location_merlin,mean,r2,0.6235
1,2028,location_merlin,0,r2,0.4406
1,2028,location_merlin,1,r2,0.2746
1,2028,location_merlin,2,r2,0.3095
1,2028,location_merlin,mean,r2,0.3416
2,2028,location_merlin,0,r2,0.4964
2,2028,location_merlin,1,r2,0.5432
2,2028,location_merlin,2,r2,0.3598
2,2028,location_merlin,mean,r2,0.4665
3,2028,location_merlin,0,r2,0.5832
3,2028,location_merlin,1,r2,0.5961
3,2028,location_merlin,2,r2,0.3704
3,2028,location_merlin,mean,r2,0.5166
4,2028,location_merlin,0,r2,0.6123
4,2028,location_merlin,1,r2,0.5833
4,2028,location_merlin,2,r2,0.3915
4,2028,location_merlin,mean,r2,0.529
5,2028,location_merlin,0,r2,0.6305
5,2028,location_merlin,1,r2,0.6173
5,2028,location_merlin,2,r2,0.4113
5,2028,location_merlin,mean,r2,0.553
6,2028,location_merlin,0,r2,0.6365
6,2028,location_merlin,1,r2,0.6392
6,2028,location_merlin,2,r2,0.4195
6,2028,location_merlin,mean,r2,0.5651
7,2028,location_merlin,0,r2,0.5645
7,2028,location_merlin,1,r2,0.652
7,2028,location_merlin,2,r2,0.4126
7,2028,location_merlin,mean,r2,0.5431
8,2028,location_merlin,0,r2,0.6445
8,2028,location_merlin,1,r2,0.6507
8,2028,location_merlin,2,r2,0.3892
8,2028,location_merlin,mean,r2,0.5614
9,2028,location_merlin,0,r2,0.6447
9,2028,location_merlin,1,r2,0.6372
9,2028,location_merlin,2,r2,0.4332
9,2028,location_merlin,mean,r2,0.5717
10,2028,location_merlin,0,r2,0.6734
10,2028,location_merlin,1,r2,0.6482
10,2028,location_merlin,2,r2,0.4462
10,2028,location_merlin,mean,r2,0.5893
