epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.7767
1,2026,density,1,r2,0.3361
1,2026,density,2,r2,0.8462
1,2026,density,3,r2,0.8567
1,2026,density,mean,r2,0.7039
2,2026,density,0,r2,0.8032
2,2026,density,1,r2,0.4
2,2026,density,2,r2,0.8593
2,2026,density,3,r2,0.8743
2,2026,density,mean,r2,0.7342
3,2026,density,0,r2,0.8051
3,2026,density,1,r2,0.4338
3,2026,density,2,r2,0.8652
3,2026,density,3,r2,0.8873
3,2026,density,mean,r2,0.7478
4,2026,density,0,r2,0.8082
4,2026,density,1,r2,0.4316
4,2026,density,2,r2,0.878
4,2026,density,3,r2,0.8931
4,2026,density,mean,r2,0.7527
5,2026,density,0,r2,0.7776
5,2026,density,1,r2,0.4419
5,2026,density,2,r2,0.8634
5,2026,density,3,r2,0.8933
5,2026,density,mean,r2,0.744
6,2026,density,0,r2,0.8075
6,2026,density,1,r2,0.503
6,2026,density,2,r2,0.8738
6,2026,density,3,r2,0.8953
6,2026,density,mean,r2,0.7699
7,2026,density,0,r2,0.8025
7,2026,density,1,r2,0.5043
7,2026,density,2,r2,0.8833
7,2026,density,3,r2,0.897
7,2026,density,mean,r2,0.7718
8,2026,density,0,r2,0.8142
8,2026,density,1,r2,0.5467
8,2026,density,2,r2,0.8845
8,2026,density,3,r2,0.9002
8,2026,density,mean,r2,0.7864
9,2026,density,0,r2,0.8233
9,2026,density,1,r2,0.5659
9,2026,density,2,r2,0.8979
9,2026,density,3,r2,0.903
9,2026,density,mean,r2,0.7975
10,2026,density,0,r2,0.807
10,2026,density,1,r2,0.6002
10,2026,density,2,r2,0.8987
10,2026,density,3,r2,0.9014
10,2026,density,mean,r2,0.8018
1,2027,density,0,r2,0.7698
1,2027,density,1,r2,0.3525
1,2027,density,2,r2,0.8559
1,2027,density,3,r2,0.8714
1,2027,density,mean,r2,0.7124
2,2027,density,0,r2,0.8071
2,2027,density,1,r2,0.3989
2,2027,density,2,r2,0.8648
2,2027,density,3,r2,0.8739
2,2027,density,mean,r2,0.7362
3,2027,density,0,r2,0.7995
3,2027,density,1,r2,0.4025
3,2027,density,2,r2,0.8412
3,2027,density,3,r2,0.8662
3,2027,density,mean,r2,0.7273
4,2027,density,0,r2,0.7817
4,2027,density,1,r2,0.4581
4,2027,density,2,r2,0.8752
4,2027,density,3,r2,0.8861
4,2027,density,mean,r2,0.7503
5,2027,density,0,r2,0.8034
5,2027,density,1,r2,0.4843
5,2027,density,2,r2,0.8799
5,2027,density,3,r2,0.8944
5,2027,density,mean,r2,0.7655
6,2027,density,0,r2,0.7956
6,2027,density,1,r2,0.4805
6,2027,density,2,r2,0.888
6,2027,density,3,r2,0.8934
6,2027,density,mean,r2,0.7644
7,2027,density,0,r2,0.8067
7,2027,density,1,r2,0.5343
7,2027,density,2,r2,0.8868
7,2027,density,3,r2,0.8971
7,2027,density,mean,r2,0.7812
8,2027,density,0,r2,0.7961
8,2027,density,1,r2,0.5506
8,2027,density,2,r2,0.8983
8,2027,density,3,r2,0.9021
8,2027,density,mean,r2,0.7868
9,2027,density,0,r2,0.8102
9,2027,density,1,r2,0.5777
9,2027,density,2,r2,0.8932
9,2027,density,3,r2,0.8991
9,2027,density,mean,r2,0.7951
10,2027,density,0,r2,0.8144
10,2027,density,1,r2,0.5858
10,2027,density,2,r2,0.8846
10,2027,density,3,r2,0.897
10,2027,density,mean,r2,0.7954
1,2028,density,0,r2,0.7669
1,2028,density,1,r2,0.3289
1,2028,density,2,r2,0.8478
1,2028,density,3,r2,0.862
1,2028,density,mean,r2,0.7014
2,2028,density,0,r2,0.7877
2,2028,density,1,r2,0.3818
2,2028,density,2,r2,0.842
2,2028,density,3,r2,0.8772
2,2028,density,mean,r2,0.7222
3,2028,density,0,r2,0.805
3,2028,density,1,r2,0.4289
3,2028,density,2,r2,0.8699
3,2028,density,3,r2,0.883
3,2028,density,mean,r2,0.7467
4,2028,density,0,r2,0.7961
4,2028,density,1,r2,0.4528
4,2028,density,2,r2,0.8796
4,2028,density,3,r2,0.8956
4,2028,density,mean,r2,0.756
5,2028,density,0,r2,0.8005
5,2028,density,1,r2,0.4405
5,2028,density,2,r2,0.8746
5,2028,density,3,r2,0.8891
5,2028,density,mean,r2,0.7512
6,2028,density,0,r2,0.8098
6,2028,density,1,r2,0.5312
6,2028,density,2,r2,0.8721
6,2028,density,3,r2,0.9002
6,2028,density,mean,r2,0.7783
7,2028,density,0,r2,0.7863
7,2028,density,1,r2,0.5321
7,2028,density,2,r2,0.8975
7,2028,density,3,r2,0.9045
7,2028,density,mean,r2,0.7801
8,2028,density,0,r2,0.8055
8,2028,density,1,r2,0.5602
8,2028,density,2,r2,0.8988
8,2028,density,3,r2,0.9047
8,2028,density,mean,r2,0.7923
9,2028,density,0,r2,0.8147
9,2028,density,1,r2,0.5893
9,2028,density,2,r2,0.8955
9,2028,density,3,r2,0.9034
9,2028,density,mean,r2,0.8007
10,2028,density,0,r2,0.8125
10,2028,density,1,r2,0.5974
10,2028,density,2,r2,0.892
10,2028,density,3,r2,0.8959
10,2028,density,mean,r2,0.7994
