epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9213
1,2026,disease,Arterial wall calcification,auroc,0.9281
1,2026,disease,Cardiomegaly,auroc,0.9143
1,2026,disease,Pericardial effusion,auroc,0.8526
1,2026,disease,Coronary artery wall calcification,auroc,0.9313
1,2026,disease,Hiatal hernia,auroc,0.7039
1,2026,disease,Lymphadenopathy,auroc,0.7406
1,2026,disease,Emphysema,auroc,0.8023
1,2026,disease,Atelectasis,auroc,0.8053
1,2026,disease,Lung nodule,auroc,0.7405
1,2026,disease,Lung opacity,auroc,0.869
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7392
1,2026,disease,Pleural effusion,auroc,0.9657
1,2026,disease,Mosaic attenuation pattern,auroc,0.8615
1,2026,disease,Peribronchial thickening,auroc,0.7997
1,2026,disease,Consolidation,auroc,0.9168
1,2026,disease,Bronchiectasis,auroc,0.7761
1,2026,disease,Interlobular septal thickening,auroc,0.8799
1,2026,disease,macro,auroc,0.8416
1,2026,disease,micro,auroc,0.8518
2,2026,disease,Medical material,auroc,0.9199
2,2026,disease,Arterial wall calcification,auroc,0.9297
2,2026,disease,Cardiomegaly,auroc,0.9191
2,2026,disease,Pericardial effusion,auroc,0.8444
2,2026,disease,Coronary artery wall calcification,auroc,0.9357
2,2026,disease,Hiatal hernia,auroc,0.706
2,2026,disease,Lymphadenopathy,auroc,0.7533
2,2026,disease,Emphysema,auroc,0.8043
2,2026,disease,Atelectasis,auroc,0.805
2,2026,disease,Lung nodule,auroc,0.7382
2,2026,disease,Lung opacity,auroc,0.871
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7377
2,2026,disease,Pleural effusion,auroc,0.9671
2,2026,disease,Mosaic attenuation pattern,auroc,0.8655
2,2026,disease,Peribronchial thickening,auroc,0.7993
2,2026,disease,Consolidation,auroc,0.9231
2,2026,disease,Bronchiectasis,auroc,0.7839
2,2026,disease,Interlobular septal thickening,auroc,0.8725
2,2026,disease,macro,auroc,0.8431
2,2026,disease,micro,auroc,0.8535
3,2026,disease,Medical material,auroc,0.9225
3,2026,disease,Arterial wall calcification,auroc,0.9274
3,2026,disease,Cardiomegaly,auroc,0.9166
3,2026,disease,Pericardial effusion,auroc,0.8493
3,2026,disease,Coronary artery wall calcification,auroc,0.9337
3,2026,disease,Hiatal hernia,auroc,0.7082
3,2026,disease,Lymphadenopathy,auroc,0.7572
3,2026,disease,Emphysema,auroc,0.7978
3,2026,disease,Atelectasis,auroc,0.8052
3,2026,disease,Lung nodule,auroc,0.7342
3,2026,disease,Lung opacity,auroc,0.8706
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7418
3,2026,disease,Pleural effusion,auroc,0.9649
3,2026,disease,Mosaic attenuation pattern,auroc,0.8674
3,2026,disease,Peribronchial thickening,auroc,0.8015
3,2026,disease,Consolidation,auroc,0.9184
3,2026,disease,Bronchiectasis,auroc,0.7875
3,2026,disease,Interlobular septal thickening,auroc,0.8777
3,2026,disease,macro,auroc,0.8434
3,2026,disease,micro,auroc,0.8512
4,2026,disease,Medical material,auroc,0.9259
4,2026,disease,Arterial wall calcification,auroc,0.9311
4,2026,disease,Cardiomegaly,auroc,0.9235
4,2026,disease,Pericardial effusion,auroc,0.855
4,2026,disease,Coronary artery wall calcification,auroc,0.9331
4,2026,disease,Hiatal hernia,auroc,0.7062
4,2026,disease,Lymphadenopathy,auroc,0.7564
4,2026,disease,Emphysema,auroc,0.7986
4,2026,disease,Atelectasis,auroc,0.7996
4,2026,disease,Lung nodule,auroc,0.7411
4,2026,disease,Lung opacity,auroc,0.8717
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7453
4,2026,disease,Pleural effusion,auroc,0.9666
4,2026,disease,Mosaic attenuation pattern,auroc,0.8686
4,2026,disease,Peribronchial thickening,auroc,0.8042
4,2026,disease,Consolidation,auroc,0.919
4,2026,disease,Bronchiectasis,auroc,0.7878
4,2026,disease,Interlobular septal thickening,auroc,0.8747
4,2026,disease,macro,auroc,0.8449
4,2026,disease,micro,auroc,0.857
5,2026,disease,Medical material,auroc,0.9189
5,2026,disease,Arterial wall calcification,auroc,0.9319
5,2026,disease,Cardiomegaly,auroc,0.924
5,2026,disease,Pericardial effusion,auroc,0.8553
5,2026,disease,Coronary artery wall calcification,auroc,0.9339
5,2026,disease,Hiatal hernia,auroc,0.714
5,2026,disease,Lymphadenopathy,auroc,0.7606
5,2026,disease,Emphysema,auroc,0.8046
5,2026,disease,Atelectasis,auroc,0.8004
5,2026,disease,Lung nodule,auroc,0.7386
5,2026,disease,Lung opacity,auroc,0.8685
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.7448
5,2026,disease,Pleural effusion,auroc,0.9652
5,2026,disease,Mosaic attenuation pattern,auroc,0.871
5,2026,disease,Peribronchial thickening,auroc,0.8036
5,2026,disease,Consolidation,auroc,0.9177
5,2026,disease,Bronchiectasis,auroc,0.7915
5,2026,disease,Interlobular septal thickening,auroc,0.8774
5,2026,disease,macro,auroc,0.8457
5,2026,disease,micro,auroc,0.8531
6,2026,disease,Medical material,auroc,0.9266
6,2026,disease,Arterial wall calcification,auroc,0.9292
6,2026,disease,Cardiomegaly,auroc,0.923
6,2026,disease,Pericardial effusion,auroc,0.8474
6,2026,disease,Coronary artery wall calcification,auroc,0.9329
6,2026,disease,Hiatal hernia,auroc,0.711
6,2026,disease,Lymphadenopathy,auroc,0.7579
6,2026,disease,Emphysema,auroc,0.8023
6,2026,disease,Atelectasis,auroc,0.8004
6,2026,disease,Lung nodule,auroc,0.7402
6,2026,disease,Lung opacity,auroc,0.8697
6,2026,disease,Pulmonary fibrotic sequela,auroc,0.7449
6,2026,disease,Pleural effusion,auroc,0.963
6,2026,disease,Mosaic attenuation pattern,auroc,0.8753
6,2026,disease,Peribronchial thickening,auroc,0.7979
6,2026,disease,Consolidation,auroc,0.9191
6,2026,disease,Bronchiectasis,auroc,0.7858
6,2026,disease,Interlobular septal thickening,auroc,0.8788
6,2026,disease,macro,auroc,0.8447
6,2026,disease,micro,auroc,0.8614
7,2026,disease,Medical material,auroc,0.9224
7,2026,disease,Arterial wall calcification,auroc,0.9325
7,2026,disease,Cardiomegaly,auroc,0.9227
7,2026,disease,Pericardial effusion,auroc,0.8459
7,2026,disease,Coronary artery wall calcification,auroc,0.9339
7,2026,disease,Hiatal hernia,auroc,0.7142
7,2026,disease,Lymphadenopathy,auroc,0.757
7,2026,disease,Emphysema,auroc,0.8037
7,2026,disease,Atelectasis,auroc,0.8046
7,2026,disease,Lung nodule,auroc,0.7354
7,2026,disease,Lung opacity,auroc,0.8658
7,2026,disease,Pulmonary fibrotic sequela,auroc,0.7502
7,2026,disease,Pleural effusion,auroc,0.9655
7,2026,disease,Mosaic attenuation pattern,auroc,0.8724
7,2026,disease,Peribronchial thickening,auroc,0.7978
7,2026,disease,Consolidation,auroc,0.917
7,2026,disease,Bronchiectasis,auroc,0.7872
7,2026,disease,Interlobular septal thickening,auroc,0.873
7,2026,disease,macro,auroc,0.8445
7,2026,disease,micro,auroc,0.8553
8,2026,disease,Medical material,auroc,0.9233
8,2026,disease,Arterial wall calcification,auroc,0.9281
8,2026,disease,Cardiomegaly,auroc,0.9209
8,2026,disease,Pericardial effusion,auroc,0.8481
8,2026,disease,Coronary artery wall calcification,auroc,0.9321
8,2026,disease,Hiatal hernia,auroc,0.7057
8,2026,disease,Lymphadenopathy,auroc,0.7614
8,2026,disease,Emphysema,auroc,0.8004
8,2026,disease,Atelectasis,auroc,0.8048
8,2026,disease,Lung nodule,auroc,0.7371
8,2026,disease,Lung opacity,auroc,0.8699
8,2026,disease,Pulmonary fibrotic sequela,auroc,0.7421
8,2026,disease,Pleural effusion,auroc,0.9674
8,2026,disease,Mosaic attenuation pattern,auroc,0.8755
8,2026,disease,Peribronchial thickening,auroc,0.7961
8,2026,disease,Consolidation,auroc,0.9218
8,2026,disease,Bronchiectasis,auroc,0.7946
8,2026,disease,Interlobular septal thickening,auroc,0.8718
8,2026,disease,macro,auroc,0.8445
8,2026,disease,micro,auroc,0.8536
9,2026,disease,Medical material,auroc,0.9246
9,2026,disease,Arterial wall calcification,auroc,0.9303
9,2026,disease,Cardiomegaly,auroc,0.924
9,2026,disease,Pericardial effusion,auroc,0.842
9,2026,disease,Coronary artery wall calcification,auroc,0.9313
9,2026,disease,Hiatal hernia,auroc,0.7091
9,2026,disease,Lymphadenopathy,auroc,0.7602
9,2026,disease,Emphysema,auroc,0.7976
9,2026,disease,Atelectasis,auroc,0.8099
9,2026,disease,Lung nodule,auroc,0.7349
9,2026,disease,Lung opacity,auroc,0.8663
9,2026,disease,Pulmonary fibrotic sequela,auroc,0.7439
9,2026,disease,Pleural effusion,auroc,0.9643
9,2026,disease,Mosaic attenuation pattern,auroc,0.8711
9,2026,disease,Peribronchial thickening,auroc,0.7936
9,2026,disease,Consolidation,auroc,0.9203
9,2026,disease,Bronchiectasis,auroc,0.7757
9,2026,disease,Interlobular septal thickening,auroc,0.8679
9,2026,disease,macro,auroc,0.8426
9,2026,disease,micro,auroc,0.8554
10,2026,disease,Medical material,auroc,0.9278
10,2026,disease,Arterial wall calcification,auroc,0.9305
10,2026,disease,Cardiomegaly,auroc,0.9214
10,2026,disease,Pericardial effusion,auroc,0.842
10,2026,disease,Coronary artery wall calcification,auroc,0.9329
10,2026,disease,Hiatal hernia,auroc,0.7155
10,2026,disease,Lymphadenopathy,auroc,0.7548
10,2026,disease,Emphysema,auroc,0.7953
10,2026,disease,Atelectasis,auroc,0.802
10,2026,disease,Lung nodule,auroc,0.7405
10,2026,disease,Lung opacity,auroc,0.8645
10,2026,disease,Pulmonary fibrotic sequela,auroc,0.7482
10,2026,disease,Pleural effusion,auroc,0.9645
10,2026,disease,Mosaic attenuation pattern,auroc,0.8758
10,2026,disease,Peribronchial thickening,auroc,0.7872
10,2026,disease,Consolidation,auroc,0.9158
10,2026,disease,Bronchiectasis,auroc,0.7917
10,2026,disease,Interlobular septal thickening,auroc,0.8742
10,2026,disease,macro,auroc,0.8436
10,2026,disease,micro,auroc,0.8541
1,2027,disease,Medical material,auroc,0.9163
1,2027,disease,Arterial wall calcification,auroc,0.9271
1,2027,disease,Cardiomegaly,auroc,0.9135
1,2027,disease,Pericardial effusion,auroc,0.853
1,2027,disease,Coronary artery wall calcification,auroc,0.931
1,2027,disease,Hiatal hernia,auroc,0.7041
1,2027,disease,Lymphadenopathy,auroc,0.7471
1,2027,disease,Emphysema,auroc,0.8038
1,2027,disease,Atelectasis,auroc,0.81
1,2027,disease,Lung nodule,auroc,0.7387
1,2027,disease,Lung opacity,auroc,0.8676
1,2027,disease,Pulmonary fibrotic sequela,auroc,0.7436
1,2027,disease,Pleural effusion,auroc,0.9667
1,2027,disease,Mosaic attenuation pattern,auroc,0.8626
1,2027,disease,Peribronchial thickening,auroc,0.8038
1,2027,disease,Consolidation,auroc,0.9193
1,2027,disease,Bronchiectasis,auroc,0.7751
1,2027,disease,Interlobular septal thickening,auroc,0.8749
1,2027,disease,macro,auroc,0.8421
1,2027,disease,micro,auroc,0.8496
2,2027,disease,Medical material,auroc,0.9208
2,2027,disease,Arterial wall calcification,auroc,0.9262
2,2027,disease,Cardiomegaly,auroc,0.9212
2,2027,disease,Pericardial effusion,auroc,0.8546
2,2027,disease,Coronary artery wall calcification,auroc,0.9313
2,2027,disease,Hiatal hernia,auroc,0.7028
2,2027,disease,Lymphadenopathy,auroc,0.7488
2,2027,disease,Emphysema,auroc,0.7993
2,2027,disease,Atelectasis,auroc,0.8041
2,2027,disease,Lung nodule,auroc,0.7359
2,2027,disease,Lung opacity,auroc,0.8696
2,2027,disease,Pulmonary fibrotic sequela,auroc,0.7323
2,2027,disease,Pleural effusion,auroc,0.9671
2,2027,disease,Mosaic attenuation pattern,auroc,0.8648
2,2027,disease,Peribronchial thickening,auroc,0.7991
2,2027,disease,Consolidation,auroc,0.9203
2,2027,disease,Bronchiectasis,auroc,0.7837
2,2027,disease,Interlobular septal thickening,auroc,0.875
2,2027,disease,macro,auroc,0.8421
2,2027,disease,micro,auroc,0.8519
3,2027,disease,Medical material,auroc,0.9252
3,2027,disease,Arterial wall calcification,auroc,0.928
3,2027,disease,Cardiomegaly,auroc,0.9225
3,2027,disease,Pericardial effusion,auroc,0.8511
3,2027,disease,Coronary artery wall calcification,auroc,0.9344
3,2027,disease,Hiatal hernia,auroc,0.7172
3,2027,disease,Lymphadenopathy,auroc,0.7542
3,2027,disease,Emphysema,auroc,0.804
3,2027,disease,Atelectasis,auroc,0.8133
3,2027,disease,Lung nodule,auroc,0.7381
3,2027,disease,Lung opacity,auroc,0.8669
3,2027,disease,Pulmonary fibrotic sequela,auroc,0.7459
3,2027,disease,Pleural effusion,auroc,0.9691
3,2027,disease,Mosaic attenuation pattern,auroc,0.8672
3,2027,disease,Peribronchial thickening,auroc,0.8003
3,2027,disease,Consolidation,auroc,0.9177
3,2027,disease,Bronchiectasis,auroc,0.783
3,2027,disease,Interlobular septal thickening,auroc,0.8805
3,2027,disease,macro,auroc,0.8455
3,2027,disease,micro,auroc,0.8535
4,2027,disease,Medical material,auroc,0.9266
4,2027,disease,Arterial wall calcification,auroc,0.9289
4,2027,disease,Cardiomegaly,auroc,0.9237
4,2027,disease,Pericardial effusion,auroc,0.8514
4,2027,disease,Coronary artery wall calcification,auroc,0.9322
4,2027,disease,Hiatal hernia,auroc,0.7146
4,2027,disease,Lymphadenopathy,auroc,0.7556
4,2027,disease,Emphysema,auroc,0.7874
4,2027,disease,Atelectasis,auroc,0.8117
4,2027,disease,Lung nodule,auroc,0.7277
4,2027,disease,Lung opacity,auroc,0.8734
4,2027,disease,Pulmonary fibrotic sequela,auroc,0.7363
4,2027,disease,Pleural effusion,auroc,0.9654
4,2027,disease,Mosaic attenuation pattern,auroc,0.871
4,2027,disease,Peribronchial thickening,auroc,0.7935
4,2027,disease,Consolidation,auroc,0.9221
4,2027,disease,Bronchiectasis,auroc,0.7869
4,2027,disease,Interlobular septal thickening,auroc,0.8733
4,2027,disease,macro,auroc,0.8434
4,2027,disease,micro,auroc,0.852
5,2027,disease,Medical material,auroc,0.925
5,2027,disease,Arterial wall calcification,auroc,0.9287
5,2027,disease,Cardiomegaly,auroc,0.9257
5,2027,disease,Pericardial effusion,auroc,0.8606
5,2027,disease,Coronary artery wall calcification,auroc,0.9337
5,2027,disease,Hiatal hernia,auroc,0.7114
5,2027,disease,Lymphadenopathy,auroc,0.756
5,2027,disease,Emphysema,auroc,0.8031
5,2027,disease,Atelectasis,auroc,0.8115
5,2027,disease,Lung nodule,auroc,0.7377
5,2027,disease,Lung opacity,auroc,0.8682
5,2027,disease,Pulmonary fibrotic sequela,auroc,0.7398
5,2027,disease,Pleural effusion,auroc,0.9647
5,2027,disease,Mosaic attenuation pattern,auroc,0.8702
5,2027,disease,Peribronchial thickening,auroc,0.7912
5,2027,disease,Consolidation,auroc,0.9223
5,2027,disease,Bronchiectasis,auroc,0.783
5,2027,disease,Interlobular septal thickening,auroc,0.8764
5,2027,disease,macro,auroc,0.845
5,2027,disease,micro,auroc,0.8548
6,2027,disease,Medical material,auroc,0.928
6,2027,disease,Arterial wall calcification,auroc,0.9275
6,2027,disease,Cardiomegaly,auroc,0.9245
6,2027,disease,Pericardial effusion,auroc,0.8592
6,2027,disease,Coronary artery wall calcification,auroc,0.9312
6,2027,disease,Hiatal hernia,auroc,0.7187
6,2027,disease,Lymphadenopathy,auroc,0.7567
6,2027,disease,Emphysema,auroc,0.7994
6,2027,disease,Atelectasis,auroc,0.8131
6,2027,disease,Lung nodule,auroc,0.739
6,2027,disease,Lung opacity,auroc,0.8711
6,2027,disease,Pulmonary fibrotic sequela,auroc,0.7408
6,2027,disease,Pleural effusion,auroc,0.966
6,2027,disease,Mosaic attenuation pattern,auroc,0.8707
6,2027,disease,Peribronchial thickening,auroc,0.7992
6,2027,disease,Consolidation,auroc,0.9213
6,2027,disease,Bronchiectasis,auroc,0.7878
6,2027,disease,Interlobular septal thickening,auroc,0.8753
6,2027,disease,macro,auroc,0.8461
6,2027,disease,micro,auroc,0.8517
7,2027,disease,Medical material,auroc,0.9268
7,2027,disease,Arterial wall calcification,auroc,0.9275
7,2027,disease,Cardiomegaly,auroc,0.9222
7,2027,disease,Pericardial effusion,auroc,0.8568
7,2027,disease,Coronary artery wall calcification,auroc,0.9294
7,2027,disease,Hiatal hernia,auroc,0.7074
7,2027,disease,Lymphadenopathy,auroc,0.7482
7,2027,disease,Emphysema,auroc,0.7968
7,2027,disease,Atelectasis,auroc,0.8092
7,2027,disease,Lung nodule,auroc,0.7337
7,2027,disease,Lung opacity,auroc,0.8683
7,2027,disease,Pulmonary fibrotic sequela,auroc,0.7389
7,2027,disease,Pleural effusion,auroc,0.9658
7,2027,disease,Mosaic attenuation pattern,auroc,0.8796
7,2027,disease,Peribronchial thickening,auroc,0.7969
7,2027,disease,Consolidation,auroc,0.9205
7,2027,disease,Bronchiectasis,auroc,0.7874
7,2027,disease,Interlobular septal thickening,auroc,0.8723
7,2027,disease,macro,auroc,0.8438
7,2027,disease,micro,auroc,0.8555
8,2027,disease,Medical material,auroc,0.927
8,2027,disease,Arterial wall calcification,auroc,0.9271
8,2027,disease,Cardiomegaly,auroc,0.9214
8,2027,disease,Pericardial effusion,auroc,0.853
8,2027,disease,Coronary artery wall calcification,auroc,0.9331
8,2027,disease,Hiatal hernia,auroc,0.7167
8,2027,disease,Lymphadenopathy,auroc,0.7543
8,2027,disease,Emphysema,auroc,0.7973
8,2027,disease,Atelectasis,auroc,0.8072
8,2027,disease,Lung nodule,auroc,0.7294
8,2027,disease,Lung opacity,auroc,0.8677
8,2027,disease,Pulmonary fibrotic sequela,auroc,0.7433
8,2027,disease,Pleural effusion,auroc,0.9636
8,2027,disease,Mosaic attenuation pattern,auroc,0.8716
8,2027,disease,Peribronchial thickening,auroc,0.8055
8,2027,disease,Consolidation,auroc,0.9199
8,2027,disease,Bronchiectasis,auroc,0.7871
8,2027,disease,Interlobular septal thickening,auroc,0.8703
8,2027,disease,macro,auroc,0.8442
8,2027,disease,micro,auroc,0.8558
9,2027,disease,Medical material,auroc,0.9278
9,2027,disease,Arterial wall calcification,auroc,0.9276
9,2027,disease,Cardiomegaly,auroc,0.922
9,2027,disease,Pericardial effusion,auroc,0.8521
9,2027,disease,Coronary artery wall calcification,auroc,0.9335
9,2027,disease,Hiatal hernia,auroc,0.7104
9,2027,disease,Lymphadenopathy,auroc,0.7531
9,2027,disease,Emphysema,auroc,0.7983
9,2027,disease,Atelectasis,auroc,0.8124
9,2027,disease,Lung nodule,auroc,0.7305
9,2027,disease,Lung opacity,auroc,0.8683
9,2027,disease,Pulmonary fibrotic sequela,auroc,0.7384
9,2027,disease,Pleural effusion,auroc,0.9641
9,2027,disease,Mosaic attenuation pattern,auroc,0.8722
9,2027,disease,Peribronchial thickening,auroc,0.7982
9,2027,disease,Consolidation,auroc,0.921
9,2027,disease,Bronchiectasis,auroc,0.7876
9,2027,disease,Interlobular septal thickening,auroc,0.8644
9,2027,disease,macro,auroc,0.8434
9,2027,disease,micro,auroc,0.8577
10,2027,disease,Medical material,auroc,0.9246
10,2027,disease,Arterial wall calcification,auroc,0.9298
10,2027,disease,Cardiomegaly,auroc,0.9253
10,2027,disease,Pericardial effusion,auroc,0.8507
10,2027,disease,Coronary artery wall calcification,auroc,0.9342
10,2027,disease,Hiatal hernia,auroc,0.7031
10,2027,disease,Lymphadenopathy,auroc,0.7568
10,2027,disease,Emphysema,auroc,0.7951
10,2027,disease,Atelectasis,auroc,0.8119
10,2027,disease,Lung nodule,auroc,0.7285
10,2027,disease,Lung opacity,auroc,0.8647
10,2027,disease,Pulmonary fibrotic sequela,auroc,0.7408
10,2027,disease,Pleural effusion,auroc,0.9636
10,2027,disease,Mosaic attenuation pattern,auroc,0.8683
10,2027,disease,Peribronchial thickening,auroc,0.7951
10,2027,disease,Consolidation,auroc,0.9231
10,2027,disease,Bronchiectasis,auroc,0.7795
10,2027,disease,Interlobular septal thickening,auroc,0.8617
10,2027,disease,macro,auroc,0.842
10,2027,disease,micro,auroc,0.8569
1,2028,disease,Medical material,auroc,0.9263
1,2028,disease,Arterial wall calcification,auroc,0.9281
