epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.061
1,2026,location,1,r2,0.0943
1,2026,location,2,r2,0.1903
1,2026,location,mean,r2,0.1152
2,2026,location,0,r2,0.0783
2,2026,location,1,r2,0.1216
2,2026,location,2,r2,0.2358
2,2026,location,mean,r2,0.1452
3,2026,location,0,r2,0.0934
3,2026,location,1,r2,0.1075
3,2026,location,2,r2,0.2404
3,2026,location,mean,r2,0.1471
4,2026,location,0,r2,0.104
4,2026,location,1,r2,0.1241
4,2026,location,2,r2,0.2554
4,2026,location,mean,r2,0.1612
5,2026,location,0,r2,0.1146
5,2026,location,1,r2,0.1294
5,2026,location,2,r2,0.2646
5,2026,location,mean,r2,0.1695
6,2026,location,0,r2,0.0968
6,2026,location,1,r2,0.1338
6,2026,location,2,r2,0.2645
6,2026,location,mean,r2,0.165
7,2026,location,0,r2,0.135
7,2026,location,1,r2,0.1466
7,2026,location,2,r2,0.2602
7,2026,location,mean,r2,0.1806
8,2026,location,0,r2,0.1013
8,2026,location,1,r2,0.1444
8,2026,location,2,r2,0.2633
8,2026,location,mean,r2,0.1696
9,2026,location,0,r2,0.1232
9,2026,location,1,r2,0.0922
9,2026,location,2,r2,0.2571
9,2026,location,mean,r2,0.1575
10,2026,location,0,r2,0.1216
10,2026,location,1,r2,0.1208
10,2026,location,2,r2,0.2643
10,2026,location,mean,r2,0.1689
1,2027,location,0,r2,0.0648
1,2027,location,1,r2,0.0902
1,2027,location,2,r2,0.1992
1,2027,location,mean,r2,0.118
2,2027,location,0,r2,0.0829
2,2027,location,1,r2,0.1219
2,2027,location,2,r2,0.2298
2,2027,location,mean,r2,0.1449
3,2027,location,0,r2,0.0885
3,2027,location,1,r2,0.0999
3,2027,location,2,r2,0.2183
3,2027,location,mean,r2,0.1355
4,2027,location,0,r2,0.1019
4,2027,location,1,r2,0.101
4,2027,location,2,r2,0.2382
4,2027,location,mean,r2,0.147
5,2027,location,0,r2,0.0972
5,2027,location,1,r2,0.1074
5,2027,location,2,r2,0.2526
5,2027,location,mean,r2,0.1524
6,2027,location,0,r2,0.1179
6,2027,location,1,r2,0.1256
6,2027,location,2,r2,0.2481
6,2027,location,mean,r2,0.1639
7,2027,location,0,r2,0.1256
7,2027,location,1,r2,0.1215
7,2027,location,2,r2,0.253
7,2027,location,mean,r2,0.1667
8,2027,location,0,r2,0.1529
8,2027,location,1,r2,0.1357
8,2027,location,2,r2,0.2475
8,2027,location,mean,r2,0.1787
9,2027,location,0,r2,0.1273
9,2027,location,1,r2,0.1348
9,2027,location,2,r2,0.2604
9,2027,location,mean,r2,0.1742
10,2027,location,0,r2,0.144
10,2027,location,1,r2,0.1422
10,2027,location,2,r2,0.2673
10,2027,location,mean,r2,0.1845
1,2028,location,0,r2,0.0603
1,2028,location,1,r2,0.0933
1,2028,location,2,r2,0.1952
1,2028,location,mean,r2,0.1163
2,2028,location,0,r2,0.0844
2,2028,location,1,r2,0.1146
2,2028,location,2,r2,0.2267
2,2028,location,mean,r2,0.1419
3,2028,location,0,r2,0.0898
3,2028,location,1,r2,0.0666
3,2028,location,2,r2,0.2163
3,2028,location,mean,r2,0.1242
4,2028,location,0,r2,0.1019
4,2028,location,1,r2,0.1192
4,2028,location,2,r2,0.2456
4,2028,location,mean,r2,0.1555
5,2028,location,0,r2,0.1183
5,2028,location,1,r2,0.1103
5,2028,location,2,r2,0.2102
5,2028,location,mean,r2,0.1463
6,2028,location,0,r2,0.1211
6,2028,location,1,r2,0.1382
6,2028,location,2,r2,0.251
6,2028,location,mean,r2,0.1701
7,2028,location,0,r2,0.1476
7,2028,location,1,r2,0.1262
7,2028,location,2,r2,0.2518
7,2028,location,mean,r2,0.1752
8,2028,location,0,r2,0.1108
8,2028,location,1,r2,0.135
8,2028,location,2,r2,0.2612
8,2028,location,mean,r2,0.169
9,2028,location,0,r2,0.1299
9,2028,location,1,r2,0.1489
9,2028,location,2,r2,0.2578
9,2028,location,mean,r2,0.1789
10,2028,location,0,r2,0.1655
10,2028,location,1,r2,0.158
10,2028,location,2,r2,0.2343
10,2028,location,mean,r2,0.1859
