epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.8484
1,2026,radiomics,1,r2,0.1957
1,2026,radiomics,2,r2,0.7325
1,2026,radiomics,mean,r2,0.5922
2,2026,radiomics,0,r2,0.8777
2,2026,radiomics,1,r2,0.1937
2,2026,radiomics,2,r2,0.7623
2,2026,radiomics,mean,r2,0.6113
3,2026,radiomics,0,r2,0.8853
3,2026,radiomics,1,r2,0.2152
3,2026,radiomics,2,r2,0.7606
3,2026,radiomics,mean,r2,0.6204
4,2026,radiomics,0,r2,0.8912
4,2026,radiomics,1,r2,0.2145
4,2026,radiomics,2,r2,0.7765
4,2026,radiomics,mean,r2,0.6274
5,2026,radiomics,0,r2,0.8777
5,2026,radiomics,1,r2,0.2421
5,2026,radiomics,2,r2,0.7608
5,2026,radiomics,mean,r2,0.6268
6,2026,radiomics,0,r2,0.8871
6,2026,radiomics,1,r2,0.251
6,2026,radiomics,2,r2,0.7824
6,2026,radiomics,mean,r2,0.6401
7,2026,radiomics,0,r2,0.8869
7,2026,radiomics,1,r2,0.2611
7,2026,radiomics,2,r2,0.7995
7,2026,radiomics,mean,r2,0.6492
8,2026,radiomics,0,r2,0.8705
8,2026,radiomics,1,r2,0.2504
8,2026,radiomics,2,r2,0.7828
8,2026,radiomics,mean,r2,0.6346
9,2026,radiomics,0,r2,0.8841
9,2026,radiomics,1,r2,0.2448
9,2026,radiomics,2,r2,0.7933
9,2026,radiomics,mean,r2,0.6408
10,2026,radiomics,0,r2,0.8933
10,2026,radiomics,1,r2,0.2757
10,2026,radiomics,2,r2,0.8073
10,2026,radiomics,mean,r2,0.6588
1,2027,radiomics,0,r2,0.8524
1,2027,radiomics,1,r2,0.196
1,2027,radiomics,2,r2,0.7321
1,2027,radiomics,mean,r2,0.5935
2,2027,radiomics,0,r2,0.8625
2,2027,radiomics,1,r2,0.2032
2,2027,radiomics,2,r2,0.7611
2,2027,radiomics,mean,r2,0.6089
3,2027,radiomics,0,r2,0.8701
3,2027,radiomics,1,r2,0.2473
3,2027,radiomics,2,r2,0.7516
3,2027,radiomics,mean,r2,0.623
4,2027,radiomics,0,r2,0.8845
4,2027,radiomics,1,r2,0.2251
4,2027,radiomics,2,r2,0.7717
4,2027,radiomics,mean,r2,0.6271
5,2027,radiomics,0,r2,0.879
5,2027,radiomics,1,r2,0.2374
5,2027,radiomics,2,r2,0.793
5,2027,radiomics,mean,r2,0.6365
6,2027,radiomics,0,r2,0.8754
6,2027,radiomics,1,r2,0.2884
6,2027,radiomics,2,r2,0.7863
6,2027,radiomics,mean,r2,0.65
7,2027,radiomics,0,r2,0.8847
7,2027,radiomics,1,r2,0.2683
7,2027,radiomics,2,r2,0.7812
7,2027,radiomics,mean,r2,0.6447
8,2027,radiomics,0,r2,0.8907
8,2027,radiomics,1,r2,0.3138
8,2027,radiomics,2,r2,0.8107
8,2027,radiomics,mean,r2,0.6717
9,2027,radiomics,0,r2,0.8893
9,2027,radiomics,1,r2,0.3083
9,2027,radiomics,2,r2,0.7843
9,2027,radiomics,mean,r2,0.6607
10,2027,radiomics,0,r2,0.8903
10,2027,radiomics,1,r2,0.299
10,2027,radiomics,2,r2,0.7965
10,2027,radiomics,mean,r2,0.6619
1,2028,radiomics,0,r2,0.868
1,2028,radiomics,1,r2,0.2005
1,2028,radiomics,2,r2,0.7399
1,2028,radiomics,mean,r2,0.6028
2,2028,radiomics,0,r2,0.8773
2,2028,radiomics,1,r2,0.2211
2,2028,radiomics,2,r2,0.751
2,2028,radiomics,mean,r2,0.6165
3,2028,radiomics,0,r2,0.8737
3,2028,radiomics,1,r2,0.2302
3,2028,radiomics,2,r2,0.7688
3,2028,radiomics,mean,r2,0.6242
4,2028,radiomics,0,r2,0.8542
4,2028,radiomics,1,r2,0.2118
4,2028,radiomics,2,r2,0.7754
4,2028,radiomics,mean,r2,0.6138
5,2028,radiomics,0,r2,0.8776
5,2028,radiomics,1,r2,0.2394
5,2028,radiomics,2,r2,0.7897
5,2028,radiomics,mean,r2,0.6356
6,2028,radiomics,0,r2,0.8728
6,2028,radiomics,1,r2,0.2733
6,2028,radiomics,2,r2,0.7643
6,2028,radiomics,mean,r2,0.6368
7,2028,radiomics,0,r2,0.8871
7,2028,radiomics,1,r2,0.2812
7,2028,radiomics,2,r2,0.7961
7,2028,radiomics,mean,r2,0.6548
8,2028,radiomics,0,r2,0.8832
8,2028,radiomics,1,r2,0.246
8,2028,radiomics,2,r2,0.8056
8,2028,radiomics,mean,r2,0.6449
9,2028,radiomics,0,r2,0.8837
9,2028,radiomics,1,r2,0.2758
9,2028,radiomics,2,r2,0.815
9,2028,radiomics,mean,r2,0.6582
10,2028,radiomics,0,r2,0.8864
10,2028,radiomics,1,r2,0.2898
10,2028,radiomics,2,r2,0.8037
10,2028,radiomics,mean,r2,0.66
