epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.7767
1,2026,size,1,r2,0.4287
1,2026,size,2,r2,0.4141
1,2026,size,3,r2,0.5966
1,2026,size,4,r2,0.6544
1,2026,size,mean,r2,0.5741
2,2026,size,0,r2,0.7914
2,2026,size,1,r2,0.4816
2,2026,size,2,r2,0.433
2,2026,size,3,r2,0.5958
2,2026,size,4,r2,0.6545
2,2026,size,mean,r2,0.5913
3,2026,size,0,r2,0.8024
3,2026,size,1,r2,0.4997
3,2026,size,2,r2,0.4578
3,2026,size,3,r2,0.6171
3,2026,size,4,r2,0.6675
3,2026,size,mean,r2,0.6089
4,2026,size,0,r2,0.8075
4,2026,size,1,r2,0.5018
4,2026,size,2,r2,0.4559
4,2026,size,3,r2,0.6175
4,2026,size,4,r2,0.6852
4,2026,size,mean,r2,0.6136
5,2026,size,0,r2,0.8026
5,2026,size,1,r2,0.4944
5,2026,size,2,r2,0.4456
5,2026,size,3,r2,0.6032
5,2026,size,4,r2,0.6825
5,2026,size,mean,r2,0.6057
6,2026,size,0,r2,0.8011
6,2026,size,1,r2,0.5146
6,2026,size,2,r2,0.4632
6,2026,size,3,r2,0.6191
6,2026,size,4,r2,0.684
6,2026,size,mean,r2,0.6164
7,2026,size,0,r2,0.8119
7,2026,size,1,r2,0.5199
7,2026,size,2,r2,0.4624
7,2026,size,3,r2,0.6249
7,2026,size,4,r2,0.6869
7,2026,size,mean,r2,0.6212
8,2026,size,0,r2,0.8081
8,2026,size,1,r2,0.4935
8,2026,size,2,r2,0.4631
8,2026,size,3,r2,0.6229
8,2026,size,4,r2,0.6896
8,2026,size,mean,r2,0.6155
9,2026,size,0,r2,0.8075
9,2026,size,1,r2,0.5176
9,2026,size,2,r2,0.47
9,2026,size,3,r2,0.6149
9,2026,size,4,r2,0.6734
9,2026,size,mean,r2,0.6167
10,2026,size,0,r2,0.8117
10,2026,size,1,r2,0.5254
10,2026,size,2,r2,0.4417
10,2026,size,3,r2,0.6233
10,2026,size,4,r2,0.6936
10,2026,size,mean,r2,0.6191
1,2027,size,0,r2,0.7727
1,2027,size,1,r2,0.4548
1,2027,size,2,r2,0.4263
1,2027,size,3,r2,0.5863
1,2027,size,4,r2,0.6489
1,2027,size,mean,r2,0.5778
2,2027,size,0,r2,0.7859
2,2027,size,1,r2,0.4645
2,2027,size,2,r2,0.4255
2,2027,size,3,r2,0.6053
2,2027,size,4,r2,0.6642
2,2027,size,mean,r2,0.5891
3,2027,size,0,r2,0.7984
3,2027,size,1,r2,0.5013
3,2027,size,2,r2,0.4559
3,2027,size,3,r2,0.6082
3,2027,size,4,r2,0.6677
3,2027,size,mean,r2,0.6063
4,2027,size,0,r2,0.7903
4,2027,size,1,r2,0.4926
4,2027,size,2,r2,0.4687
4,2027,size,3,r2,0.6159
4,2027,size,4,r2,0.6772
4,2027,size,mean,r2,0.6089
