epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.1093
1,2026,size_merlin,1,r2,0.0287
1,2026,size_merlin,2,r2,0.1602
1,2026,size_merlin,3,r2,0.0031
1,2026,size_merlin,4,r2,0.1962
1,2026,size_merlin,5,r2,0.0267
1,2026,size_merlin,mean,r2,0.0874
2,2026,size_merlin,0,r2,0.1863
2,2026,size_merlin,1,r2,0.1095
2,2026,size_merlin,2,r2,0.2647
2,2026,size_merlin,3,r2,0.1278
2,2026,size_merlin,4,r2,0.2145
2,2026,size_merlin,5,r2,0.0423
2,2026,size_merlin,mean,r2,0.1575
3,2026,size_merlin,0,r2,0.2233
3,2026,size_merlin,1,r2,0.1627
3,2026,size_merlin,2,r2,0.3001
3,2026,size_merlin,3,r2,0.2446
3,2026,size_merlin,4,r2,0.3368
3,2026,size_merlin,5,r2,0.0927
3,2026,size_merlin,mean,r2,0.2267
4,2026,size_merlin,0,r2,0.203
4,2026,size_merlin,1,r2,0.151
4,2026,size_merlin,2,r2,0.2881
4,2026,size_merlin,3,r2,0.2755
4,2026,size_merlin,4,r2,0.363
4,2026,size_merlin,5,r2,0.0992
4,2026,size_merlin,mean,r2,0.23
5,2026,size_merlin,0,r2,0.3257
5,2026,size_merlin,1,r2,0.2497
5,2026,size_merlin,2,r2,0.3451
5,2026,size_merlin,3,r2,0.2717
5,2026,size_merlin,4,r2,0.2639
5,2026,size_merlin,5,r2,0.0878
5,2026,size_merlin,mean,r2,0.2573
6,2026,size_merlin,0,r2,0.352
6,2026,size_merlin,1,r2,0.2708
6,2026,size_merlin,2,r2,0.3066
6,2026,size_merlin,3,r2,0.2764
6,2026,size_merlin,4,r2,0.4109
6,2026,size_merlin,5,r2,0.1254
6,2026,size_merlin,mean,r2,0.2903
7,2026,size_merlin,0,r2,0.4738
7,2026,size_merlin,1,r2,0.3842
7,2026,size_merlin,2,r2,0.2887
7,2026,size_merlin,3,r2,0.2776
7,2026,size_merlin,4,r2,0.423
7,2026,size_merlin,5,r2,0.128
7,2026,size_merlin,mean,r2,0.3292
8,2026,size_merlin,0,r2,0.5335
8,2026,size_merlin,1,r2,0.4721
8,2026,size_merlin,2,r2,0.2744
8,2026,size_merlin,3,r2,0.3025
8,2026,size_merlin,4,r2,0.3627
8,2026,size_merlin,5,r2,0.1292
8,2026,size_merlin,mean,r2,0.3457
9,2026,size_merlin,0,r2,0.6044
9,2026,size_merlin,1,r2,0.5096
9,2026,size_merlin,2,r2,0.3695
9,2026,size_merlin,3,r2,0.3175
9,2026,size_merlin,4,r2,0.4397
9,2026,size_merlin,5,r2,0.1449
9,2026,size_merlin,mean,r2,0.3976
10,2026,size_merlin,0,r2,0.6027
10,2026,size_merlin,1,r2,0.5192
10,2026,size_merlin,2,r2,0.3557
10,2026,size_merlin,3,r2,0.3191
10,2026,size_merlin,4,r2,0.4331
10,2026,size_merlin,5,r2,0.1437
10,2026,size_merlin,mean,r2,0.3956
1,2027,size_merlin,0,r2,0.1241
1,2027,size_merlin,1,r2,0.0522
1,2027,size_merlin,2,r2,0.1818
1,2027,size_merlin,3,r2,0.0384
1,2027,size_merlin,4,r2,0.2306
1,2027,size_merlin,5,r2,0.0415
1,2027,size_merlin,mean,r2,0.1114
2,2027,size_merlin,0,r2,0.2124
2,2027,size_merlin,1,r2,0.1289
2,2027,size_merlin,2,r2,0.2494
2,2027,size_merlin,3,r2,0.0835
2,2027,size_merlin,4,r2,0.2151
2,2027,size_merlin,5,r2,0.0514
2,2027,size_merlin,mean,r2,0.1568
3,2027,size_merlin,0,r2,0.1955
3,2027,size_merlin,1,r2,0.1513
3,2027,size_merlin,2,r2,0.3243
3,2027,size_merlin,3,r2,0.2246
3,2027,size_merlin,4,r2,0.2442
3,2027,size_merlin,5,r2,0.0643
3,2027,size_merlin,mean,r2,0.2007
4,2027,size_merlin,0,r2,0.285
4,2027,size_merlin,1,r2,0.2105
4,2027,size_merlin,2,r2,0.3413
4,2027,size_merlin,3,r2,0.2791
4,2027,size_merlin,4,r2,0.3463
4,2027,size_merlin,5,r2,0.1035
4,2027,size_merlin,mean,r2,0.2609
5,2027,size_merlin,0,r2,0.2964
5,2027,size_merlin,1,r2,0.2314
5,2027,size_merlin,2,r2,0.3349
5,2027,size_merlin,3,r2,0.2892
5,2027,size_merlin,4,r2,0.3669
5,2027,size_merlin,5,r2,0.1115
5,2027,size_merlin,mean,r2,0.2717
6,2027,size_merlin,0,r2,0.2633
6,2027,size_merlin,1,r2,0.2129
6,2027,size_merlin,2,r2,0.3173
6,2027,size_merlin,3,r2,0.315
6,2027,size_merlin,4,r2,0.2742
6,2027,size_merlin,5,r2,0.1044
6,2027,size_merlin,mean,r2,0.2478
7,2027,size_merlin,0,r2,0.4671
7,2027,size_merlin,1,r2,0.3844
7,2027,size_merlin,2,r2,0.3852
7,2027,size_merlin,3,r2,0.3228
7,2027,size_merlin,4,r2,0.3828
7,2027,size_merlin,5,r2,0.1134
7,2027,size_merlin,mean,r2,0.3426
8,2027,size_merlin,0,r2,0.5408
8,2027,size_merlin,1,r2,0.4684
8,2027,size_merlin,2,r2,0.3439
8,2027,size_merlin,3,r2,0.3139
8,2027,size_merlin,4,r2,0.3891
8,2027,size_merlin,5,r2,0.1296
8,2027,size_merlin,mean,r2,0.3643
9,2027,size_merlin,0,r2,0.6052
9,2027,size_merlin,1,r2,0.528
9,2027,size_merlin,2,r2,0.3993
9,2027,size_merlin,3,r2,0.3457
9,2027,size_merlin,4,r2,0.4134
9,2027,size_merlin,5,r2,0.1431
9,2027,size_merlin,mean,r2,0.4058
10,2027,size_merlin,0,r2,0.6171
10,2027,size_merlin,1,r2,0.5242
10,2027,size_merlin,2,r2,0.44
10,2027,size_merlin,3,r2,0.3394
10,2027,size_merlin,4,r2,0.3937
10,2027,size_merlin,5,r2,0.1079
10,2027,size_merlin,mean,r2,0.4037
1,2028,size_merlin,0,r2,0.0667
1,2028,size_merlin,1,r2,0.0114
1,2028,size_merlin,2,r2,0.0802
1,2028,size_merlin,3,r2,-0.0436
1,2028,size_merlin,4,r2,0.2315
1,2028,size_merlin,5,r2,0.0637
1,2028,size_merlin,mean,r2,0.0683
2,2028,size_merlin,0,r2,0.1418
2,2028,size_merlin,1,r2,0.0766
2,2028,size_merlin,2,r2,0.2502
2,2028,size_merlin,3,r2,0.1521
2,2028,size_merlin,4,r2,0.359
2,2028,size_merlin,5,r2,0.1135
2,2028,size_merlin,mean,r2,0.1822
3,2028,size_merlin,0,r2,0.1758
3,2028,size_merlin,1,r2,0.1037
3,2028,size_merlin,2,r2,0.2809
3,2028,size_merlin,3,r2,0.2163
3,2028,size_merlin,4,r2,0.3609
3,2028,size_merlin,5,r2,0.0918
3,2028,size_merlin,mean,r2,0.2049
4,2028,size_merlin,0,r2,0.2538
4,2028,size_merlin,1,r2,0.172
4,2028,size_merlin,2,r2,0.349
4,2028,size_merlin,3,r2,0.2836
4,2028,size_merlin,4,r2,0.4112
4,2028,size_merlin,5,r2,0.1394
4,2028,size_merlin,mean,r2,0.2682
5,2028,size_merlin,0,r2,0.2902
5,2028,size_merlin,1,r2,0.1952
5,2028,size_merlin,2,r2,0.3332
5,2028,size_merlin,3,r2,0.2785
