epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.3177
1,2026,density_merlin,1,r2,0.4746
1,2026,density_merlin,2,r2,0.0517
1,2026,density_merlin,mean,r2,0.2813
2,2026,density_merlin,0,r2,0.4128
2,2026,density_merlin,1,r2,0.5732
2,2026,density_merlin,2,r2,0.0731
2,2026,density_merlin,mean,r2,0.353
3,2026,density_merlin,0,r2,0.5369
3,2026,density_merlin,1,r2,0.5978
3,2026,density_merlin,2,r2,0.0077
3,2026,density_merlin,mean,r2,0.3808
4,2026,density_merlin,0,r2,0.6004
4,2026,density_merlin,1,r2,0.6193
4,2026,density_merlin,2,r2,0.1096
4,2026,density_merlin,mean,r2,0.4431
5,2026,density_merlin,0,r2,0.6234
5,2026,density_merlin,1,r2,0.6351
5,2026,density_merlin,2,r2,0.1729
5,2026,density_merlin,mean,r2,0.4771
6,2026,density_merlin,0,r2,0.6282
6,2026,density_merlin,1,r2,0.6374
6,2026,density_merlin,2,r2,0.2185
6,2026,density_merlin,mean,r2,0.4947
7,2026,density_merlin,0,r2,0.638
7,2026,density_merlin,1,r2,0.6524
7,2026,density_merlin,2,r2,0.2527
7,2026,density_merlin,mean,r2,0.5144
8,2026,density_merlin,0,r2,0.6172
8,2026,density_merlin,1,r2,0.6957
8,2026,density_merlin,2,r2,0.2859
8,2026,density_merlin,mean,r2,0.5329
9,2026,density_merlin,0,r2,0.6871
9,2026,density_merlin,1,r2,0.7082
9,2026,density_merlin,2,r2,0.302
9,2026,density_merlin,mean,r2,0.5658
10,2026,density_merlin,0,r2,0.6747
10,2026,density_merlin,1,r2,0.716
10,2026,density_merlin,2,r2,0.273
10,2026,density_merlin,mean,r2,0.5546
1,2027,density_merlin,0,r2,0.2093
1,2027,density_merlin,1,r2,0.4351
1,2027,density_merlin,2,r2,0.0532
1,2027,density_merlin,mean,r2,0.2325
2,2027,density_merlin,0,r2,0.3681
2,2027,density_merlin,1,r2,0.5566
2,2027,density_merlin,2,r2,0.0668
2,2027,density_merlin,mean,r2,0.3305
3,2027,density_merlin,0,r2,0.4459
3,2027,density_merlin,1,r2,0.54
3,2027,density_merlin,2,r2,0.0675
3,2027,density_merlin,mean,r2,0.3511
4,2027,density_merlin,0,r2,0.5489
4,2027,density_merlin,1,r2,0.6331
4,2027,density_merlin,2,r2,0.098
4,2027,density_merlin,mean,r2,0.4267
5,2027,density_merlin,0,r2,0.5735
5,2027,density_merlin,1,r2,0.5754
5,2027,density_merlin,2,r2,0.1244
5,2027,density_merlin,mean,r2,0.4244
6,2027,density_merlin,0,r2,0.5904
6,2027,density_merlin,1,r2,0.6414
6,2027,density_merlin,2,r2,0.1396
6,2027,density_merlin,mean,r2,0.4571
7,2027,density_merlin,0,r2,0.6741
7,2027,density_merlin,1,r2,0.6716
7,2027,density_merlin,2,r2,0.1757
7,2027,density_merlin,mean,r2,0.5071
8,2027,density_merlin,0,r2,0.6488
8,2027,density_merlin,1,r2,0.6853
8,2027,density_merlin,2,r2,0.1517
8,2027,density_merlin,mean,r2,0.4952
9,2027,density_merlin,0,r2,0.6903
9,2027,density_merlin,1,r2,0.6923
9,2027,density_merlin,2,r2,0.164
9,2027,density_merlin,mean,r2,0.5155
10,2027,density_merlin,0,r2,0.6411
10,2027,density_merlin,1,r2,0.6699
10,2027,density_merlin,2,r2,0.2186
10,2027,density_merlin,mean,r2,0.5099
1,2028,density_merlin,0,r2,0.265
1,2028,density_merlin,1,r2,0.5014
1,2028,density_merlin,2,r2,0.0343
1,2028,density_merlin,mean,r2,0.2669
2,2028,density_merlin,0,r2,0.3628
2,2028,density_merlin,1,r2,0.5217
2,2028,density_merlin,2,r2,0.0721
2,2028,density_merlin,mean,r2,0.3189
3,2028,density_merlin,0,r2,0.5289
3,2028,density_merlin,1,r2,0.3283
3,2028,density_merlin,2,r2,0.099
3,2028,density_merlin,mean,r2,0.3187
4,2028,density_merlin,0,r2,0.5646
4,2028,density_merlin,1,r2,0.5944
4,2028,density_merlin,2,r2,0.1194
4,2028,density_merlin,mean,r2,0.4261
5,2028,density_merlin,0,r2,0.5944
5,2028,density_merlin,1,r2,0.604
5,2028,density_merlin,2,r2,0.1654
5,2028,density_merlin,mean,r2,0.4546
6,2028,density_merlin,0,r2,0.6646
6,2028,density_merlin,1,r2,0.6474
6,2028,density_merlin,2,r2,0.2395
6,2028,density_merlin,mean,r2,0.5172
7,2028,density_merlin,0,r2,0.5188
7,2028,density_merlin,1,r2,0.6363
7,2028,density_merlin,2,r2,0.1421
7,2028,density_merlin,mean,r2,0.4324
8,2028,density_merlin,0,r2,0.642
8,2028,density_merlin,1,r2,0.6862
8,2028,density_merlin,2,r2,0.2794
8,2028,density_merlin,mean,r2,0.5358
9,2028,density_merlin,0,r2,0.5949
9,2028,density_merlin,1,r2,0.6993
9,2028,density_merlin,2,r2,0.2707
9,2028,density_merlin,mean,r2,0.5216
10,2028,density_merlin,0,r2,0.6989
10,2028,density_merlin,1,r2,0.6903
10,2028,density_merlin,2,r2,0.2988
10,2028,density_merlin,mean,r2,0.5627
