epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.0387
1,2026,location_merlin,1,r2,0.0011
1,2026,location_merlin,2,r2,-0.0294
1,2026,location_merlin,mean,r2,0.0035
2,2026,location_merlin,0,r2,0.0729
2,2026,location_merlin,1,r2,0.03
2,2026,location_merlin,2,r2,0.0412
2,2026,location_merlin,mean,r2,0.048
3,2026,location_merlin,0,r2,0.138
3,2026,location_merlin,1,r2,0.0527
3,2026,location_merlin,2,r2,0.0946
3,2026,location_merlin,mean,r2,0.0951
4,2026,location_merlin,0,r2,0.0972
4,2026,location_merlin,1,r2,0.0457
4,2026,location_merlin,2,r2,0.1006
4,2026,location_merlin,mean,r2,0.0811
5,2026,location_merlin,0,r2,0.2272
5,2026,location_merlin,1,r2,0.0729
5,2026,location_merlin,2,r2,0.1526
5,2026,location_merlin,mean,r2,0.1509
6,2026,location_merlin,0,r2,0.2696
6,2026,location_merlin,1,r2,0.0791
6,2026,location_merlin,2,r2,0.1652
6,2026,location_merlin,mean,r2,0.1713
7,2026,location_merlin,0,r2,0.2904
7,2026,location_merlin,1,r2,0.0843
7,2026,location_merlin,2,r2,0.1767
7,2026,location_merlin,mean,r2,0.1838
8,2026,location_merlin,0,r2,0.2203
8,2026,location_merlin,1,r2,0.0545
8,2026,location_merlin,2,r2,0.1338
8,2026,location_merlin,mean,r2,0.1362
9,2026,location_merlin,0,r2,0.3212
9,2026,location_merlin,1,r2,0.0913
9,2026,location_merlin,2,r2,0.1832
9,2026,location_merlin,mean,r2,0.1986
10,2026,location_merlin,0,r2,0.2716
10,2026,location_merlin,1,r2,0.0939
10,2026,location_merlin,2,r2,0.194
10,2026,location_merlin,mean,r2,0.1865
1,2027,location_merlin,0,r2,-0.0117
1,2027,location_merlin,1,r2,0.0166
1,2027,location_merlin,2,r2,0.0398
1,2027,location_merlin,mean,r2,0.0149
2,2027,location_merlin,0,r2,-0.0011
2,2027,location_merlin,1,r2,0.0224
2,2027,location_merlin,2,r2,0.07
2,2027,location_merlin,mean,r2,0.0304
3,2027,location_merlin,0,r2,0.0007
3,2027,location_merlin,1,r2,0.0418
3,2027,location_merlin,2,r2,0.1178
3,2027,location_merlin,mean,r2,0.0534
4,2027,location_merlin,0,r2,0.008
4,2027,location_merlin,1,r2,0.0536
4,2027,location_merlin,2,r2,0.1385
4,2027,location_merlin,mean,r2,0.0667
5,2027,location_merlin,0,r2,0.0362
5,2027,location_merlin,1,r2,0.0715
5,2027,location_merlin,2,r2,0.1662
5,2027,location_merlin,mean,r2,0.0913
6,2027,location_merlin,0,r2,0.0648
6,2027,location_merlin,1,r2,0.0786
6,2027,location_merlin,2,r2,0.173
6,2027,location_merlin,mean,r2,0.1054
7,2027,location_merlin,0,r2,0.1011
7,2027,location_merlin,1,r2,0.0852
7,2027,location_merlin,2,r2,0.1636
7,2027,location_merlin,mean,r2,0.1166
8,2027,location_merlin,0,r2,0.1292
8,2027,location_merlin,1,r2,0.091
8,2027,location_merlin,2,r2,0.1566
8,2027,location_merlin,mean,r2,0.1256
9,2027,location_merlin,0,r2,0.1451
9,2027,location_merlin,1,r2,0.0915
9,2027,location_merlin,2,r2,0.1514
9,2027,location_merlin,mean,r2,0.1293
10,2027,location_merlin,0,r2,0.178
10,2027,location_merlin,1,r2,0.0944
10,2027,location_merlin,2,r2,0.1443
10,2027,location_merlin,mean,r2,0.1389
1,2028,location_merlin,0,r2,0.0031
1,2028,location_merlin,1,r2,0.0174
1,2028,location_merlin,2,r2,0.0278
1,2028,location_merlin,mean,r2,0.0161
2,2028,location_merlin,0,r2,0.0222
2,2028,location_merlin,1,r2,0.0654
2,2028,location_merlin,2,r2,0.165
2,2028,location_merlin,mean,r2,0.0842
3,2028,location_merlin,0,r2,0.0329
3,2028,location_merlin,1,r2,0.0645
3,2028,location_merlin,2,r2,0.1753
3,2028,location_merlin,mean,r2,0.0909
4,2028,location_merlin,0,r2,0.0598
4,2028,location_merlin,1,r2,0.0779
4,2028,location_merlin,2,r2,0.1771
4,2028,location_merlin,mean,r2,0.1049
5,2028,location_merlin,0,r2,0.0869
5,2028,location_merlin,1,r2,0.0742
5,2028,location_merlin,2,r2,0.1531
5,2028,location_merlin,mean,r2,0.1048
6,2028,location_merlin,0,r2,0.0703
6,2028,location_merlin,1,r2,0.0715
6,2028,location_merlin,2,r2,0.1838
6,2028,location_merlin,mean,r2,0.1085
7,2028,location_merlin,0,r2,0.1381
7,2028,location_merlin,1,r2,0.0822
7,2028,location_merlin,2,r2,0.1607
7,2028,location_merlin,mean,r2,0.127
8,2028,location_merlin,0,r2,0.184
8,2028,location_merlin,1,r2,0.0833
8,2028,location_merlin,2,r2,0.1764
8,2028,location_merlin,mean,r2,0.1479
9,2028,location_merlin,0,r2,0.2464
9,2028,location_merlin,1,r2,0.0817
9,2028,location_merlin,2,r2,0.1697
9,2028,location_merlin,mean,r2,0.1659
10,2028,location_merlin,0,r2,0.2895
10,2028,location_merlin,1,r2,0.0862
10,2028,location_merlin,2,r2,0.1953
10,2028,location_merlin,mean,r2,0.1903
