epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.1886
1,2026,size_merlin,1,r2,0.162
1,2026,size_merlin,2,r2,0.2335
1,2026,size_merlin,3,r2,0.2356
1,2026,size_merlin,4,r2,0.3484
1,2026,size_merlin,5,r2,0.1349
1,2026,size_merlin,mean,r2,0.2172
2,2026,size_merlin,0,r2,0.2188
2,2026,size_merlin,1,r2,0.2012
2,2026,size_merlin,2,r2,0.2733
2,2026,size_merlin,3,r2,0.29
2,2026,size_merlin,4,r2,0.3514
2,2026,size_merlin,5,r2,0.1005
2,2026,size_merlin,mean,r2,0.2392
3,2026,size_merlin,0,r2,0.2676
3,2026,size_merlin,1,r2,0.2298
3,2026,size_merlin,2,r2,0.2592
3,2026,size_merlin,3,r2,0.262
3,2026,size_merlin,4,r2,0.3891
3,2026,size_merlin,5,r2,0.1418
3,2026,size_merlin,mean,r2,0.2583
4,2026,size_merlin,0,r2,0.2967
4,2026,size_merlin,1,r2,0.2947
4,2026,size_merlin,2,r2,0.2848
4,2026,size_merlin,3,r2,0.2916
4,2026,size_merlin,4,r2,0.4011
4,2026,size_merlin,5,r2,0.1767
4,2026,size_merlin,mean,r2,0.2909
5,2026,size_merlin,0,r2,0.3162
5,2026,size_merlin,1,r2,0.3001
5,2026,size_merlin,2,r2,0.3065
5,2026,size_merlin,3,r2,0.2859
5,2026,size_merlin,4,r2,0.418
5,2026,size_merlin,5,r2,0.177
5,2026,size_merlin,mean,r2,0.3006
6,2026,size_merlin,0,r2,0.36
6,2026,size_merlin,1,r2,0.3322
6,2026,size_merlin,2,r2,0.282
6,2026,size_merlin,3,r2,0.3005
6,2026,size_merlin,4,r2,0.4115
6,2026,size_merlin,5,r2,0.1466
6,2026,size_merlin,mean,r2,0.3055
7,2026,size_merlin,0,r2,0.4084
7,2026,size_merlin,1,r2,0.4042
7,2026,size_merlin,2,r2,0.2882
7,2026,size_merlin,3,r2,0.3264
7,2026,size_merlin,4,r2,0.3865
7,2026,size_merlin,5,r2,0.1644
7,2026,size_merlin,mean,r2,0.3297
8,2026,size_merlin,0,r2,0.4465
8,2026,size_merlin,1,r2,0.427
8,2026,size_merlin,2,r2,0.3106
8,2026,size_merlin,3,r2,0.3183
8,2026,size_merlin,4,r2,0.4151
8,2026,size_merlin,5,r2,0.1727
8,2026,size_merlin,mean,r2,0.3483
9,2026,size_merlin,0,r2,0.4299
9,2026,size_merlin,1,r2,0.3831
9,2026,size_merlin,2,r2,0.321
9,2026,size_merlin,3,r2,0.3294
9,2026,size_merlin,4,r2,0.4092
9,2026,size_merlin,5,r2,0.1695
9,2026,size_merlin,mean,r2,0.3404
10,2026,size_merlin,0,r2,0.4864
10,2026,size_merlin,1,r2,0.4603
10,2026,size_merlin,2,r2,0.323
10,2026,size_merlin,3,r2,0.3411
10,2026,size_merlin,4,r2,0.4304
10,2026,size_merlin,5,r2,0.1907
10,2026,size_merlin,mean,r2,0.372
1,2027,size_merlin,0,r2,0.1855
1,2027,size_merlin,1,r2,0.165
1,2027,size_merlin,2,r2,0.1067
1,2027,size_merlin,3,r2,0.2305
1,2027,size_merlin,4,r2,0.3133
1,2027,size_merlin,5,r2,0.1239
1,2027,size_merlin,mean,r2,0.1875
2,2027,size_merlin,0,r2,0.237
2,2027,size_merlin,1,r2,0.2268
2,2027,size_merlin,2,r2,0.2638
2,2027,size_merlin,3,r2,0.2853
2,2027,size_merlin,4,r2,0.3766
2,2027,size_merlin,5,r2,0.1552
2,2027,size_merlin,mean,r2,0.2574
3,2027,size_merlin,0,r2,0.2696
3,2027,size_merlin,1,r2,0.2092
3,2027,size_merlin,2,r2,0.0834
3,2027,size_merlin,3,r2,0.0893
3,2027,size_merlin,4,r2,0.3641
3,2027,size_merlin,5,r2,0.1546
3,2027,size_merlin,mean,r2,0.1951
4,2027,size_merlin,0,r2,0.3523
4,2027,size_merlin,1,r2,0.3197
4,2027,size_merlin,2,r2,0.3043
4,2027,size_merlin,3,r2,0.3002
4,2027,size_merlin,4,r2,0.4054
4,2027,size_merlin,5,r2,0.1763
4,2027,size_merlin,mean,r2,0.3097
5,2027,size_merlin,0,r2,0.4229
5,2027,size_merlin,1,r2,0.3913
5,2027,size_merlin,2,r2,0.3064
5,2027,size_merlin,3,r2,0.3208
5,2027,size_merlin,4,r2,0.4148
5,2027,size_merlin,5,r2,0.1735
5,2027,size_merlin,mean,r2,0.3383
6,2027,size_merlin,0,r2,0.4458
6,2027,size_merlin,1,r2,0.4183
6,2027,size_merlin,2,r2,0.3111
6,2027,size_merlin,3,r2,0.3264
6,2027,size_merlin,4,r2,0.4196
6,2027,size_merlin,5,r2,0.173
6,2027,size_merlin,mean,r2,0.349
7,2027,size_merlin,0,r2,0.4667
7,2027,size_merlin,1,r2,0.4382
7,2027,size_merlin,2,r2,0.2771
7,2027,size_merlin,3,r2,0.2997
7,2027,size_merlin,4,r2,0.4137
7,2027,size_merlin,5,r2,0.196
