epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.189
1,2026,density_merlin,1,r2,0.4338
1,2026,density_merlin,2,r2,0.1232
1,2026,density_merlin,mean,r2,0.2487
2,2026,density_merlin,0,r2,0.2446
2,2026,density_merlin,1,r2,0.4882
2,2026,density_merlin,2,r2,0.1525
2,2026,density_merlin,mean,r2,0.2951
3,2026,density_merlin,0,r2,0.2531
3,2026,density_merlin,1,r2,0.4924
3,2026,density_merlin,2,r2,0.1607
3,2026,density_merlin,mean,r2,0.3021
4,2026,density_merlin,0,r2,0.2664
4,2026,density_merlin,1,r2,0.5089
4,2026,density_merlin,2,r2,0.1777
4,2026,density_merlin,mean,r2,0.3177
5,2026,density_merlin,0,r2,0.2513
5,2026,density_merlin,1,r2,0.4972
5,2026,density_merlin,2,r2,0.1829
5,2026,density_merlin,mean,r2,0.3105
6,2026,density_merlin,0,r2,0.2335
6,2026,density_merlin,1,r2,0.5105
6,2026,density_merlin,2,r2,0.1813
6,2026,density_merlin,mean,r2,0.3084
7,2026,density_merlin,0,r2,0.2898
7,2026,density_merlin,1,r2,0.5204
7,2026,density_merlin,2,r2,0.1505
7,2026,density_merlin,mean,r2,0.3203
8,2026,density_merlin,0,r2,0.2427
8,2026,density_merlin,1,r2,0.5275
8,2026,density_merlin,2,r2,0.1951
8,2026,density_merlin,mean,r2,0.3218
9,2026,density_merlin,0,r2,0.2221
9,2026,density_merlin,1,r2,0.5333
9,2026,density_merlin,2,r2,0.1763
9,2026,density_merlin,mean,r2,0.3105
10,2026,density_merlin,0,r2,0.2969
10,2026,density_merlin,1,r2,0.5349
10,2026,density_merlin,2,r2,0.2016
10,2026,density_merlin,mean,r2,0.3445
1,2027,density_merlin,0,r2,0.1838
1,2027,density_merlin,1,r2,0.42
1,2027,density_merlin,2,r2,0.1264
1,2027,density_merlin,mean,r2,0.2434
2,2027,density_merlin,0,r2,0.1978
2,2027,density_merlin,1,r2,0.4518
2,2027,density_merlin,2,r2,0.1487
2,2027,density_merlin,mean,r2,0.2661
3,2027,density_merlin,0,r2,0.2555
3,2027,density_merlin,1,r2,0.505
3,2027,density_merlin,2,r2,0.1631
3,2027,density_merlin,mean,r2,0.3079
4,2027,density_merlin,0,r2,0.2682
4,2027,density_merlin,1,r2,0.5182
4,2027,density_merlin,2,r2,0.1842
4,2027,density_merlin,mean,r2,0.3235
5,2027,density_merlin,0,r2,0.272
5,2027,density_merlin,1,r2,0.5127
5,2027,density_merlin,2,r2,0.087
5,2027,density_merlin,mean,r2,0.2906
6,2027,density_merlin,0,r2,0.2217
6,2027,density_merlin,1,r2,0.5235
6,2027,density_merlin,2,r2,0.1329
6,2027,density_merlin,mean,r2,0.2927
7,2027,density_merlin,0,r2,0.2729
7,2027,density_merlin,1,r2,0.5236
7,2027,density_merlin,2,r2,0.1973
7,2027,density_merlin,mean,r2,0.3313
8,2027,density_merlin,0,r2,0.2322
8,2027,density_merlin,1,r2,0.4584
8,2027,density_merlin,2,r2,0.1944
8,2027,density_merlin,mean,r2,0.295
9,2027,density_merlin,0,r2,0.2686
9,2027,density_merlin,1,r2,0.5538
9,2027,density_merlin,2,r2,0.1909
9,2027,density_merlin,mean,r2,0.3378
10,2027,density_merlin,0,r2,0.3016
10,2027,density_merlin,1,r2,0.56
10,2027,density_merlin,2,r2,0.2093
10,2027,density_merlin,mean,r2,0.357
1,2028,density_merlin,0,r2,0.1984
1,2028,density_merlin,1,r2,0.4243
1,2028,density_merlin,2,r2,0.1256
1,2028,density_merlin,mean,r2,0.2494
2,2028,density_merlin,0,r2,0.0695
2,2028,density_merlin,1,r2,0.4545
2,2028,density_merlin,2,r2,0.128
2,2028,density_merlin,mean,r2,0.2173
3,2028,density_merlin,0,r2,0.2582
3,2028,density_merlin,1,r2,0.4729
3,2028,density_merlin,2,r2,0.1581
3,2028,density_merlin,mean,r2,0.2964
4,2028,density_merlin,0,r2,0.2649
4,2028,density_merlin,1,r2,0.5131
4,2028,density_merlin,2,r2,0.1701
4,2028,density_merlin,mean,r2,0.316
5,2028,density_merlin,0,r2,0.2627
5,2028,density_merlin,1,r2,0.5059
5,2028,density_merlin,2,r2,0.1542
5,2028,density_merlin,mean,r2,0.3076
6,2028,density_merlin,0,r2,0.2701
6,2028,density_merlin,1,r2,0.534
6,2028,density_merlin,2,r2,0.1773
6,2028,density_merlin,mean,r2,0.3271
7,2028,density_merlin,0,r2,0.2554
7,2028,density_merlin,1,r2,0.5165
7,2028,density_merlin,2,r2,0.1631
7,2028,density_merlin,mean,r2,0.3116
8,2028,density_merlin,0,r2,0.2847
8,2028,density_merlin,1,r2,0.5393
8,2028,density_merlin,2,r2,0.1813
8,2028,density_merlin,mean,r2,0.3351
9,2028,density_merlin,0,r2,0.2768
9,2028,density_merlin,1,r2,0.5354
9,2028,density_merlin,2,r2,0.1769
9,2028,density_merlin,mean,r2,0.3297
10,2028,density_merlin,0,r2,0.305
10,2028,density_merlin,1,r2,0.5504
10,2028,density_merlin,2,r2,0.1851
10,2028,density_merlin,mean,r2,0.3468
