epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0898
1,2026,location,1,r2,0.11
1,2026,location,2,r2,0.2792
1,2026,location,mean,r2,0.1597
2,2026,location,0,r2,0.1431
2,2026,location,1,r2,0.1414
2,2026,location,2,r2,0.3113
2,2026,location,mean,r2,0.1986
3,2026,location,0,r2,0.1516
3,2026,location,1,r2,0.1428
3,2026,location,2,r2,0.3211
3,2026,location,mean,r2,0.2052
4,2026,location,0,r2,0.167
4,2026,location,1,r2,0.1555
4,2026,location,2,r2,0.3421
4,2026,location,mean,r2,0.2216
5,2026,location,0,r2,0.2086
5,2026,location,1,r2,0.1681
5,2026,location,2,r2,0.3501
5,2026,location,mean,r2,0.2423
6,2026,location,0,r2,0.2023
6,2026,location,1,r2,0.1611
6,2026,location,2,r2,0.3396
6,2026,location,mean,r2,0.2343
7,2026,location,0,r2,0.2404
7,2026,location,1,r2,0.1593
7,2026,location,2,r2,0.353
7,2026,location,mean,r2,0.2509
8,2026,location,0,r2,0.1424
8,2026,location,1,r2,0.1689
8,2026,location,2,r2,0.3484
8,2026,location,mean,r2,0.2199
9,2026,location,0,r2,0.2449
9,2026,location,1,r2,0.1355
9,2026,location,2,r2,0.3388
9,2026,location,mean,r2,0.2397
10,2026,location,0,r2,0.2656
10,2026,location,1,r2,0.1617
10,2026,location,2,r2,0.3689
10,2026,location,mean,r2,0.2654
