epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.7377
1,2026,density,1,r2,0.2399
1,2026,density,2,r2,0.8558
1,2026,density,3,r2,0.8765
1,2026,density,mean,r2,0.6775
2,2026,density,0,r2,0.759
2,2026,density,1,r2,0.2865
2,2026,density,2,r2,0.8563
2,2026,density,3,r2,0.8686
2,2026,density,mean,r2,0.6926
3,2026,density,0,r2,0.7799
3,2026,density,1,r2,0.2854
3,2026,density,2,r2,0.891
3,2026,density,3,r2,0.893
3,2026,density,mean,r2,0.7123
4,2026,density,0,r2,0.7777
4,2026,density,1,r2,0.3343
4,2026,density,2,r2,0.8822
4,2026,density,3,r2,0.8955
4,2026,density,mean,r2,0.7224
5,2026,density,0,r2,0.77
5,2026,density,1,r2,0.3198
5,2026,density,2,r2,0.8768
5,2026,density,3,r2,0.9008
5,2026,density,mean,r2,0.7169
6,2026,density,0,r2,0.7822
6,2026,density,1,r2,0.3462
6,2026,density,2,r2,0.8876
6,2026,density,3,r2,0.9032
6,2026,density,mean,r2,0.7298
7,2026,density,0,r2,0.7877
7,2026,density,1,r2,0.3487
7,2026,density,2,r2,0.8983
7,2026,density,3,r2,0.8985
7,2026,density,mean,r2,0.7333
8,2026,density,0,r2,0.7934
8,2026,density,1,r2,0.3744
8,2026,density,2,r2,0.8993
8,2026,density,3,r2,0.9045
8,2026,density,mean,r2,0.7429
9,2026,density,0,r2,0.801
9,2026,density,1,r2,0.3807
9,2026,density,2,r2,0.9081
9,2026,density,3,r2,0.9058
9,2026,density,mean,r2,0.7489
10,2026,density,0,r2,0.7631
10,2026,density,1,r2,0.3976
10,2026,density,2,r2,0.8713
10,2026,density,3,r2,0.8998
10,2026,density,mean,r2,0.7329
