epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.8634
1,2026,radiomics,1,r2,0.1685
1,2026,radiomics,2,r2,0.7039
1,2026,radiomics,mean,r2,0.5786
2,2026,radiomics,0,r2,0.8783
2,2026,radiomics,1,r2,0.1772
2,2026,radiomics,2,r2,0.7479
2,2026,radiomics,mean,r2,0.6011
3,2026,radiomics,0,r2,0.8589
3,2026,radiomics,1,r2,0.173
3,2026,radiomics,2,r2,0.7353
3,2026,radiomics,mean,r2,0.589
4,2026,radiomics,0,r2,0.8879
4,2026,radiomics,1,r2,0.1738
4,2026,radiomics,2,r2,0.7437
4,2026,radiomics,mean,r2,0.6018
5,2026,radiomics,0,r2,0.8845
5,2026,radiomics,1,r2,0.2043
5,2026,radiomics,2,r2,0.7699
5,2026,radiomics,mean,r2,0.6196
6,2026,radiomics,0,r2,0.8948
6,2026,radiomics,1,r2,0.2097
6,2026,radiomics,2,r2,0.7855
6,2026,radiomics,mean,r2,0.63
7,2026,radiomics,0,r2,0.8933
7,2026,radiomics,1,r2,0.2289
7,2026,radiomics,2,r2,0.7969
7,2026,radiomics,mean,r2,0.6397
8,2026,radiomics,0,r2,0.8939
8,2026,radiomics,1,r2,0.2107
8,2026,radiomics,2,r2,0.7879
8,2026,radiomics,mean,r2,0.6308
9,2026,radiomics,0,r2,0.8937
9,2026,radiomics,1,r2,0.2055
9,2026,radiomics,2,r2,0.7882
9,2026,radiomics,mean,r2,0.6291
10,2026,radiomics,0,r2,0.8994
10,2026,radiomics,1,r2,0.2427
10,2026,radiomics,2,r2,0.7843
10,2026,radiomics,mean,r2,0.6421
