epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.1358
1,2026,location_merlin,1,r2,0.0781
1,2026,location_merlin,2,r2,0.1331
1,2026,location_merlin,mean,r2,0.1157
2,2026,location_merlin,0,r2,0.4091
2,2026,location_merlin,1,r2,0.1584
2,2026,location_merlin,2,r2,0.1584
2,2026,location_merlin,mean,r2,0.242
3,2026,location_merlin,0,r2,0.5054
3,2026,location_merlin,1,r2,0.19
3,2026,location_merlin,2,r2,0.1878
3,2026,location_merlin,mean,r2,0.2944
4,2026,location_merlin,0,r2,0.516
4,2026,location_merlin,1,r2,0.2673
4,2026,location_merlin,2,r2,0.2
4,2026,location_merlin,mean,r2,0.3278
5,2026,location_merlin,0,r2,0.5318
5,2026,location_merlin,1,r2,0.2982
5,2026,location_merlin,2,r2,0.2004
5,2026,location_merlin,mean,r2,0.3434
6,2026,location_merlin,0,r2,0.4929
6,2026,location_merlin,1,r2,0.3275
6,2026,location_merlin,2,r2,0.1923
6,2026,location_merlin,mean,r2,0.3376
7,2026,location_merlin,0,r2,0.5385
7,2026,location_merlin,1,r2,0.3155
7,2026,location_merlin,2,r2,0.1819
7,2026,location_merlin,mean,r2,0.3453
8,2026,location_merlin,0,r2,0.562
8,2026,location_merlin,1,r2,0.3962
8,2026,location_merlin,2,r2,0.1832
8,2026,location_merlin,mean,r2,0.3805
9,2026,location_merlin,0,r2,0.6016
9,2026,location_merlin,1,r2,0.4505
9,2026,location_merlin,2,r2,0.179
9,2026,location_merlin,mean,r2,0.4103
10,2026,location_merlin,0,r2,0.547
10,2026,location_merlin,1,r2,0.4364
10,2026,location_merlin,2,r2,0.1644
10,2026,location_merlin,mean,r2,0.3826
