epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.1263
1,2026,density_merlin,1,r2,0.3474
1,2026,density_merlin,2,r2,0.0234
1,2026,density_merlin,mean,r2,0.1657
2,2026,density_merlin,0,r2,0.1556
2,2026,density_merlin,1,r2,0.3994
2,2026,density_merlin,2,r2,0.0328
2,2026,density_merlin,mean,r2,0.1959
3,2026,density_merlin,0,r2,0.2606
3,2026,density_merlin,1,r2,0.5889
3,2026,density_merlin,2,r2,0.0336
3,2026,density_merlin,mean,r2,0.2943
4,2026,density_merlin,0,r2,0.3214
4,2026,density_merlin,1,r2,0.5934
4,2026,density_merlin,2,r2,0.0313
4,2026,density_merlin,mean,r2,0.3154
5,2026,density_merlin,0,r2,0.3706
5,2026,density_merlin,1,r2,0.6051
5,2026,density_merlin,2,r2,0.0353
5,2026,density_merlin,mean,r2,0.337
6,2026,density_merlin,0,r2,0.3421
6,2026,density_merlin,1,r2,0.4969
6,2026,density_merlin,2,r2,0.0404
6,2026,density_merlin,mean,r2,0.2931
7,2026,density_merlin,0,r2,0.419
7,2026,density_merlin,1,r2,0.5981
7,2026,density_merlin,2,r2,0.0464
7,2026,density_merlin,mean,r2,0.3545
8,2026,density_merlin,0,r2,0.3535
8,2026,density_merlin,1,r2,0.6076
8,2026,density_merlin,2,r2,0.0479
8,2026,density_merlin,mean,r2,0.3363
9,2026,density_merlin,0,r2,0.4668
9,2026,density_merlin,1,r2,0.5828
9,2026,density_merlin,2,r2,0.0576
9,2026,density_merlin,mean,r2,0.3691
10,2026,density_merlin,0,r2,0.4543
10,2026,density_merlin,1,r2,0.6223
10,2026,density_merlin,2,r2,0.0593
10,2026,density_merlin,mean,r2,0.3786
