epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.6429
1,2026,density_merlin,1,r2,0.7845
1,2026,density_merlin,2,r2,0.0973
1,2026,density_merlin,mean,r2,0.5082
2,2026,density_merlin,0,r2,0.6524
2,2026,density_merlin,1,r2,0.8366
2,2026,density_merlin,2,r2,0.3113
2,2026,density_merlin,mean,r2,0.6001
3,2026,density_merlin,0,r2,0.6863
3,2026,density_merlin,1,r2,0.8793
3,2026,density_merlin,2,r2,0.3358
3,2026,density_merlin,mean,r2,0.6338
4,2026,density_merlin,0,r2,0.6112
4,2026,density_merlin,1,r2,0.8926
4,2026,density_merlin,2,r2,0.3837
4,2026,density_merlin,mean,r2,0.6292
5,2026,density_merlin,0,r2,0.702
5,2026,density_merlin,1,r2,0.8997
5,2026,density_merlin,2,r2,0.3928
5,2026,density_merlin,mean,r2,0.6649
6,2026,density_merlin,0,r2,0.6909
6,2026,density_merlin,1,r2,0.8838
6,2026,density_merlin,2,r2,0.4061
6,2026,density_merlin,mean,r2,0.6603
7,2026,density_merlin,0,r2,0.6963
7,2026,density_merlin,1,r2,0.8692
7,2026,density_merlin,2,r2,0.4149
7,2026,density_merlin,mean,r2,0.6601
8,2026,density_merlin,0,r2,0.6875
8,2026,density_merlin,1,r2,0.9164
8,2026,density_merlin,2,r2,0.4034
8,2026,density_merlin,mean,r2,0.6691
9,2026,density_merlin,0,r2,0.7138
9,2026,density_merlin,1,r2,0.9094
9,2026,density_merlin,2,r2,0.4293
9,2026,density_merlin,mean,r2,0.6842
10,2026,density_merlin,0,r2,0.7113
10,2026,density_merlin,1,r2,0.8972
10,2026,density_merlin,2,r2,0.4262
10,2026,density_merlin,mean,r2,0.6782
