epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.1942
1,2026,location_merlin,1,r2,0.1208
1,2026,location_merlin,2,r2,0.2614
1,2026,location_merlin,mean,r2,0.1922
2,2026,location_merlin,0,r2,0.3329
2,2026,location_merlin,1,r2,0.1932
2,2026,location_merlin,2,r2,0.3095
2,2026,location_merlin,mean,r2,0.2785
3,2026,location_merlin,0,r2,0.3615
3,2026,location_merlin,1,r2,0.2232
3,2026,location_merlin,2,r2,0.2952
3,2026,location_merlin,mean,r2,0.2933
4,2026,location_merlin,0,r2,0.404
4,2026,location_merlin,1,r2,0.2536
4,2026,location_merlin,2,r2,0.3237
4,2026,location_merlin,mean,r2,0.3271
5,2026,location_merlin,0,r2,0.4418
5,2026,location_merlin,1,r2,0.2769
5,2026,location_merlin,2,r2,0.3703
5,2026,location_merlin,mean,r2,0.363
6,2026,location_merlin,0,r2,0.4235
6,2026,location_merlin,1,r2,0.2909
6,2026,location_merlin,2,r2,0.3712
6,2026,location_merlin,mean,r2,0.3619
7,2026,location_merlin,0,r2,0.4778
7,2026,location_merlin,1,r2,0.3006
7,2026,location_merlin,2,r2,0.3895
7,2026,location_merlin,mean,r2,0.3893
8,2026,location_merlin,0,r2,0.482
8,2026,location_merlin,1,r2,0.3221
8,2026,location_merlin,2,r2,0.3405
8,2026,location_merlin,mean,r2,0.3815
9,2026,location_merlin,0,r2,0.4862
9,2026,location_merlin,1,r2,0.3138
9,2026,location_merlin,2,r2,0.3981
9,2026,location_merlin,mean,r2,0.3994
10,2026,location_merlin,0,r2,0.4843
10,2026,location_merlin,1,r2,0.3394
10,2026,location_merlin,2,r2,0.4053
10,2026,location_merlin,mean,r2,0.4096
