epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.1885
1,2026,size_merlin,1,r2,0.1779
1,2026,size_merlin,2,r2,0.1791
1,2026,size_merlin,3,r2,0.2367
1,2026,size_merlin,4,r2,0.312
1,2026,size_merlin,5,r2,0.1322
1,2026,size_merlin,mean,r2,0.2044
2,2026,size_merlin,0,r2,0.2811
2,2026,size_merlin,1,r2,0.2735
2,2026,size_merlin,2,r2,0.2483
2,2026,size_merlin,3,r2,0.2624
2,2026,size_merlin,4,r2,0.3281
2,2026,size_merlin,5,r2,-0.0183
2,2026,size_merlin,mean,r2,0.2292
3,2026,size_merlin,0,r2,0.4939
3,2026,size_merlin,1,r2,0.4806
3,2026,size_merlin,2,r2,0.2547
3,2026,size_merlin,3,r2,0.2529
3,2026,size_merlin,4,r2,0.3638
3,2026,size_merlin,5,r2,0.1277
3,2026,size_merlin,mean,r2,0.3289
4,2026,size_merlin,0,r2,0.5938
4,2026,size_merlin,1,r2,0.5802
4,2026,size_merlin,2,r2,0.2875
4,2026,size_merlin,3,r2,0.293
4,2026,size_merlin,4,r2,0.3588
4,2026,size_merlin,5,r2,0.1566
4,2026,size_merlin,mean,r2,0.3783
5,2026,size_merlin,0,r2,0.6643
5,2026,size_merlin,1,r2,0.6239
5,2026,size_merlin,2,r2,0.3252
5,2026,size_merlin,3,r2,0.2923
5,2026,size_merlin,4,r2,0.3863
5,2026,size_merlin,5,r2,0.1606
5,2026,size_merlin,mean,r2,0.4088
6,2026,size_merlin,0,r2,0.6417
6,2026,size_merlin,1,r2,0.6251
6,2026,size_merlin,2,r2,0.3157
6,2026,size_merlin,3,r2,0.3171
6,2026,size_merlin,4,r2,0.3646
6,2026,size_merlin,5,r2,0.1564
6,2026,size_merlin,mean,r2,0.4034
7,2026,size_merlin,0,r2,0.7186
7,2026,size_merlin,1,r2,0.6597
7,2026,size_merlin,2,r2,0.337
7,2026,size_merlin,3,r2,0.3106
7,2026,size_merlin,4,r2,0.3658
7,2026,size_merlin,5,r2,0.1598
7,2026,size_merlin,mean,r2,0.4253
8,2026,size_merlin,0,r2,0.7286
8,2026,size_merlin,1,r2,0.6681
8,2026,size_merlin,2,r2,0.3097
8,2026,size_merlin,3,r2,0.3015
8,2026,size_merlin,4,r2,0.4075
8,2026,size_merlin,5,r2,0.1786
8,2026,size_merlin,mean,r2,0.4323
9,2026,size_merlin,0,r2,0.7007
9,2026,size_merlin,1,r2,0.6452
9,2026,size_merlin,2,r2,0.3554
9,2026,size_merlin,3,r2,0.3459
9,2026,size_merlin,4,r2,0.419
9,2026,size_merlin,5,r2,0.1773
9,2026,size_merlin,mean,r2,0.4406
10,2026,size_merlin,0,r2,0.7442
10,2026,size_merlin,1,r2,0.6822
10,2026,size_merlin,2,r2,0.3532
10,2026,size_merlin,3,r2,0.3474
10,2026,size_merlin,4,r2,0.418
10,2026,size_merlin,5,r2,0.1793
10,2026,size_merlin,mean,r2,0.4541
