epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.8089
1,2026,density,1,r2,0.6512
1,2026,density,2,r2,0.9161
1,2026,density,3,r2,0.8871
1,2026,density,mean,r2,0.8158
2,2026,density,0,r2,0.8354
2,2026,density,1,r2,0.7542
2,2026,density,2,r2,0.9229
2,2026,density,3,r2,0.908
2,2026,density,mean,r2,0.8551
3,2026,density,0,r2,0.832
3,2026,density,1,r2,0.7839
3,2026,density,2,r2,0.9374
3,2026,density,3,r2,0.9214
3,2026,density,mean,r2,0.8687
4,2026,density,0,r2,0.8415
4,2026,density,1,r2,0.8455
4,2026,density,2,r2,0.9459
4,2026,density,3,r2,0.9242
4,2026,density,mean,r2,0.8893
5,2026,density,0,r2,0.8546
5,2026,density,1,r2,0.8633
5,2026,density,2,r2,0.954
5,2026,density,3,r2,0.928
5,2026,density,mean,r2,0.9
6,2026,density,0,r2,0.8479
6,2026,density,1,r2,0.8696
6,2026,density,2,r2,0.9568
6,2026,density,3,r2,0.9297
6,2026,density,mean,r2,0.901
7,2026,density,0,r2,0.8546
7,2026,density,1,r2,0.8796
7,2026,density,2,r2,0.9497
7,2026,density,3,r2,0.9313
7,2026,density,mean,r2,0.9038
8,2026,density,0,r2,0.8411
8,2026,density,1,r2,0.8792
8,2026,density,2,r2,0.9581
8,2026,density,3,r2,0.9323
8,2026,density,mean,r2,0.9027
9,2026,density,0,r2,0.8463
9,2026,density,1,r2,0.8936
9,2026,density,2,r2,0.9592
9,2026,density,3,r2,0.934
9,2026,density,mean,r2,0.9083
10,2026,density,0,r2,0.8461
10,2026,density,1,r2,0.9004
10,2026,density,2,r2,0.9546
10,2026,density,3,r2,0.9325
10,2026,density,mean,r2,0.9084
