epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.9047
1,2026,radiomics,1,r2,0.2856
1,2026,radiomics,2,r2,0.846
1,2026,radiomics,mean,r2,0.6788
2,2026,radiomics,0,r2,0.9049
2,2026,radiomics,1,r2,0.3566
2,2026,radiomics,2,r2,0.867
2,2026,radiomics,mean,r2,0.7095
3,2026,radiomics,0,r2,0.9305
3,2026,radiomics,1,r2,0.4248
3,2026,radiomics,2,r2,0.8679
3,2026,radiomics,mean,r2,0.7411
4,2026,radiomics,0,r2,0.9304
4,2026,radiomics,1,r2,0.4866
4,2026,radiomics,2,r2,0.8935
4,2026,radiomics,mean,r2,0.7701
5,2026,radiomics,0,r2,0.9338
5,2026,radiomics,1,r2,0.5043
5,2026,radiomics,2,r2,0.9035
5,2026,radiomics,mean,r2,0.7805
6,2026,radiomics,0,r2,0.9335
6,2026,radiomics,1,r2,0.3454
6,2026,radiomics,2,r2,0.8986
6,2026,radiomics,mean,r2,0.7258
7,2026,radiomics,0,r2,0.9276
7,2026,radiomics,1,r2,0.4878
7,2026,radiomics,2,r2,0.9044
7,2026,radiomics,mean,r2,0.7733
8,2026,radiomics,0,r2,0.9338
8,2026,radiomics,1,r2,0.5
8,2026,radiomics,2,r2,0.9108
8,2026,radiomics,mean,r2,0.7815
9,2026,radiomics,0,r2,0.9356
9,2026,radiomics,1,r2,0.5207
9,2026,radiomics,2,r2,0.9129
9,2026,radiomics,mean,r2,0.7897
10,2026,radiomics,0,r2,0.9215
10,2026,radiomics,1,r2,0.5338
10,2026,radiomics,2,r2,0.9124
10,2026,radiomics,mean,r2,0.7892
