epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.4978
1,2026,location,1,r2,0.2912
1,2026,location,2,r2,0.3781
1,2026,location,mean,r2,0.3891
2,2026,location,0,r2,0.5782
2,2026,location,1,r2,0.4436
2,2026,location,2,r2,0.4198
2,2026,location,mean,r2,0.4805
3,2026,location,0,r2,0.6409
3,2026,location,1,r2,0.4999
3,2026,location,2,r2,0.4382
3,2026,location,mean,r2,0.5263
4,2026,location,0,r2,0.6508
4,2026,location,1,r2,0.5434
4,2026,location,2,r2,0.4562
4,2026,location,mean,r2,0.5501
5,2026,location,0,r2,0.6449
5,2026,location,1,r2,0.5472
5,2026,location,2,r2,0.4586
5,2026,location,mean,r2,0.5502
6,2026,location,0,r2,0.6659
6,2026,location,1,r2,0.5821
6,2026,location,2,r2,0.469
6,2026,location,mean,r2,0.5723
7,2026,location,0,r2,0.6714
7,2026,location,1,r2,0.5951
7,2026,location,2,r2,0.4893
7,2026,location,mean,r2,0.5853
8,2026,location,0,r2,0.6677
8,2026,location,1,r2,0.6194
8,2026,location,2,r2,0.5096
8,2026,location,mean,r2,0.5989
9,2026,location,0,r2,0.6696
9,2026,location,1,r2,0.5923
9,2026,location,2,r2,0.5419
9,2026,location,mean,r2,0.6012
10,2026,location,0,r2,0.6753
10,2026,location,1,r2,0.6249
10,2026,location,2,r2,0.541
10,2026,location,mean,r2,0.6137
