epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.8648
1,2026,size,1,r2,0.5372
1,2026,size,2,r2,0.5124
1,2026,size,3,r2,0.6275
1,2026,size,4,r2,0.7223
1,2026,size,mean,r2,0.6528
2,2026,size,0,r2,0.881
2,2026,size,1,r2,0.5811
2,2026,size,2,r2,0.5297
2,2026,size,3,r2,0.6501
2,2026,size,4,r2,0.7592
2,2026,size,mean,r2,0.6802
3,2026,size,0,r2,0.8861
3,2026,size,1,r2,0.5856
3,2026,size,2,r2,0.522
3,2026,size,3,r2,0.652
3,2026,size,4,r2,0.7743
3,2026,size,mean,r2,0.684
4,2026,size,0,r2,0.8906
4,2026,size,1,r2,0.5872
4,2026,size,2,r2,0.53
4,2026,size,3,r2,0.6561
4,2026,size,4,r2,0.7597
4,2026,size,mean,r2,0.6847
5,2026,size,0,r2,0.8905
5,2026,size,1,r2,0.6131
5,2026,size,2,r2,0.5396
5,2026,size,3,r2,0.6454
5,2026,size,4,r2,0.7773
5,2026,size,mean,r2,0.6932
6,2026,size,0,r2,0.8914
6,2026,size,1,r2,0.5991
6,2026,size,2,r2,0.528
6,2026,size,3,r2,0.6441
6,2026,size,4,r2,0.7922
6,2026,size,mean,r2,0.691
7,2026,size,0,r2,0.8872
7,2026,size,1,r2,0.5998
7,2026,size,2,r2,0.5361
7,2026,size,3,r2,0.6534
7,2026,size,4,r2,0.7802
7,2026,size,mean,r2,0.6913
8,2026,size,0,r2,0.8894
8,2026,size,1,r2,0.6
8,2026,size,2,r2,0.5314
8,2026,size,3,r2,0.6433
8,2026,size,4,r2,0.7875
8,2026,size,mean,r2,0.6903
9,2026,size,0,r2,0.8964
9,2026,size,1,r2,0.6091
9,2026,size,2,r2,0.5352
9,2026,size,3,r2,0.6564
9,2026,size,4,r2,0.7952
9,2026,size,mean,r2,0.6985
10,2026,size,0,r2,0.8954
10,2026,size,1,r2,0.6076
10,2026,size,2,r2,0.5489
10,2026,size,3,r2,0.6557
10,2026,size,4,r2,0.7921
10,2026,size,mean,r2,0.7
