epoch,seed,family,target,metric,score
1,2026,density_merlin,0,r2,0.309
1,2026,density_merlin,1,r2,0.7269
1,2026,density_merlin,2,r2,0.0485
1,2026,density_merlin,mean,r2,0.3615
2,2026,density_merlin,0,r2,0.5778
2,2026,density_merlin,1,r2,0.7719
2,2026,density_merlin,2,r2,0.1039
2,2026,density_merlin,mean,r2,0.4845
3,2026,density_merlin,0,r2,0.6339
3,2026,density_merlin,1,r2,0.7721
3,2026,density_merlin,2,r2,0.4342
3,2026,density_merlin,mean,r2,0.6134
4,2026,density_merlin,0,r2,0.6991
4,2026,density_merlin,1,r2,0.8107
4,2026,density_merlin,2,r2,0.5442
4,2026,density_merlin,mean,r2,0.6847
5,2026,density_merlin,0,r2,0.7107
5,2026,density_merlin,1,r2,0.8058
5,2026,density_merlin,2,r2,0.568
5,2026,density_merlin,mean,r2,0.6948
6,2026,density_merlin,0,r2,0.7283
6,2026,density_merlin,1,r2,0.8012
6,2026,density_merlin,2,r2,0.5683
6,2026,density_merlin,mean,r2,0.6993
7,2026,density_merlin,0,r2,0.7445
7,2026,density_merlin,1,r2,0.8212
7,2026,density_merlin,2,r2,0.6056
7,2026,density_merlin,mean,r2,0.7238
8,2026,density_merlin,0,r2,0.7519
8,2026,density_merlin,1,r2,0.827
8,2026,density_merlin,2,r2,0.5963
8,2026,density_merlin,mean,r2,0.7251
9,2026,density_merlin,0,r2,0.7611
9,2026,density_merlin,1,r2,0.8241
9,2026,density_merlin,2,r2,0.6128
9,2026,density_merlin,mean,r2,0.7327
10,2026,density_merlin,0,r2,0.6882
10,2026,density_merlin,1,r2,0.8327
10,2026,density_merlin,2,r2,0.6268
10,2026,density_merlin,mean,r2,0.7159
