epoch,seed,family,target,metric,score
1,2026,location_merlin,0,r2,0.3135
1,2026,location_merlin,1,r2,0.1406
1,2026,location_merlin,2,r2,0.2162
1,2026,location_merlin,mean,r2,0.2235
2,2026,location_merlin,0,r2,0.3605
2,2026,location_merlin,1,r2,0.2126
2,2026,location_merlin,2,r2,0.2203
2,2026,location_merlin,mean,r2,0.2645
3,2026,location_merlin,0,r2,0.4863
3,2026,location_merlin,1,r2,0.2398
3,2026,location_merlin,2,r2,0.2562
3,2026,location_merlin,mean,r2,0.3274
4,2026,location_merlin,0,r2,0.5163
4,2026,location_merlin,1,r2,0.2586
4,2026,location_merlin,2,r2,0.2576
4,2026,location_merlin,mean,r2,0.3442
5,2026,location_merlin,0,r2,0.5429
5,2026,location_merlin,1,r2,0.2656
5,2026,location_merlin,2,r2,0.2748
5,2026,location_merlin,mean,r2,0.3611
6,2026,location_merlin,0,r2,0.5306
6,2026,location_merlin,1,r2,0.2617
6,2026,location_merlin,2,r2,0.255
6,2026,location_merlin,mean,r2,0.3491
7,2026,location_merlin,0,r2,0.4966
7,2026,location_merlin,1,r2,0.2894
7,2026,location_merlin,2,r2,0.2915
7,2026,location_merlin,mean,r2,0.3592
8,2026,location_merlin,0,r2,0.5294
8,2026,location_merlin,1,r2,0.3077
8,2026,location_merlin,2,r2,0.2937
8,2026,location_merlin,mean,r2,0.3769
9,2026,location_merlin,0,r2,0.5619
9,2026,location_merlin,1,r2,0.2904
9,2026,location_merlin,2,r2,0.309
9,2026,location_merlin,mean,r2,0.3871
10,2026,location_merlin,0,r2,0.5781
10,2026,location_merlin,1,r2,0.3351
10,2026,location_merlin,2,r2,0.2222
10,2026,location_merlin,mean,r2,0.3785
